Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0FecFaUjzYF8DuFG4WsgSQ,"0MBIKH9DjtBkv8O3nS6szj","Can't Ignore the Train","The Wishing Chair","10,000 Maniacs",1985-09-11,164733,22,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.492,0.734,2,-8.94,1,0.0337,0.0193,0.0000696,0.339,0.762,165.392,4
3jgY7wA3MXRjxwecEoSXBA,"0MBIKH9DjtBkv8O3nS6szj","Scorpio Rising","The Wishing Chair","10,000 Maniacs",1985-09-11,194213,22,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.381,0.933,9,-5.812,1,0.0447,0.000332,0.00118,0.0953,0.568,148.426,4
5EfuGjgMg6vGRnl0xapOtP,"0MBIKH9DjtBkv8O3nS6szj","Just as the Tide Was a Flowing","The Wishing Chair","10,000 Maniacs",1985-09-11,138533,19,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.536,0.51,2,-8.886,1,0.0287,0.103,0,0.454,0.67,131.287,4
2SII0gRb6310mlfnqAfcjD,"0MBIKH9DjtBkv8O3nS6szj","Lilydale","The Wishing Chair","10,000 Maniacs",1985-09-11,192933,19,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.583,0.447,9,-10.721,1,0.0294,0.0726,0,0.163,0.561,136.531,4
7IGlbgomhMlbwn0vo6h54Z,"0MBIKH9DjtBkv8O3nS6szj","Back O' the Moon","The Wishing Chair","10,000 Maniacs",1985-09-11,212373,19,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.599,0.621,7,-8.898,1,0.032,0.0572,0,0.299,0.691,145.697,4
5hF2bw10W1XyuBtZ5iVhPI,"0MBIKH9DjtBkv8O3nS6szj","Maddox Table","The Wishing Chair","10,000 Maniacs",1985-09-11,199293,13,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.564,0.915,2,-8.967,1,0.0506,0.00366,0,0.298,0.862,148.947,4
0GkxIC1SXguDFXhJCz6uLM,"0MBIKH9DjtBkv8O3nS6szj","The Colonial Wing","The Wishing Chair","10,000 Maniacs",1985-09-11,245266,10,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.611,0.702,11,-9.512,0,0.0355,0.00107,0.00582,0.31,0.811,94,4
069rbknMeBISwpviVuEzEz,"0MBIKH9DjtBkv8O3nS6szj","Grey Victory","The Wishing Chair","10,000 Maniacs",1985-09-11,187600,13,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.47,0.643,4,-10.75,1,0.0372,0.00228,0,0.212,0.497,148.883,4
1UhKRWpBE4r5pvVHHpUk7n,"0MBIKH9DjtBkv8O3nS6szj","Among the Americans","The Wishing Chair","10,000 Maniacs",1985-09-11,187440,11,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.309,0.301,2,-12.339,1,0.0315,0.379,0.00000613,0.374,0.185,144.489,4
3GTmMe2qqB9WMaZ9WYXcLS,"0MBIKH9DjtBkv8O3nS6szj","Everyone a Puzzle Lover","The Wishing Chair","10,000 Maniacs",1985-09-11,197133,11,spotify:user:seankmchenry,2023-01-17T14:10:52Z,"lilith,mellow gold,new wave pop,pop rock,singer-songwriter",0.599,0.539,0,-11.253,1,0.037,0.000888,0,0.0751,0.361,133.744,4
