Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3jDdpx9PMlfMBS5tOBHFm9,"6V3F8MZrOKdT9fU686ybE9","Return of the Mack","Return of the Mack","Mark Morrison",1996-04-22,213093,71,spotify:user:seankmchenry,2023-01-30T21:11:13Z,"british soul",0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,4
0weAUscowxeqDtpCgtbpgp,"41qil2VaGbD194gaEcmmyx","Gettin' Jiggy Wit It","Big Willie Style","Will Smith",1997-10-03,227933,67,spotify:user:seankmchenry,2023-01-30T21:11:35Z,"dance pop,hip hop,pop rap",0.881,0.874,6,-4.505,1,0.139,0.0175,0.00000114,0.154,0.858,107.891,4
6e8Ou0wiqAzIpWb2eSxll8,"41qil2VaGbD194gaEcmmyx","Miami","Big Willie Style","Will Smith",1997-10-03,197560,67,spotify:user:seankmchenry,2023-01-30T21:11:35Z,"dance pop,hip hop,pop rap",0.877,0.534,1,-6.178,1,0.15,0.0339,0.0000167,0.0441,0.89,108.17,4
3upCmUgdchN3u0vkedbC5S,"7peqq4aACFkBwIWGG0YRJ9","Touch It","Mo'Hogany","Monifah",1998-01-01,285826,52,spotify:user:seankmchenry,2023-01-30T21:11:46Z,"contemporary r&b,hip pop,new jack swing,r&b,urban contemporary",0.863,0.476,8,-10.019,0,0.0932,0.0307,0.0515,0.0706,0.783,115.459,4
5NaOWLOmVjcA3M5spRATN9,"4iHNK0tOyZPYnBU7nGAgpQ","Honey","Butterfly","Mariah Carey",1997-09-16,299826,58,spotify:user:seankmchenry,2023-01-30T21:12:06Z,"dance pop,urban contemporary",0.694,0.824,1,-6.756,1,0.0909,0.119,0.00000715,0.152,0.675,95.833,4
0jsANwwkkHyyeNyuTFq2XO,"4iHNK0tOyZPYnBU7nGAgpQ,3nFkdlSjzX9mRTtwJOzDYB","Heartbreaker (feat. Jay-Z)","Rainbow","Mariah Carey,JAY-Z",1999-11-02,285706,60,spotify:user:seankmchenry,2023-01-30T21:12:10Z,"dance pop,urban contemporary,east coast hip hop,hip hop,rap",0.524,0.816,1,-5.872,1,0.37,0.383,0,0.349,0.789,200.031,4
3x4yV0hW5Ve3TKhFkXSqFn,"2DlGxzQSjYe5N6G9nkYghR","If You Had My Love","On The 6","Jennifer Lopez",1999-06-01,266000,59,spotify:user:seankmchenry,2023-01-30T21:13:30Z,"dance pop,pop,pop rap,urban contemporary",0.68,0.625,11,-7,0,0.0353,0.0645,0.0000581,0.109,0.814,94.02,4
5yaCquc7koPqtgj7v0lwHX,"2DlGxzQSjYe5N6G9nkYghR","Waiting for Tonight","On The 6","Jennifer Lopez",1999-06-01,246426,59,spotify:user:seankmchenry,2023-01-30T21:13:30Z,"dance pop,pop,pop rap,urban contemporary",0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,4
47TqCCnEliDp8NRDyIQoQq,"23zg3TcAtWQy7J6upgbUnj","You Make Me Wanna...","My Way","Usher",1997-09-16,219120,64,spotify:user:seankmchenry,2023-01-30T21:13:57Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary",0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.922,164.088,4
5L0KDoZklMgs9GPoonneEl,"23zg3TcAtWQy7J6upgbUnj","Nice & Slow - Radio Version","My Way","Usher",1997-09-16,227906,61,spotify:user:seankmchenry,2023-01-30T21:13:57Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary",0.819,0.299,5,-11.964,0,0.122,0.153,0,0.3,0.515,121.913,4
