Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
12P7ZJt2vGfvlKCEfpGCMz,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,0dBNMuLxOUm6BEU0IiD5Fe,0rIuleKJ3S24GmlSAJqk2O","Canyon (feat. Alex Maas & Jazz Mills)","Echo Hotel","The Echocentrics,Adrian Quesada,Alex Maas,Jazz Mills",2016-05-20,217149,32,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.309,0.7,4,-6.401,1,0.0403,0.457,0.0000284,0.337,0.339,87.916,4
4G66bqfXk0rqec1OknBpuG,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,5hvtNzq5txTnVaSXY0DYpW","Staring at the Ceiling (feat. James Petralli)","Echo Hotel","The Echocentrics,Adrian Quesada,James Petralli",2016-05-20,215215,39,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.61,0.784,5,-5.689,1,0.0286,0.115,0.00000156,0.0388,0.712,102.87,3
5sxyQcq3BfP1xbzrmW7fy3,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv","Echo Hotel","Echo Hotel","The Echocentrics,Adrian Quesada",2016-05-20,208097,23,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.519,0.631,9,-7.017,0,0.0423,0.0729,0.892,0.148,0.398,80,4
0fX1iwokay2pLIOxz83NlC,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,5eNBCrl6JL8r6QKkQu733b","Muerto En Vida (feat. Natalia Clavier)","Echo Hotel","The Echocentrics,Adrian Quesada,Natalia Clavier",2016-05-20,231440,17,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.585,0.732,2,-5.676,0,0.0426,0.156,0.0000326,0.26,0.569,82.131,4
2UcShU4wTQzn8gfRruhhdp,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,0dBNMuLxOUm6BEU0IiD5Fe","Death of a Rockstar (feat. Alex Maas)","Echo Hotel","The Echocentrics,Adrian Quesada,Alex Maas",2016-05-20,298069,29,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.299,0.516,9,-8.05,0,0.0294,0.00206,0.0196,0.114,0.327,168.289,3
717Wfh2gCC8qPwebuA9HC1,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,3g2DhcTYLPimsEwiPLQyoy","O Sol (feat. Tita Lima)","Echo Hotel","The Echocentrics,Adrian Quesada,Tita Lima",2016-05-20,185789,37,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul,brazilian indie",0.814,0.638,5,-6.933,1,0.0292,0.484,0.136,0.068,0.981,100.005,4
7KJ1d66tvX0hEGtjgVQPws,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv","The Organizer","Echo Hotel","The Echocentrics,Adrian Quesada",2016-05-20,179397,20,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.715,0.723,2,-6.922,1,0.0783,0.0601,0.822,0.113,0.783,92.01,4
3AE0mirSp6lUpvKAVexe1C,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,5eNBCrl6JL8r6QKkQu733b","Has Regresado Viejo Amigo (feat. Natalia Clavier)","Echo Hotel","The Echocentrics,Adrian Quesada,Natalia Clavier",2016-05-20,205563,17,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.583,0.67,1,-5.77,0,0.0279,0.193,0.00000451,0.0684,0.502,81.959,4
7n5MjZGXeZ59Or8GtK2jkb,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv,7gqsi6aBSkRMJoL9psKqMr","Getting' Away with Your Gal (feat. Bill Callahan)","Echo Hotel","The Echocentrics,Adrian Quesada,Bill Callahan",2016-05-20,124444,38,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul,alternative country,anti-folk,art pop,art rock,chamber pop,chamber psych,indie folk,indie rock,singer-songwriter,solo wave",0.521,0.693,11,-6.134,0,0.213,0.81,0.0000792,0.0847,0.37,176.134,4
3JivFqHWpkViOCpW8x17PB,"5w06LBuqP0OwZ1USZ2oKkS,07YivsJVCrmhhjzBcBtMGv","Stars in Her Eyes","Echo Hotel","The Echocentrics,Adrian Quesada",2016-05-20,145054,14,spotify:user:seankmchenry,2023-01-06T14:55:46Z,"retro soul",0.265,0.402,9,-10.261,0,0.0348,0.99,0.876,0.355,0.0774,135.605,4
