Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0yubk63WCKCSUz6FgNzxTY,"I'll Take Romance / My Funny Valentine - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,372360,8,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.522,0.216,10,-18.401,0,0.0329,0.85,0.63,0.483,0.329,143.004,3
3LP2U0HZXTFGtwsXqMoBl3,"Like Someone In Love - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,315426,7,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.629,0.178,10,-17.517,0,0.0378,0.842,0.651,0.745,0.23,126.288,4
4G2eNwMZLCVCwwpifZ4iRW,"Falling In Love With Love - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,260519,10,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.681,0.224,1,-20.353,1,0.0416,0.891,0.924,0.155,0.777,99.796,4
0MONfpSBEc8iAG8vSJVrhI,"The Best Thing For You - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,275866,12,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.69,0.274,1,-16.876,1,0.0382,0.637,0.74,0.15,0.657,103.569,4
2qStpLbLejjnmxXLkxRwlU,"April In Paris - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,375640,14,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.516,0.273,0,-18.589,1,0.0356,0.51,0.532,0.923,0.547,141.135,4
2CcgPdGRQWZ0T0USLuZNS1,"Second Time Around - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,253400,7,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.579,0.0859,0,-24.989,1,0.0553,0.904,0.915,0.733,0.206,76.614,4
4cjfSdHo6SsJRWXGlIJkHo,"We Live In Two Different Worlds - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,308533,6,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.441,0.257,7,-17.952,1,0.0632,0.703,0.488,0.829,0.293,79.325,4
32woDhWg13QB5HxnuzbfYm,"Night Mist Blues - Live At The Blackhawk, San Francisco/1961","At The Blackhawk (Live)","Ahmad Jamal",1962-11-11,425333,6,seankmchenry,2023-11-11T22:56:57Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.752,0.192,10,-18.185,1,0.113,0.842,0.836,0.745,0.283,78.315,4
7KV27rOBwU0X2jYb9eVwWW,"Comme Ci Comme Ca","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,132080,29,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.663,0.185,5,-19.692,1,0.0456,0.852,0.87,0.0963,0.66,81.906,4
0yX1q7eKIeMlVPNVIDa1Xu,"Ivy","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,238933,17,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.487,0.294,0,-17.998,1,0.0303,0.67,0.0638,0.129,0.455,129.887,4
00jsrmiWlo4PfMnkSS1w5d,"Never Never Land","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,189453,23,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.636,0.135,5,-21.287,0,0.0375,0.799,0.888,0.102,0.674,140.205,4
3txbt5hTbmQwrNm76ho9pF,"Tangerine","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,163493,22,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.558,0.222,5,-17.359,0,0.0337,0.87,0.806,0.157,0.68,181.315,4
6YPfobz0jQyHu1vYvduihL,"Ahmad's Blues","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,261640,12,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.616,0.105,5,-21.354,1,0.0348,0.698,0.822,0.156,0.313,84.261,4
2IGrmeIPhZgR9mVhsyrP2G,"Seleritus","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,181826,25,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.586,0.0694,3,-24.866,1,0.0362,0.862,0.902,0.124,0.226,74.379,4
2oul7sJpLyCFRtKyOf6FKF,"I Like To Recognize The Tune","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,103480,18,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.455,0.421,0,-14.912,1,0.0343,0.66,0.735,0.246,0.913,140.785,4
31fiqgLHk5CBEGyHoLy3kC,"I'm Alone With You","Jamal At The Penthouse","Ahmad Jamal",1959-10-11,190920,8,seankmchenry,2023-11-11T22:56:54Z,"bebop,cool jazz,jazz,jazz piano","Verve Reissues",0.264,0.1,7,-17.17,1,0.033,0.835,0.9,0.212,0.211,166.876,5
