Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6HvpxMRLCaZvkz7rXnf2NP,"2m62cc253Xvd9qYQ8d2X3d","I Robot","I Robot (Expanded Edition)","The Alan Parsons Project",1977,362093,37,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.592,0.819,5,-9.44,1,0.0442,0.471,0.845,0.19,0.499,90.553,4
5dbcQ5D5EnBK4mO3Oygzeu,"2m62cc253Xvd9qYQ8d2X3d","I Wouldn't Want to Be Like You","I Robot (Expanded Edition)","The Alan Parsons Project",1977,201880,52,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.69,0.648,0,-8.384,0,0.0515,0.498,0.00000955,0.118,0.253,100.694,4
7pszxp65rS7xd8ZflKaZRh,"2m62cc253Xvd9qYQ8d2X3d","Some Other Time","I Robot (Expanded Edition)","The Alan Parsons Project",1977,245733,43,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.428,0.61,9,-8.268,0,0.0355,0.192,0.0000273,0.124,0.358,126.431,4
2tHFIneqmU40FsCbGSSyIa,"2m62cc253Xvd9qYQ8d2X3d","Breakdown","I Robot (Expanded Edition)","The Alan Parsons Project",1977,232080,36,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.363,0.726,2,-5.38,1,0.0596,0.214,0.034,0.118,0.621,170.213,4
2Nqh6J0LebsZmk3Uhm1ehq,"2m62cc253Xvd9qYQ8d2X3d","Don't Let It Show","I Robot (Expanded Edition)","The Alan Parsons Project",1977,263666,34,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.397,0.501,1,-8.148,1,0.0348,0.448,0.0252,0.111,0.132,131.915,4
4ZLJ9oAIVEUnvi7nzGtmrL,"2m62cc253Xvd9qYQ8d2X3d","The Voice","I Robot (Expanded Edition)","The Alan Parsons Project",1977,323080,35,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.713,0.587,8,-8.633,1,0.0327,0.375,0.0841,0.415,0.663,114.188,4
50Xgs8VzOpS5d1ycGaIzEz,"2m62cc253Xvd9qYQ8d2X3d","Nucleus","I Robot (Expanded Edition)","The Alan Parsons Project",1977,202426,28,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.194,0.742,1,-13.693,0,0.106,0.486,0.985,0.438,0.0326,124.665,4
4V1eDvRf0UsLAVvuoHbUVZ,"2m62cc253Xvd9qYQ8d2X3d","Day After Day (The Show Must Go On)","I Robot (Expanded Edition)","The Alan Parsons Project",1977,237160,31,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.47,0.466,0,-11.612,1,0.0295,0.413,0.000257,0.465,0.322,111.261,3
6aVkD8xlutadkwvo2kvHLG,"2m62cc253Xvd9qYQ8d2X3d","Total Eclipse","I Robot (Expanded Edition)","The Alan Parsons Project",1977,192466,26,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.067,0.351,8,-14.033,1,0.0522,0.949,0.226,0.117,0.0243,76.089,5
2Pmkm67wkf5ucIO9XXJKld,"2m62cc253Xvd9qYQ8d2X3d","Genesis Ch.1. V.32","I Robot (Expanded Edition)","The Alan Parsons Project",1977,209173,39,spotify:user:seankmchenry,2022-09-13T12:58:31Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.526,0.582,2,-9.747,0,0.0372,0.256,0.984,0.11,0.162,126.615,4
3qvloAmvFZWsiXYgSKx1mt,"2m62cc253Xvd9qYQ8d2X3d","Voyager","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,134400,56,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.519,0.275,5,-15.431,0,0.0371,0.596,0.618,0.223,0.0754,100.606,4
0ryv1vK7yoPfJYNGKzlYpo,"2m62cc253Xvd9qYQ8d2X3d","What Goes Up","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,220426,44,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.668,0.223,10,-12.727,0,0.0297,0.132,0.0428,0.112,0.148,100.508,4
34hgfKMZNmdoSEqWg9JH9a,"2m62cc253Xvd9qYQ8d2X3d","The Eagle Will Rise Again","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,262333,41,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.554,0.186,10,-10.468,0,0.0271,0.797,0,0.149,0.119,82.732,4
3L1kYShISkg0UKyAHPkEcx,"2m62cc253Xvd9qYQ8d2X3d","One More River","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,256760,33,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.476,0.752,10,-9.035,1,0.0521,0.322,0.012,0.0853,0.302,135.813,4
4De9grPWp74WguGnlhepOL,"2m62cc253Xvd9qYQ8d2X3d","Can't Take It with You","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,305986,33,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.49,0.586,2,-10.623,1,0.0407,0.13,0.0052,0.0845,0.353,125.316,4
4BzNqGFc5lil9r9i7b3Xzg,"2m62cc253Xvd9qYQ8d2X3d","In the Lap of the Gods - Instrumental","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,328120,34,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.482,0.227,2,-12.143,1,0.0481,0.105,0.0632,0.0816,0.152,122.794,4
66w1iMtSQUJz5dsqJx4QPS,"2m62cc253Xvd9qYQ8d2X3d","Pyramania","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,162986,37,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.84,0.625,7,-9.301,1,0.0627,0.034,0.0000181,0.109,0.669,139.344,4
30XoqT3eqbI5b6AwL6xeUs,"2m62cc253Xvd9qYQ8d2X3d","Hyper-Gamma-Spaces - Instrumental","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,260000,39,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.629,0.671,9,-13.629,1,0.0443,0.19,0.942,0.158,0.827,164.057,4
2JLX2xO1gNSz6AaTOuxpO5,"2m62cc253Xvd9qYQ8d2X3d","Shadow of a Lonely Man","Pyramid (Expanded Edition)","The Alan Parsons Project",1978-06-01,334106,37,spotify:user:seankmchenry,2022-09-13T12:58:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.312,0.163,0,-15.173,1,0.0288,0.901,0.0000175,0.111,0.0428,140.686,4
6D37C639Czu2CWsSbrNFzA,"2m62cc253Xvd9qYQ8d2X3d","Lucifer","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,308520,37,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.627,0.918,0,-9.009,1,0.0388,0.162,0.856,0.046,0.653,120.279,4
7j9GUURex149VewCXZcFOC,"2m62cc253Xvd9qYQ8d2X3d","You Lie Down with Dogs","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,226266,26,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.708,0.726,0,-8.424,0,0.0512,0.31,0,0.166,0.827,113.284,4
7DO25cjWlLr7bKfLLhi5L4,"2m62cc253Xvd9qYQ8d2X3d","I'd Rather Be a Man","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,232026,24,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.579,0.861,2,-5.47,1,0.0382,0.381,0.0134,0.422,0.727,140.238,4
0pke1AeezaJTmW9T3vYt5r,"2m62cc253Xvd9qYQ8d2X3d","You Won't Be There","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,223013,25,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.379,0.446,2,-6.494,1,0.0312,0.44,0.0000363,0.0973,0.269,170.706,4
4wFj8d3boc6LTSkV86LC4v,"2m62cc253Xvd9qYQ8d2X3d","Winding Me Up","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,235600,27,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.588,0.736,9,-7.124,0,0.0636,0.339,0,0.313,0.803,132.252,4
3kFU73f5TWUdMejv7kvddR,"2m62cc253Xvd9qYQ8d2X3d","Damned If I Do","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,292840,37,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.556,0.639,7,-8.802,0,0.0382,0.732,0.00214,0.128,0.567,134.721,4
3rf9nX40mp7j8oSGFsPQqy,"2m62cc253Xvd9qYQ8d2X3d","Don't Hold Back","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,217400,23,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.718,0.738,2,-7.79,1,0.0868,0.214,0,0.236,0.861,125.966,4
2ZFrbJG0cdrLI0NdQdQmYH,"2m62cc253Xvd9qYQ8d2X3d","Secret Garden","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,283573,23,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.445,0.545,7,-9.614,1,0.0282,0.217,0.124,0.079,0.646,132.909,4
0r3LihiiLv8uJhh5x5XPpI,"2m62cc253Xvd9qYQ8d2X3d","If I Could Change Your Mind","Eve (Expanded Edition)","The Alan Parsons Project",1979-08-27,349466,34,spotify:user:seankmchenry,2022-09-13T12:58:35Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.42,0.383,7,-8.586,0,0.0263,0.669,0.00000242,0.0876,0.194,134.796,4
2fItqNfO1O5iBI4Jg2EXyR,"2m62cc253Xvd9qYQ8d2X3d","May Be A Price To Pay","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,300186,41,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.605,0.653,10,-9.604,1,0.0315,0.128,0.000424,0.115,0.31,110.343,4
2gQsUHVFY4tpXc3AFU2mcS,"2m62cc253Xvd9qYQ8d2X3d","Games People Play","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,263106,57,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.721,0.69,11,-10.533,0,0.0339,0.189,0.00000414,0.138,0.684,132.019,4
48yJZwYYDZX5GKFND7wDfC,"2m62cc253Xvd9qYQ8d2X3d","Time","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,314640,55,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.338,0.349,5,-12.7,0,0.0264,0.272,0.0677,0.143,0.109,146.827,4
1NUIYC9X6xt3U2ZEyyuHJj,"2m62cc253Xvd9qYQ8d2X3d","I Don't Wanna Go Home","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,292426,35,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.713,0.56,7,-10.769,1,0.056,0.218,0.0000928,0.0619,0.449,90.604,4
5IahL4vS4M6KXVKZuohVzX,"2m62cc253Xvd9qYQ8d2X3d","The Gold Bug","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,274093,44,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.642,0.582,0,-10.023,1,0.0345,0.026,0.703,0.437,0.786,122.468,4
4E6SMz8ioJ2jj8uQrULqWM,"2m62cc253Xvd9qYQ8d2X3d","The Turn Of A Friendly Card (Part One) - Part 1","The Turn Of A Friendly Card (Expanded Edition)","The Alan Parsons Project",1980-11-01,164680,55,spotify:user:seankmchenry,2022-09-13T12:58:37Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.481,0.285,2,-12,0,0.0325,0.616,0,0.67,0.485,176.621,4
