Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
47aG0qA2bPkdjBAvHx2Jf0,"39uizxoApgygEbDdJ9GEBA","El Tren De Tom","Sambaiana","Candeias",2017-07-28,277942,8,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.54,0.591,11,-13.247,0,0.0645,0.711,0.864,0.352,0.731,95.779,4
0OqyDw4w53S8OiSdQ5R6pN,"39uizxoApgygEbDdJ9GEBA","Paolinho","Sambaiana","Candeias",2017-07-28,228479,9,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.611,0.491,2,-10.955,1,0.0364,0.11,0.0000252,0.138,0.344,94.504,4
1TRFzG0ygREz3fS6SV520F,"39uizxoApgygEbDdJ9GEBA","Zimbao","Sambaiana","Candeias",2017-07-28,216382,10,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.542,0.434,11,-13.172,1,0.0393,0.454,0.89,0.0991,0.509,145.058,4
2etO8VjMh7Y9oQdj2B82j5,"39uizxoApgygEbDdJ9GEBA","Managua","Sambaiana","Candeias",2017-07-28,453145,6,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.533,0.549,9,-8.929,0,0.0393,0.305,0.132,0.088,0.836,130.212,4
3uokK5u4CxeYR8qcUAJKaB,"39uizxoApgygEbDdJ9GEBA","Sambaiana","Sambaiana","Candeias",2017-07-28,466583,12,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.45,0.6,4,-11.038,0,0.0427,0.503,0.691,0.0841,0.701,90.663,4
1TZZtWao3Z3g4DJMBPyrUp,"39uizxoApgygEbDdJ9GEBA","Casas De Invierno","Sambaiana","Candeias",2017-07-28,356525,4,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.335,0.206,1,-16.125,0,0.0348,0.873,0.638,0.131,0.117,129.85,4
6jD5MzgDokKR7qiO8Uzovc,"39uizxoApgygEbDdJ9GEBA","Palmeiras","Sambaiana","Candeias",2017-07-28,456395,17,spotify:user:seankmchenry,2022-04-21T16:02:10Z,"",0.441,0.822,1,-10.676,0,0.0655,0.25,0.0476,0.0979,0.733,105.494,4
0EHk53t7nVDeyNUozsCTSH,"6hf5SbdLHneMsvqE5L9y2k","God Only Knows","Does The Sun Really Shine On The Moon?","Gary McFarland & Co.",1968,157133,5,spotify:user:seankmchenry,2022-04-21T16:11:31Z,"",0.497,0.213,0,-18.014,1,0.0303,0.919,0.146,0.0873,0.62,130.224,4
7x7OOFoO0GQ4A6LSmOHQ6o,"6hf5SbdLHneMsvqE5L9y2k","By The Time I Get To Phoenix","Does The Sun Really Shine On The Moon?","Gary McFarland & Co.",1968,162533,4,spotify:user:seankmchenry,2022-04-21T16:11:31Z,"",0.462,0.254,5,-16.175,0,0.0269,0.497,0.493,0.123,0.294,101.353,4
275ePwimHlJ68NMvsrw5Ws,"6hf5SbdLHneMsvqE5L9y2k","Sunday Will Never Be The Same","Does The Sun Really Shine On The Moon?","Gary McFarland & Co.",1968,142200,3,spotify:user:seankmchenry,2022-04-21T16:11:31Z,"",0.446,0.555,3,-13.36,1,0.0308,0.329,0.196,0.113,0.66,133.671,4
