Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cmGoOiC6y7kUenRgG1j4u,"00gh6kmKYOu8xyorRxQm6a","Towards the Blue - 2021 Remastered","Quiet Music (35th Anniversary Remastered 3-Hour Collection)","Steve Roach",1986-04-16,200613,34,spotify:user:,2022-10-04T13:55:50Z,"ambient,drift,drone,fourth world,moog",0.108,0.0703,0,-23.166,1,0.0415,0.887,0.923,0.109,0.0324,92.562,3
7x9ytTQXFqpk9Mvh4uDUX6,"4fzLlOozmMPyVBg5o2Sd1j","Einklang","Hamel: Let It Play - Selected Pieces 1979-1983","Peter Michael Hamel",1979-01-01,604333,32,spotify:user:,2022-10-04T13:55:50Z,"berlin school,german contemporary classical,minimalism",0.0793,0.00771,3,-33.467,1,0.0356,0.925,0.837,0.0861,0.0292,68.712,4
5Z1HyqdD5QozNnFNZA8BMK,"6sd3qv6kReAdo6WsLBtXX4,7MSUfLeTdDEoZiJPDSBXgi","Meditation No. 2","Ambient 3: Day Of Radiance","Laraaji,Brian Eno",1980-08-01,470533,34,spotify:user:,2022-10-04T13:55:50Z,"ambient,art rock,drone,fourth world,art pop,compositional ambient,electronica,experimental,experimental ambient,glam rock,minimalism,singer-songwriter",0.134,0.0931,2,-26.765,0,0.0398,0.989,0.907,0.115,0.0359,80.923,4
5soViX7uPUyYaPT6EJJD5e,"1ZtE5MBw2gvmhdVXB909WU","Reflecting Light","Reflecting Light, Vol. 1","Suzanne Doucet",2019-10-04,167926,36,spotify:user:,2022-10-04T13:55:50Z,"meditation,spectra",0.14,0.489,7,-11.611,0,0.0391,0.741,0.732,0.47,0.189,76.66,3
0pDNtxXyRGR0BUlg2cSgPF,"370nbSkMB9kDWyTypwWYak","TREMBLING#2/揺動・#2(トレンブリング#2)","THE ENDLESS TALKING/エンドレス・トーキング","Haruomi Hosono",1985,343626,27,spotify:user:,2022-10-04T13:55:50Z,"classic j-rock,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei",0.237,0.0987,7,-35.574,1,0.0469,0.903,0.926,0.118,0.1,178.281,4
48MPwRtt4PRuC0gUZgkI48,"1DGpHnPOpMYY780hcQHmPB","Water Copy","Music for Nine Post Cards","Hiroshi Yoshimura",2017-11-03,371866,37,spotify:user:,2022-10-04T13:55:50Z,"ambient,fourth world,j-ambient",0.227,0.000882,1,-27.27,1,0.0507,0.945,0.916,0.094,0.425,107.782,4
5Q5MFVjUWVNgb7XBerPdbQ,"7MSUfLeTdDEoZiJPDSBXgi","Signals - Remastered 2005","Apollo","Brian Eno",1983-07-01,166560,48,spotify:user:,2022-10-04T13:55:50Z,"ambient,art pop,art rock,compositional ambient,electronica,experimental,experimental ambient,fourth world,glam rock,minimalism,singer-songwriter",0.0672,0.0119,6,-41.808,1,0.0457,0.969,0.944,0.12,0.0701,70.521,1
1WtvDfy0K96R0vnJPD21Gi,"1AhA5UAPUefljVYKupe1xp","Finally II","Sleeps with the Fishes","Pieter Nooten And Michael Brook",1987-10-12,113666,27,spotify:user:,2022-10-04T13:55:50Z,"",0.149,0.0157,3,-35.074,0,0.0366,0.944,0.938,0.0895,0.035,73.073,3
7teDfMIAWtfsPApTqcAJ6G,"08tfDO4dSrwxax35a3HIMC","Colored Air","ひとつぶの海","Toshifumi Hinata",1986-11-28,178066,33,spotify:user:,2022-10-04T13:55:50Z,"japanese soundtrack",0.228,0.075,9,-24.17,0,0.0442,0.994,0.827,0.0658,0.199,89.695,4
3c9lr5HgwAGEJbThGnkp3i,"5kNZV33crEsk2IMZMJ8bOQ,7MSUfLeTdDEoZiJPDSBXgi","Ba-benzélé","Fourth World Vol 1 Possible Musics","Jon Hassell,Brian Eno",1980-01-01,377066,25,spotify:user:,2022-10-04T13:55:50Z,"ambient,art pop,art rock,compositional ambient,drone,experimental,fourth world,free improvisation,jazz trumpet,minimalism,tennessee experimental,electronica,experimental ambient,glam rock,singer-songwriter",0.225,0.114,0,-29.439,1,0.0478,0.908,0.925,0.328,0.287,88.966,1
2mx7O88JR2wrlTqckLtr53,"6lhQfkLL5E1JHiam3nNvtN","Mkwaju","Computer Incarnations For World Peace III","Mkwaju Ensemble",2015-11-27,388085,31,spotify:user:,2022-10-04T13:55:50Z,"post-minimalism",0.713,0.49,8,-13.501,0,0.0471,0.89,0.9,0.121,0.299,121.312,4
2c343Y5TmH6jCs3ES9kxjp,"51Blml2LZPmy7TTiAg47vQ","4th Of July - Remastered 2009","The Unforgettable Fire (Remastered)","U2",1984-10-01,135053,31,spotify:user:,2022-10-04T13:55:50Z,"irish rock,permanent wave,rock",0.262,0.117,7,-22.289,1,0.0344,0.32,0.751,0.0556,0.149,138.129,4
7eyrOUEsP04DjbMAIUKXEV,"00gh6kmKYOu8xyorRxQm6a","Quiet Friend","Structures From Silence","Steve Roach",1984-07-24,803000,32,spotify:user:,2022-10-04T13:55:50Z,"ambient,drift,drone,fourth world,moog",0.171,0.0371,8,-32.469,0,0.0386,0.908,0.975,0.0792,0.0437,135.031,4
1LIUJgDSRkNYjo4tVtoz2e,"1FdNQlWcuAjkLTEx7xHf25","Epilogue","Nova + 4 (Extended Version)","Yutaka Hirose",1986-06-26,461533,25,spotify:user:,2022-10-04T13:55:50Z,"fourth world",0.271,0.0944,3,-24.945,0,0.0357,0.917,0.69,0.378,0.0362,137.592,4
4FelvwNQdtIoO8lxOEdiai,"5m1jRZQE4BjLrFrV33jIql","Four Paths","Land of Look Behind (Remastered + Expanded)","K. Leimer",2017-01-27,173048,22,spotify:user:,2022-10-04T13:55:50Z,"ambient,experimental ambient,fourth world",0.232,0.218,0,-15.951,1,0.0356,0.722,0.865,0.109,0.402,116.568,5
2Xi2uBeFHI8zs5spiNmyqg,"5ixSn3H9wbdWQxcf8qEKOV","The Unquestioned Answer","The Expanding Universe","Laurie Spiegel",2012-09-25,390720,37,spotify:user:,2022-10-04T13:55:50Z,"acousmatic,avant-garde,drone,experimental,fourth world,minimalism,proto-techno,sound art,spectra",0.109,0.00134,8,-26.147,1,0.0518,0.993,0.875,0.101,0.169,70.906,3
3Q6okpLoq2ZhOzZfBHpmei,"27RypxD9VhgrvCg9QePTLi,174yhQdHRtoWDlvtZ15NuK,3nNs3fKoNiAHgx4B6p5fYA","Suiren","Deep Listening","Pauline Oliveros,Stuart Dempster,Panaiotis",1989-01-01,601600,36,spotify:user:,2022-10-04T13:55:50Z,"acousmatic,american contemporary classical,avant-garde,contemporary classical,drone,experimental,fourth world,free improvisation,laboratorio,minimalism,musique concrete,sound art,spectra",0.0631,0.00256,7,-44.406,1,0.0452,0.977,0.84,0.115,0.0234,65.919,4
2i9UYFJDHwoLSRiib3recu,"5kNZV33crEsk2IMZMJ8bOQ","Empire I","Aka / Darbari / Java","Jon Hassell",1983-01-01,120426,30,spotify:user:,2022-10-04T13:55:50Z,"ambient,art pop,art rock,compositional ambient,drone,experimental,fourth world,free improvisation,jazz trumpet,minimalism,tennessee experimental",0.283,0.0725,4,-27.845,0,0.0418,0.996,0.929,0.259,0.706,131.364,4
0rtfF7pfVYD5nvBQ1mPRsD,"5Wabl1lPdNOeIn0SQ5A1mp,3uOCouLFR4bVx0XeiQJSbl","The Ghost Has No Home","The Moon and the Melodies","Cocteau Twins,Harold Budd",1986-11-10,455800,41,spotify:user:,2022-10-04T13:55:50Z,"alternative rock,art pop,art rock,dream pop,ethereal wave,melancholia,new wave,rock,scottish indie,shoegaze,ambient,american contemporary classical,compositional ambient,drone,fourth world,minimalism",0.205,0.0263,11,-26.887,1,0.0399,0.96,0.949,0.0916,0.0532,114.035,4
6RPQdkI8t1eaG2abymrYVK,"1DGpHnPOpMYY780hcQHmPB","GREEN","Green","Hiroshi Yoshimura",2020-03-20,314240,40,spotify:user:,2022-10-04T13:55:50Z,"ambient,fourth world,j-ambient",0.409,0.0128,9,-23.85,1,0.0492,0.994,0.933,0.0839,0.0558,75.532,4
4aCReuZq79LVyWPeJgkfbV,"0mwCI9ZfHyOj3ENpFd6AEn","Oceans Breath","Digital-Dance","Software",1987-12-31,561084,28,spotify:user:,2022-10-04T13:55:50Z,"organic ambient",0.58,0.329,9,-16.827,0,0.0371,0.721,0.55,0.286,0.0688,126.166,4
6WJrjN1mVZcgq07IKwTeYp,"39eBp0j2hpQyucio2z0el6","Prayer","Wizards","JD Emmanuel",2015-07-14,270480,20,spotify:user:,2022-10-04T13:55:50Z,"experimental ambient",0.131,0.0451,2,-22.649,0,0.0375,0.93,0.895,0.0988,0.136,97.218,3
0S9lwd7JF9878QQ6tuuIQg,"1DGpHnPOpMYY780hcQHmPB","Clouds","Music for Nine Post Cards","Hiroshi Yoshimura",2017-11-03,354693,42,spotify:user:,2022-10-04T13:55:50Z,"ambient,fourth world,j-ambient",0.339,0.00188,11,-26.29,0,0.0604,0.988,0.947,0.104,0.117,141.734,4
3tkinpOB2OpcA1q4P2JW3S,"2oyWkw7sq99yqj12hVUHtw","The Stigma Of Childhood (Kin)","Alchemy: An Index Of Possibilities (Remastered 2003)","David Sylvian",1985-12-14,510281,23,spotify:user:,2022-10-04T13:55:50Z,"ambient pop,art pop,art rock,experimental rock,fourth world,melancholia,new romantic,new wave,solo wave,sophisti-pop",0.108,0.0194,9,-20.089,1,0.0381,0.978,0.908,0.0753,0.0392,74.939,3
426vkEldQjsWIMCEx26Wee,"3yITaOTDcBPYNnYxlxQuUt","Golden Cloud Layers","The Space Between","Joanna Brouk",1981-01-01,396159,31,spotify:user:,2022-10-04T13:55:50Z,"fourth world,spectra",0.392,0.0368,1,-24.05,1,0.0813,0.985,0.964,0.109,0.0359,124.718,4
