Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7HRAvFFmKLydyLtX5LBOwH,"35U9lQaRWSQISxQAB94Meo","Survival","Alibi","America",1980-01-01,196093,37,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.704,0.471,10,-13.969,0,0.0291,0.0279,0,0.247,0.743,127.451,4
3mwccuMbbFdtDD4ljESTXI,"35U9lQaRWSQISxQAB94Meo","Might Be Your Love","Alibi","America",1980-01-01,226440,13,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.678,0.517,9,-13.108,0,0.0373,0.0257,0.000212,0.0537,0.746,114.851,4
6kwelcAE4QJLWfB2Wuwr3Z,"35U9lQaRWSQISxQAB94Meo","Catch That Train","Alibi","America",1980-01-01,183000,17,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.728,0.367,5,-16.069,1,0.0314,0.0963,0,0.128,0.615,124.786,4
0xdaDZ18exYP7CAYomqyWS,"35U9lQaRWSQISxQAB94Meo","You Could've Been The One","Alibi","America",1980-01-01,187893,15,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.709,0.421,1,-13.776,0,0.0378,0.129,0,0.17,0.788,122.373,4
26h2FAUtwrx6sLogRktl4r,"35U9lQaRWSQISxQAB94Meo","I Don't Believe In Miracles","Alibi","America",1980-01-01,203066,20,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.547,0.241,2,-16.592,1,0.037,0.287,0,0.159,0.26,141.052,4
6GRdoIFJKXgtf1bysrrXqX,"35U9lQaRWSQISxQAB94Meo","I Do Believe In You","Alibi","America",1980-01-01,225706,12,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.667,0.488,0,-14.421,1,0.0291,0.00333,0.0000531,0.0812,0.738,136.544,4
0607aVqnMlO5XDEeXFqNwq,"35U9lQaRWSQISxQAB94Meo","Hangover","Alibi","America",1980-01-01,221800,17,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.453,0.494,4,-14.286,1,0.0312,0.00878,0.0000232,0.129,0.826,174.775,4
2RGMDFFZt5jHlwfcxHJCvq,"35U9lQaRWSQISxQAB94Meo","Right Back To Me","Alibi","America",1980-01-01,210733,17,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.754,0.494,2,-14.324,1,0.0299,0.0115,0.0000229,0.216,0.885,121.1,4
02ZHW6ANdLSTYkUyHSW8HI,"35U9lQaRWSQISxQAB94Meo","Coastline","Alibi","America",1980-01-01,206626,12,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.557,0.199,4,-16.106,1,0.0292,0.653,0.00000145,0.31,0.371,100.864,4
3Utu6fwA6jhpCjneBrYRog,"35U9lQaRWSQISxQAB94Meo","Valentine","Alibi","America",1980-01-01,215333,11,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.616,0.626,4,-12.512,1,0.0438,0.00743,0.000162,0.209,0.928,136.616,4
63ca0TQ4R6u4HWGreSWv0f,"35U9lQaRWSQISxQAB94Meo","One In A Million","Alibi","America",1980-01-01,172000,13,spotify:user:seankmchenry,2022-06-01T16:08:48Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.562,0.11,4,-19.402,1,0.0318,0.684,0.0000112,0.27,0.119,105.757,4
5dXED6MP1v1qghkaniirb1,"35U9lQaRWSQISxQAB94Meo","You Can Do Magic","View From The Ground","America",1982-01-01,237466,62,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,4
7JU0032XswfpKCWJIrKzpU,"35U9lQaRWSQISxQAB94Meo","Never Be Lonely","View From The Ground","America",1982-01-01,239466,30,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.649,0.551,2,-13.759,1,0.036,0.00853,0,0.0654,0.813,148.622,4
76gQsrsAoBK7cHdMq95ub0,"35U9lQaRWSQISxQAB94Meo","You Girl","View From The Ground","America",1982-01-01,213493,22,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.515,0.269,11,-14.696,0,0.0402,0.261,0,0.0868,0.325,181.568,3
7kthOEffJQSYAIIh6BEAJE,"35U9lQaRWSQISxQAB94Meo","Inspector Mills","View From The Ground","America",1982-01-01,312600,50,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.52,0.329,0,-13.421,0,0.0237,0.0972,0,0.0754,0.347,89.518,4
3GM27eB4mkZ5tH9dAm43Po,"35U9lQaRWSQISxQAB94Meo","Love On The Vine","View From The Ground","America",1982-01-01,201040,21,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.767,0.389,9,-14.473,1,0.0367,0.22,0,0.154,0.708,116.267,4
7kxhdr52nAI2eXiy0ej0J0,"35U9lQaRWSQISxQAB94Meo","Desperate Love","View From The Ground","America",1982-01-01,239200,19,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.639,0.59,6,-12.182,0,0.0329,0.14,0,0.202,0.785,131.962,4
1nZb59z7a16fY7HmHbLIZI,"35U9lQaRWSQISxQAB94Meo","Right Before Your Eyes","View From The Ground","America",1982-01-01,233400,43,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.569,0.226,7,-17.414,1,0.0371,0.859,0.00000355,0.0867,0.345,66.864,4
5LOLaAkgjunrslcdrjjvRb,"35U9lQaRWSQISxQAB94Meo","Jody","View From The Ground","America",1982-01-01,237093,34,spotify:user:seankmchenry,2022-06-01T16:08:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.761,0.389,6,-14.876,0,0.0438,0.243,0,0.316,0.871,125.694,4
