Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2zZWDvmCghTF41k6I4uN9g,"Summer Jazz","Five X Five","Accura",2022-06-10,294062,12,seankmchenry,2024-11-19T21:53:37Z,"","Invisible City Editions",0.61,0.677,4,-9.949,0,0.0309,0.0029,0.746,0.112,0.401,97.217,4
7tBlvnHLTox3S0yB6nIV2Q,"Lazy Nina","Pulse (Expanded Edition)","Greg Phillinganes",1984,326613,43,seankmchenry,2024-11-19T19:10:03Z,"yacht rock","RCA/Legacy",0.625,0.5,7,-9.104,1,0.0873,0.183,0.00000337,0.0378,0.777,202.318,4
37RFjhP6MhiQYstxN04yyw,"I Just Gotta Have You (Lover Turn Me On)","Kashif (Expanded Edition)","Kashif",2014-10-27,348666,37,seankmchenry,2024-11-19T19:17:15Z,"contemporary r&b,disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","Legacy Recordings",0.889,0.377,5,-13.331,0,0.0604,0.00591,0.000823,0.0831,0.812,116.028,4
6GAn3ar2CL8wUg0MbICZvp,"Don't Disturb This Groove","Don't Disturb This Groove","The System",1987-01-01,317874,48,seankmchenry,2024-11-19T19:13:06Z,"funk,new jack swing,post-disco,quiet storm,urban contemporary","Mirage Records / Unidisc Music Inc.",0.521,0.878,9,-8.597,1,0.0542,0.286,0.0000068,0.136,0.841,159.625,4
2KY0QUeRY3IPuJI1gyU9BJ,"Steppin' Out","Night And Day","Joe Jackson",1982-01-01,268200,50,seankmchenry,2024-11-19T19:13:53Z,"mellow gold,new romantic,new wave,new wave pop,permanent wave,singer-songwriter,sophisti-pop","A&M",0.579,0.223,11,-20.208,1,0.0364,0.0439,0.00232,0.0613,0.532,159.696,4
3fetxZaOGb58t8M2BO7NW5,"Involved With You","Skippy Knows","Whadya Want?",1985-01-01,298510,0,seankmchenry,2024-11-19T20:26:32Z,"","Chapter Music",0.702,0.693,5,-10.304,0,0.0332,0.00819,0.156,0.336,0.884,104.322,4
5KbatfDeQKJL7DOBgLL44g,"Why Why - Vocal Version","Why Why","Rare Band",1986,412995,11,seankmchenry,2024-11-19T19:10:03Z,"","RA - RE Productions",0.82,0.685,2,-12.519,0,0.0389,0.0947,0.0302,0.0736,0.973,117.97,4
4J7VHvypV4zMZ9fMB3pwAA,"Say Somethin' Love","Kashif (Expanded Edition)","Kashif",2014-10-27,314373,22,seankmchenry,2024-11-19T19:13:45Z,"contemporary r&b,disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","Legacy Recordings",0.805,0.4,2,-11.701,1,0.0295,0.11,0.00000761,0.0652,0.629,110.956,4
2DsECqS7xlgVWgrDH5fBEH,"Serious","Respect","Billy Griffin",2014-12-19,300026,19,seankmchenry,2024-11-19T20:04:05Z,"post-disco,post-disco soul,yacht rock","SMCMG",0.835,0.648,11,-9.836,0,0.0273,0.36,0.00554,0.167,0.97,113.492,4
7khzIPpqJO6NY6gxE4unIB,"Like An Eagle","Like An Eagle","Dennis Parker",1979-10-28,393440,26,seankmchenry,2024-11-19T19:10:45Z,"","Scorpio Music",0.517,0.922,7,-4.929,0,0.0354,0.483,0.26,0.651,0.715,104.922,4
