Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
19UKvVlYAfiwsdrWSsEKbe,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Begins","Fallen","Steven Julien,Funkineven",2016-07-15,121290,4,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.169,0.261,5,-10.1,0,0.0342,0.619,0.875,0.265,0.0702,103.353,1
0IKqItPMVJjUi1rTs3syYA,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Chantel","Fallen","Steven Julien,Funkineven",2016-07-15,279675,7,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.594,0.728,9,-10.306,1,0.0398,0.41,0.953,0.0875,0.548,117.029,4
7Gqn3X8EeIj07eOVf5OcSA,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Carousel","Fallen","Steven Julien,Funkineven",2016-07-15,401134,4,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.709,0.497,10,-10.7,0,0.0876,0.0225,0.887,0.157,0.932,123.027,4
21E8IqPzXj5lAfEan8ODjL,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","XL","Fallen","Steven Julien,Funkineven",2016-07-15,385539,12,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.646,0.646,7,-8.283,1,0.0379,0.0451,0.825,0.181,0.435,119.966,4
4nHaVmoiaVISLT7FzAqX1M,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Marie","Fallen","Steven Julien,Funkineven",2016-07-15,253458,5,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.746,0.366,10,-11.551,0,0.0504,0.117,0.884,0.111,0.313,122.039,4
2cHQBe7f3JyMlCSvXtzi9r,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Oshun","Fallen","Steven Julien,Funkineven",2016-07-15,360517,4,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.572,0.433,11,-12.144,0,0.0296,0.0683,0.861,0.114,0.0392,117.03,4
0oqi2SYpdGogVjaA9V9xMw,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Fallen","Fallen","Steven Julien,Funkineven",2016-07-15,215924,2,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.365,0.0541,2,-17.072,1,0.0429,0.705,0.925,0.109,0.0403,119.913,3
6WRru4AbqeNeOLm6r10DXS,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Jedi","Fallen","Steven Julien,Funkineven",2016-07-15,307127,5,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.724,0.298,7,-10.647,1,0.0516,0.258,0.744,0.0793,0.157,128.038,4
2ynxsanWpdQ50n9CmjPZyw,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Kingdom","Fallen","Steven Julien,Funkineven",2016-07-15,375971,3,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.671,0.932,6,-6.917,1,0.101,0.00113,0.296,0.0693,0.776,124.01,4
4ZxGlbhUlmNIj7TkLh9ynH,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Reficul","Fallen","Steven Julien,Funkineven",2016-07-15,150442,2,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.934,0.408,10,-9.491,0,0.446,0.719,0.91,0.105,0.7,125.959,4
2EeIIOfVQlcxGwEdB5uKcc,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Disciple","Fallen","Steven Julien,Funkineven",2016-07-15,351070,2,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.63,0.861,7,-5.864,1,0.145,0.0000882,0.794,0.124,0.396,119.981,4
5jiyOaNCxET7BrSs9MODmH,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","End","Fallen","Steven Julien,Funkineven",2016-07-15,146514,2,spotify:user:seankmchenry,2022-11-17T13:52:23Z,"synth funk",0.202,0.108,6,-16.248,0,0.0396,0.884,0.873,0.11,0.032,129.31,5
7cQIxxjEV3Thav6oeLlieA,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Hunt","Bloodline","Steven Julien,Funkineven",2018-04-27,181814,2,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.143,0.232,5,-16.542,1,0.0316,0.396,0.964,0.27,0.0342,138.765,4
4Yu0q3gwTsozP85LSMXefw,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Roll Of The Dice","Bloodline","Steven Julien,Funkineven",2018-04-27,317972,3,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.724,0.953,8,-8.071,0,0.0814,0.105,0.762,0.109,0.294,132.027,4
0a2D7rGrUHE85jxnrYKWiR,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Bloodline","Bloodline","Steven Julien,Funkineven",2018-04-27,323915,12,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.747,0.726,7,-7.136,1,0.0744,0.000135,0.889,0.108,0.0666,129.366,4
4WkX0rc2E7nNcaUSu37Xbj,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Apache","Bloodline","Steven Julien,Funkineven",2018-04-27,248272,3,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.46,0.958,9,-7.445,1,0.0492,0.0000336,0.886,0.114,0.198,118.993,4
7KTvdv4nqZ4t7DMK1GRlRF,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Queen of Ungilsan","Bloodline","Steven Julien,Funkineven",2018-04-27,440985,9,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.678,0.733,7,-7.421,1,0.0642,0.00743,0.871,0.0643,0.25,116.999,4
47ajzq48EyVZ8DSRVad4CE,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","IDK","Bloodline","Steven Julien,Funkineven",2018-04-27,240124,4,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.675,0.462,0,-10.196,1,0.041,0.00307,0.92,0.105,0.194,120.032,3
2EZsX9VUxtFG5KpkXJcgmA,"37pVxtkN0BLmY6QOliGkJK,66eOeiAFnlkETKUlxWQCze","Temple Rd","Bloodline","Steven Julien,Funkineven",2018-04-27,51606,2,spotify:user:seankmchenry,2022-11-17T13:52:24Z,"synth funk",0.147,0.198,9,-18.498,1,0.0332,0.944,0.745,0.101,0.0602,94.739,1
5flvZ7bpzJceH8FQrtg2fw,"0G5DAclFC37VLM1kKPHg3w,4AflEeXdD0VohMzZvOGo55,4nj08WhiOMFnEocWapszdl","Icarus","Ratgrave","Ratgrave,Max Graef,Julius Conrad",2018-07-31,216470,12,spotify:user:seankmchenry,2022-11-17T13:52:32Z,"experimental electronic,lo-fi house",0.722,0.639,9,-11.379,1,0.0569,0.459,0.868,0.077,0.729,120.027,4
5YYr5oocuY4vsDKE7aHpi9,"0G5DAclFC37VLM1kKPHg3w,4AflEeXdD0VohMzZvOGo55,4nj08WhiOMFnEocWapszdl","Big Sausage Pizza","Ratgrave","Ratgrave,Max Graef,Julius Conrad",2018-07-31,197915,10,spotify:user:seankmchenry,2022-11-17T13:52:32Z,"experimental electronic,lo-fi house",0.898,0.62,1,-8.207,1,0.135,0.00626,0.191,0.0873,0.895,132.997,4
