Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1jjsmnNGhsisgMzjpPgbwF,"1uxukWQhdHLhZdpPaQEGYs","Mister Lucky","Movement in the City","Movement in the City",1979-11-12,534651,3,spotify:user:seankmchenry,2022-11-30T14:20:07Z,"",0.647,0.61,5,-11.855,1,0.0427,0.344,0.696,0.0655,0.942,112.281,4
3u3nXOtuedQLgdnwqwOooj,"1uxukWQhdHLhZdpPaQEGYs","Movement in the City","Movement in the City","Movement in the City",1979-11-12,431096,2,spotify:user:seankmchenry,2022-11-30T14:20:07Z,"",0.604,0.463,0,-13.318,1,0.0332,0.583,0.854,0.135,0.618,111.017,4
7FoBTroNnGwIsXQ3vg2k1l,"1uxukWQhdHLhZdpPaQEGYs","Country Movement","Movement in the City","Movement in the City",1979-11-12,345287,1,spotify:user:seankmchenry,2022-11-30T14:20:07Z,"",0.729,0.632,11,-11.274,0,0.0426,0.151,0.816,0.0957,0.737,125.904,4
7rnrqBy7UOkSbwbBQbYypc,"1uxukWQhdHLhZdpPaQEGYs","Jackie","Movement in the City","Movement in the City",1979-11-12,437224,1,spotify:user:seankmchenry,2022-11-30T14:20:07Z,"",0.533,0.539,5,-10.443,1,0.0325,0.0917,0.717,0.308,0.829,135.979,4
1oXG5CkVeJllZ9wYI7EcJy,"1uxukWQhdHLhZdpPaQEGYs","Blue Sunday","Movement in the City","Movement in the City",1979-11-12,298221,3,spotify:user:seankmchenry,2022-11-30T14:20:07Z,"",0.441,0.133,2,-15.823,1,0.0323,0.265,0.685,0.0854,0.359,95.511,4
3FXup0GkJkH3nLnOmDKFPc,"5aoTUcGtI83q6Y8Lqvl4Pm","Newness","uGaba the Migration","Sisonke Xonti",2020-11-13,381093,15,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.457,0.502,10,-12.091,1,0.0323,0.518,0.86,0.151,0.316,102.153,4
67jmEthwjXrs4cut2mUkgN,"5aoTUcGtI83q6Y8Lqvl4Pm","The Migration Suite Part I","uGaba the Migration","Sisonke Xonti",2020-11-13,258986,8,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.225,0.211,0,-14.875,0,0.0345,0.342,0.546,0.249,0.0384,72.271,4
2aUgQ0RxwcOOGCrWKYwUAC,"5aoTUcGtI83q6Y8Lqvl4Pm","The Migration Suite Part II","uGaba the Migration","Sisonke Xonti",2020-11-13,444120,12,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.424,0.587,0,-10.168,0,0.0464,0.286,0.135,0.0798,0.636,109.071,3
5AYgEjnZYw5h0yXxs81rq0,"5aoTUcGtI83q6Y8Lqvl4Pm","The Migration Suite Part III","uGaba the Migration","Sisonke Xonti",2020-11-13,466533,6,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.368,0.459,5,-12.726,0,0.0315,0.455,0.924,0.103,0.196,126.704,4
6CPyddRTgYe4rFRBtR6DXa,"5aoTUcGtI83q6Y8Lqvl4Pm","The Migration Suite Part IV","uGaba the Migration","Sisonke Xonti",2020-11-13,561293,7,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.369,0.305,0,-13.461,1,0.0352,0.697,0.688,0.0723,0.199,91.269,3
08SE0pY4CLGgnr7UMTkWet,"5aoTUcGtI83q6Y8Lqvl4Pm","Sinivile","uGaba the Migration","Sisonke Xonti",2020-11-13,389440,13,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.373,0.534,3,-11.536,0,0.0346,0.19,0.0187,0.107,0.364,83.181,4
4ciSeIx6HyHTWhnQ16NGu5,"5aoTUcGtI83q6Y8Lqvl4Pm","The Call","uGaba the Migration","Sisonke Xonti",2020-11-13,306706,8,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.592,0.434,1,-12.227,1,0.0291,0.701,0.219,0.12,0.335,124.993,1
15fCRiK9RQ5jVacNM9rNnx,"5aoTUcGtI83q6Y8Lqvl4Pm","Minneapolis","uGaba the Migration","Sisonke Xonti",2020-11-13,241640,6,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.304,0.184,10,-14.067,1,0.0323,0.769,0.632,0.103,0.12,126.933,4
7MlAiWJzARYPgkamQJKFjK,"5aoTUcGtI83q6Y8Lqvl4Pm","Nomalungelo","uGaba the Migration","Sisonke Xonti",2020-11-13,314466,6,spotify:user:seankmchenry,2022-11-30T14:54:00Z,"south african modern jazz",0.58,0.752,1,-9.518,1,0.0596,0.0773,0.000531,0.0383,0.692,125.845,3
4yiRp0CiGw5SzVBiA50g1m,"06D9toFHnkYxp4DVEsyWYm","Early-Mart","Early-Mart","Gideon Nxumalo",1970,911080,1,spotify:user:seankmchenry,2022-11-30T14:54:32Z,"",0.468,0.409,2,-17.611,0,0.0771,0.615,0.507,0.353,0.325,130.324,4
0lKqbn79aElZJE818L6Fcz,"06D9toFHnkYxp4DVEsyWYm","Frustration","Early-Mart","Gideon Nxumalo",1970,257906,0,spotify:user:seankmchenry,2022-11-30T14:54:32Z,"",0.366,0.137,2,-19.425,0,0.0336,0.986,0.934,0.112,0.163,74.179,4
3TRAs2xDm2affyIpuadNwK,"06D9toFHnkYxp4DVEsyWYm","Slow Blues","Early-Mart","Gideon Nxumalo",1970,581498,0,spotify:user:seankmchenry,2022-11-30T14:54:32Z,"",0.507,0.0829,2,-16.699,0,0.0322,0.981,0.45,0.227,0.23,97.595,4
6THK8NGZRmplLFuvJrFfqL,"06D9toFHnkYxp4DVEsyWYm","When the Saints Go Marching In","Early-Mart","Gideon Nxumalo",1970,420925,0,spotify:user:seankmchenry,2022-11-30T14:54:32Z,"",0.623,0.0714,0,-23.67,1,0.0418,0.979,0.864,0.0987,0.437,146.284,4
7lGr7RD6EEjqEvu4oLlnVv,"1uxukWQhdHLhZdpPaQEGYs,1BpS3pvLEEb19kOktkdhM9","Lament","Black Teardrops","Movement in the City,Pops Mohamed",1981,812693,4,spotify:user:seankmchenry,2022-11-30T14:18:01Z,"south african jazz",0.67,0.341,9,-13.367,0,0.0602,0.333,0.864,0.0635,0.809,120.145,4
16Sp1IAvzFLgg3z4dL97mq,"1uxukWQhdHLhZdpPaQEGYs,1BpS3pvLEEb19kOktkdhM9","Black Teardrops","Black Teardrops","Movement in the City,Pops Mohamed",1981,444413,3,spotify:user:seankmchenry,2022-11-30T14:18:01Z,"south african jazz",0.515,0.444,5,-12.181,1,0.0341,0.382,0.213,0.122,0.571,76.938,4
3U9jacLko2vTMMYW7tXJCd,"1uxukWQhdHLhZdpPaQEGYs,1BpS3pvLEEb19kOktkdhM9","Seagull","Black Teardrops","Movement in the City,Pops Mohamed",1981,346800,1,spotify:user:seankmchenry,2022-11-30T14:18:01Z,"south african jazz",0.451,0.522,0,-10.38,1,0.0297,0.285,0.148,0.211,0.544,115.544,4
3L9QumV4R2xIQO72SzlCYH,"1uxukWQhdHLhZdpPaQEGYs,1BpS3pvLEEb19kOktkdhM9","Camel Walk","Black Teardrops","Movement in the City,Pops Mohamed",1981,839720,6,spotify:user:seankmchenry,2022-11-30T14:18:01Z,"south african jazz",0.535,0.16,0,-16.256,1,0.049,0.897,0.897,0.0867,0.76,121.075,4
1XlAgXFQep6X6OJjYymHNs,"6rjoMb9Db0au9HmPyFgTGC","Trane Ride","Did You Tell Your Mother","Tete Mbambisa",1979,681277,4,spotify:user:seankmchenry,2022-11-30T14:19:54Z,"",0.462,0.358,2,-14.207,1,0.0304,0.71,0.907,0.0943,0.315,131.891,3
4GLnXhAvyEDaYMayvFzdFi,"6rjoMb9Db0au9HmPyFgTGC","Past Time","Did You Tell Your Mother","Tete Mbambisa",1979,568969,3,spotify:user:seankmchenry,2022-11-30T14:19:54Z,"",0.63,0.336,2,-14.561,0,0.0346,0.611,0.948,0.0929,0.341,113.889,3
2MzaLK0dbuuA8jgD0dOwrB,"6rjoMb9Db0au9HmPyFgTGC","Wintertime","Did You Tell Your Mother","Tete Mbambisa",1979,485863,2,spotify:user:seankmchenry,2022-11-30T14:19:54Z,"",0.598,0.417,0,-13.543,1,0.0356,0.757,0.791,0.108,0.455,132.155,4
7ldofdPLgf4Dr2XqonW0zW,"6rjoMb9Db0au9HmPyFgTGC","Irene","Did You Tell Your Mother","Tete Mbambisa",1979,574549,2,spotify:user:seankmchenry,2022-11-30T14:19:54Z,"",0.634,0.317,0,-15.72,1,0.033,0.843,0.927,0.1,0.346,131.125,4
3iaV7fCTkWsUZfy5Glvbtk,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Yasmeen's Blues","Night Express","Black Disco,Pops Mohamed",1976,290996,5,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.6,0.431,5,-14.11,1,0.0479,0.0904,0.862,0.0853,0.607,96.061,4
2yKN8DYmB8nBZtOo5IYA4x,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Night Express","Night Express","Black Disco,Pops Mohamed",1976,679007,12,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.552,0.524,9,-15.626,0,0.0613,0.0772,0.933,0.183,0.76,93.983,4
0uzBa8cqofwUYxb4QGVTyF,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Super Natural Love","Night Express","Black Disco,Pops Mohamed",1976,267031,2,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.415,0.247,2,-18.012,0,0.142,0.986,0.776,0.0893,0.248,219.094,4
0gaOWI1krdjMDs7UYbeYQ5,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Oh Happy Day","Night Express","Black Disco,Pops Mohamed",1976,414995,3,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.581,0.477,7,-16.256,1,0.0373,0.243,0.935,0.104,0.855,107.315,4
77sbm0Q9ko6dIsGezm4Lyx,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Echo on the Delay","Night Express","Black Disco,Pops Mohamed",1976,288056,2,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.73,0.205,2,-17.272,1,0.0828,0.964,0.92,0.0801,0.459,101.656,4
5oXoxeBNEHIuTS2MqMva1I,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Odds On","Night Express","Black Disco,Pops Mohamed",1976,440999,2,spotify:user:seankmchenry,2022-11-30T14:46:17Z,"south african jazz",0.772,0.586,0,-14.861,1,0.0681,0.108,0.892,0.0866,0.964,83.936,4
1EBr8gMe7bTX9iIdyD7Bri,"3jy6oW7QNRoAONQc4ZIPGE,6qshOTFUQhvYrza4Sc85Tl","Africa","African Songbird","Sathima Bea Benjamin,Dollar Brand",1976,1282000,6,spotify:user:seankmchenry,2022-11-30T14:51:29Z,"south african jazz",0.282,0.48,5,-16.188,0,0.146,0.114,0.0306,0.143,0.439,171.351,4
5j7t5xoAjBWBul7MrQ2AZG,"3jy6oW7QNRoAONQc4ZIPGE","Music","African Songbird","Sathima Bea Benjamin",1976,532000,4,spotify:user:seankmchenry,2022-11-30T14:51:29Z,"south african jazz",0.42,0.175,2,-20.629,1,0.0453,0.624,0.0789,0.108,0.448,115.215,4
07uTmrJGZT3D1T5f4OeSzw,"3jy6oW7QNRoAONQc4ZIPGE","African Songbird","African Songbird","Sathima Bea Benjamin",1976,309999,2,spotify:user:seankmchenry,2022-11-30T14:51:29Z,"south african jazz",0.19,0.0213,7,-22.597,1,0.0492,0.952,0.00223,0.958,0.0746,81.931,4
6nwaRbvpCt846PJa1Xrimm,"55S8nqki3JZcFbwbxsS9PH","Chapita","Chapita","Dick Khoza",1976,588326,15,spotify:user:seankmchenry,2022-11-30T14:49:16Z,"",0.443,0.411,11,-15.088,1,0.0737,0.0209,0.0000899,0.102,0.694,177.755,4
54ndGmai37h50RRcbJnluh,"55S8nqki3JZcFbwbxsS9PH","Zumbwe (Baby Tiger)","Chapita","Dick Khoza",1976,432942,2,spotify:user:seankmchenry,2022-11-30T14:49:16Z,"",0.598,0.583,4,-15.745,0,0.0744,0.00988,0.504,0.125,0.682,110.831,4
3c9ira6471q1mGJj2Irlzk,"55S8nqki3JZcFbwbxsS9PH","African Jive (Moto)","Chapita","Dick Khoza",1976,388026,3,spotify:user:seankmchenry,2022-11-30T14:49:16Z,"",0.583,0.604,4,-12.09,0,0.0517,0.00508,0.641,0.0496,0.868,128.602,4
4zHWwVqbSPW8ssBudTI03x,"55S8nqki3JZcFbwbxsS9PH","Lilongwe","Chapita","Dick Khoza",1976,449203,3,spotify:user:seankmchenry,2022-11-30T14:49:16Z,"",0.701,0.524,11,-16.647,1,0.0382,0.0126,0.398,0.149,0.927,112.35,4
4BEzFAksE2NYZL1tywmxWt,"55S8nqki3JZcFbwbxsS9PH","WD 46 Mendi Road","Chapita","Dick Khoza",1976,228343,2,spotify:user:seankmchenry,2022-11-30T14:49:16Z,"",0.644,0.539,2,-15.219,1,0.0412,0.0616,0,0.0573,0.96,128.6,4
4lErzX8UxzI5xGhDvRUAWx,"7ysTOQaGnMADNmc9CUAsE8","Coming Home","Blue Mike","Mike Makhalemele",1982,390681,0,spotify:user:seankmchenry,2022-11-30T14:49:35Z,"south african jazz",0.591,0.362,0,-13.658,1,0.0313,0.456,0.356,0.366,0.441,125.847,4
7wvKb71ZtehYX1iLiFd0nw,"7ysTOQaGnMADNmc9CUAsE8","I Remember You (Dedicated To Henry Sithole)","Blue Mike","Mike Makhalemele",1982,466336,0,spotify:user:seankmchenry,2022-11-30T14:49:35Z,"south african jazz",0.459,0.708,5,-11.633,1,0.0453,0.56,0.589,0.093,0.577,131.301,4
6Uh7PjT0qVYvKfrIOB6Gn8,"7ysTOQaGnMADNmc9CUAsE8","The Roaring Lion","Blue Mike","Mike Makhalemele",1982,325145,0,spotify:user:seankmchenry,2022-11-30T14:49:35Z,"south african jazz",0.487,0.437,0,-14.424,1,0.0338,0.427,0.055,0.334,0.483,67.75,4
4X2KPeRfZJCyDOnCAabAUl,"7ysTOQaGnMADNmc9CUAsE8","Blue Mike","Blue Mike","Mike Makhalemele",1982,551826,0,spotify:user:seankmchenry,2022-11-30T14:49:35Z,"south african jazz",0.48,0.42,0,-12.85,1,0.0398,0.57,0.0751,0.074,0.369,127.247,4
2fCqcuTRRmCHxu2rMpkZ1E,"7ysTOQaGnMADNmc9CUAsE8","Spring is Here","Blue Mike","Mike Makhalemele",1982,373144,1,spotify:user:seankmchenry,2022-11-30T14:49:35Z,"south african jazz",0.607,0.373,7,-12.932,0,0.0554,0.619,0.0789,0.0773,0.31,130.473,4
2ygaZefdVaGRrTLz6ofmo1,"70qTlM4lQsyQKSX6ZG56mn","Godfather Special","Banana City Jive","Sipho Gumede",1991,400546,1,spotify:user:seankmchenry,2022-11-30T14:55:42Z,"afro soul,south african jazz,south african pop",0.757,0.658,0,-9.317,1,0.0273,0.67,0.612,0.0829,0.846,104.403,4
1ZLmKU0cwB0OjaMAaF1VPc,"70qTlM4lQsyQKSX6ZG56mn","What's Your Name Girl?","Banana City Jive","Sipho Gumede",1991,334213,1,spotify:user:seankmchenry,2022-11-30T14:55:42Z,"afro soul,south african jazz,south african pop",0.481,0.508,1,-11.545,1,0.0334,0.175,0.791,0.0555,0.803,107.178,4
4t9gML5On87e5hgHsxIOdu,"70qTlM4lQsyQKSX6ZG56mn","African Wedding","Banana City Jive","Sipho Gumede",1991,364560,1,spotify:user:seankmchenry,2022-11-30T14:55:42Z,"afro soul,south african jazz,south african pop",0.547,0.665,7,-10.152,1,0.034,0.0493,0.895,0.0882,0.933,117.541,4
