Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3qhG4d1DcIqxxmdqXGBHu9,"3OtCzBJs5hFZapz4lY6aWa","Beginning, Becoming","Music for Growing Plants","Christopher Stracey",2021-03-05,364133,37,spotify:user:seankmchenry,2022-06-03T15:21:10Z,"",0.0981,0.244,10,-16.6,1,0.041,0.893,0.934,0.0944,0.039,84.111,4
6RJwUTMXaOYUWQyFkeFcoR,"3OtCzBJs5hFZapz4lY6aWa","Life in the Afternoon","Music for Growing Plants","Christopher Stracey",2021-03-05,173000,14,spotify:user:seankmchenry,2022-06-03T15:21:10Z,"",0.716,0.297,1,-12.955,0,0.0581,0.0857,0.0885,0.0916,0.919,154,4
42py5dzAgoeMkUS7cAVMmw,"3OtCzBJs5hFZapz4lY6aWa","Sky is a Circle","Music for Growing Plants","Christopher Stracey",2021-03-05,296093,14,spotify:user:seankmchenry,2022-06-03T15:21:10Z,"",0.68,0.574,11,-13.52,1,0.0345,0.565,0.818,0.103,0.747,120.003,4
6bJnZZoB9gXIptNH1yYcp2,"0eITo7g6A2KotUJH5bjm2W","Golden Pothos","The Indoor Gardener","Double Geography",2020-07-27,329398,8,spotify:user:seankmchenry,2022-06-03T15:21:42Z,"",0.599,0.712,2,-11.547,1,0.0477,0.0162,0.779,0.0658,0.387,176.017,4
0HdqhkZUMn79akzQCiNh52,"0eITo7g6A2KotUJH5bjm2W","Dracaena","The Indoor Gardener","Double Geography",2020-07-27,303483,3,spotify:user:seankmchenry,2022-06-03T15:21:42Z,"",0.605,0.776,8,-13.276,0,0.0424,0.0305,0.889,0.11,0.616,120.016,4
42dw6qU6WpfDhjieXOKB7M,"7eyWPOTe3uwT8t8FT8sFXV","Klangschwaden","Walkman","G.B. Beckers",2018-10-09,310476,9,spotify:user:seankmchenry,2022-06-03T15:22:23Z,"",0.459,0.341,2,-13.384,1,0.0344,0.654,0.554,0.554,0.0994,177.304,4
1XNK7rvnDF5ljrk06WNzzK,"7eyWPOTe3uwT8t8FT8sFXV","Walkman","Walkman","G.B. Beckers",2018-10-09,323163,36,spotify:user:seankmchenry,2022-06-03T15:22:23Z,"",0.72,0.323,2,-13.96,1,0.0334,0.151,0.0132,0.247,0.226,107.354,4
6UYWctsd0e6g2m9JvXzErv,"1DGpHnPOpMYY780hcQHmPB","CREEK","Green","Hiroshi Yoshimura",2020-03-20,293200,35,spotify:user:seankmchenry,2022-06-03T15:22:40Z,"ambient,fourth world,j-ambient",0.679,0.373,0,-16.642,1,0.138,0.66,0.915,0.0767,0.585,124.474,4
6RPQdkI8t1eaG2abymrYVK,"1DGpHnPOpMYY780hcQHmPB","GREEN","Green","Hiroshi Yoshimura",2020-03-20,314240,40,spotify:user:seankmchenry,2022-06-03T15:22:40Z,"ambient,fourth world,j-ambient",0.409,0.0128,9,-23.85,1,0.0492,0.994,0.933,0.0839,0.0558,75.532,4
6fDu4G55Zv6iSx08bBFqPV,"3YQwxKTjtAELAeGeqY4HgJ","Levante","Milvus","Hear & Now",2021-08-13,367767,8,spotify:user:seankmchenry,2022-06-03T15:22:58Z,"",0.545,0.694,5,-9.629,1,0.0299,0.253,0.93,0.171,0.125,112.004,4
4j5VOknuFY0Lf2HI73UnpK,"3YQwxKTjtAELAeGeqY4HgJ","Spuma","Milvus","Hear & Now",2021-08-13,346780,8,spotify:user:seankmchenry,2022-06-03T15:22:58Z,"",0.621,0.571,9,-9.006,0,0.0295,0.0299,0.889,0.0977,0.459,102.004,4
0d69jRaW3HY4n1xmK98kxw,"3YQwxKTjtAELAeGeqY4HgJ","Baiadriatica","Milvus","Hear & Now",2021-08-13,413359,15,spotify:user:seankmchenry,2022-06-03T15:22:58Z,"",0.566,0.847,9,-8.509,0,0.0331,0.0128,0.885,0.152,0.0699,115,4
1gCTT6aoV30BFLVcnD3DaI,"4iHZqavLPj8Awqj17OmQSH","Drummond Bass","Lyrebird","Hybrid Man",2019-04-05,516600,6,spotify:user:seankmchenry,2022-06-03T15:24:36Z,"",0.579,0.791,5,-10.271,0,0.0511,0.00122,0.85,0.626,0.693,200.009,4
1KzGzxwnJkauV7oEYEWEb7,"4iHZqavLPj8Awqj17OmQSH","Double Window","Lyrebird","Hybrid Man",2019-04-05,469591,4,spotify:user:seankmchenry,2022-06-03T15:24:36Z,"",0.706,0.864,11,-12.09,0,0.0701,0.0268,0.884,0.111,0.175,109.998,4
4ERUvk3B3yrcRiQPC4PVNi,"4TYf7og2LGa924xmjzvK5N","Loggia","Dorisk Ordning","Inre Kretsen Grupp",2019-09-06,316627,12,spotify:user:seankmchenry,2022-06-03T15:24:44Z,"",0.675,0.564,3,-6.78,1,0.0473,0.661,0.885,0.0543,0.968,155.979,4
5QuexHjjpqQEuiMZBvNivd,"4TYf7og2LGa924xmjzvK5N","Dubbad Dougong","Dorisk Ordning","Inre Kretsen Grupp",2019-09-06,261351,4,spotify:user:seankmchenry,2022-06-03T15:24:44Z,"",0.692,0.764,0,-7.923,0,0.054,0.759,0.816,0.0704,0.594,74.991,4
7aoYhqeYY3svMj6V77Zg9Y,"4nzxzYUyLUfWstdyBS5Hzx","G","Jaguar","Iguana Moonlight",2021-02-19,300000,27,spotify:user:seankmchenry,2022-06-03T15:24:58Z,"",0.307,0.316,2,-14.579,0,0.0323,0.871,0.908,0.342,0.0641,104.312,4
