Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Rlw1EslDSKSODPst1GhOY,"Sun Colored Eyes","Harvest","BALTHVS",2024-07-19,235000,50,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.636,0.707,9,-8.003,0,0.0353,0.00588,0.859,0.247,0.573,91.566,4
0Vq5AQe5YPR8PIhsLxoTV9,"Asha","Harvest","BALTHVS",2024-07-19,171896,36,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.572,0.503,10,-10.035,0,0.0349,0.689,0.879,0.247,0.242,86.406,4
0gIfkoaPlQwBRpiFWaFTFb,"Anouk","Harvest","BALTHVS",2024-07-19,209000,43,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.493,0.345,0,-11.684,1,0.0312,0.0409,0.936,0.219,0.612,149.347,3
4v5jo2y8Ewu7RFjLhM0Oen,"Like Coconut Water","Harvest","BALTHVS",2024-07-19,191862,30,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.514,0.567,0,-9.109,1,0.0332,0.524,0.511,0.137,0.548,96.949,4
2fXYNye7sjElTA1JhyKJaG,"Lovin'","Harvest","BALTHVS",2024-07-19,121030,38,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.478,0.501,9,-8.807,0,0.0375,0.779,0.889,0.141,0.64,142.667,4
2VAGSuBzQHDx4Mj0zcmiq4,"Aguacero","Harvest","BALTHVS",2024-07-19,196383,29,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.574,0.484,7,-9.256,0,0.0315,0.079,0.293,0.259,0.685,98.371,4
5bPxFmZnHmyUTBH3k1kYQr,"Mango Season","Harvest","BALTHVS",2024-07-19,147489,49,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.59,0.477,0,-8.809,1,0.0298,0.693,0.841,0.183,0.799,87.014,4
3X41M8FCQJCuBWwIeKFQ3Q,"Sun & Moon","Harvest","BALTHVS",2024-07-19,165712,41,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.654,0.836,0,-7.186,0,0.0299,0.00163,0.726,0.36,0.89,105.805,4
7o0hyjSfuKRd688nnnhkhj,"Venus Flytrap","Harvest","BALTHVS",2024-07-19,108169,26,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.585,0.538,0,-10.43,1,0.0375,0.111,0.758,0.178,0.527,108.558,4
2jHlCs9giElI2LLU7Zzmno,"Aio","Harvest","BALTHVS",2024-07-19,234401,26,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.545,0.664,0,-8.368,1,0.0304,0.102,0.789,0.116,0.507,110.685,4
1BcUwEGTPMXzpf8qtHRbi0,"Sun Colored Eyes, Pt. 1","Harvest","BALTHVS",2024-07-19,126231,27,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.635,0.593,9,-10.58,0,0.0661,0.00692,0.875,0.301,0.413,91.576,4
1tuLGRhZ2ZFo7TnfDqnSoJ,"Sun Colored Eyes, Pt. 2","Harvest","BALTHVS",2024-07-19,106790,31,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.632,0.676,9,-10.88,0,0.0353,0.0473,0.891,0.389,0.705,91.584,4
25NDfaOx79LI6C0oJM4kVJ,"Like Coconut Water - Instrumental","Harvest","BALTHVS",2024-07-19,191861,24,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.598,0.584,0,-9.496,1,0.0325,0.418,0.826,0.162,0.514,97.111,4
7hPDZXW894onM3gnOtypCp,"Aguacero - Instrumental","Harvest","BALTHVS",2024-07-19,196374,26,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.628,0.524,7,-10.611,0,0.0355,0.0088,0.825,0.218,0.589,98.638,4
7o21Ipebvi2heMYfjDWpcm,"Lovin' - Instrumental (Extended)","Harvest","BALTHVS",2024-07-19,186750,24,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.479,0.537,9,-6.635,0,0.0306,0.699,0.82,0.156,0.615,142.265,4
5Qy12sgi8ahAiTfHt99ZgL,"Aio - Instrumental","Harvest","BALTHVS",2024-07-19,231640,23,seankmchenry,2024-08-23T17:48:05Z,"","Mixto Records",0.567,0.636,0,-8.984,1,0.0348,0.0525,0.775,0.103,0.505,110.604,4
1iJuO3EHGlZO91i1Maz92b,"Famagusta Port","Famagusta Port","BALTHVS",2023-06-23,118686,17,seankmchenry,2024-08-23T17:48:12Z,"","Cubensis Records",0.646,0.558,8,-7.08,0,0.0307,0.121,0.803,0.11,0.614,107.373,4
2j4s90UHE8C2iGgrRgeTcZ,"Feelin' Blue","Famagusta Port","BALTHVS",2023-06-23,234700,6,seankmchenry,2024-08-23T17:48:12Z,"","Cubensis Records",0.668,0.631,7,-9.907,1,0.0282,0.438,0.565,0.196,0.443,114.003,4
7pVSQ5dYBrm9ZyDnK4YSvQ,"Sun In Gemini","Famagusta Port","BALTHVS",2023-06-23,167190,5,seankmchenry,2024-08-23T17:48:12Z,"","Cubensis Records",0.478,0.586,0,-9.579,1,0.0281,0.0968,0.729,0.24,0.52,131.316,4
6yfmI44Sz20ArBnSP8Jlni,"Cosmic Boogie","Famagusta Port","BALTHVS",2023-06-23,248770,5,seankmchenry,2024-08-23T17:48:12Z,"","Cubensis Records",0.773,0.554,9,-10.82,0,0.0543,0.00109,0.823,0.143,0.812,115.599,4
6cgvYbfJ7lAIJBU9zX4w90,"Cause & Effect","Cause & Effect","BALTHVS",2022-03-04,61874,15,seankmchenry,2024-08-23T17:48:15Z,"","Cubensis Records",0.257,0.299,10,-27.458,0,0.0581,0.328,0.819,0.115,0.0414,50.34,4
49xVYRohos3yfT19Vz1lM7,"In Lust","Cause & Effect","BALTHVS",2022-03-04,193772,46,seankmchenry,2024-08-23T17:48:15Z,"","Cubensis Records",0.519,0.65,11,-11.536,0,0.109,0.407,0.865,0.16,0.738,94.179,4
7wTj04EVZyiQKblxvOObE0,"Vapor Waves","Cause & Effect","BALTHVS",2022-03-04,237780,27,seankmchenry,2024-08-23T17:48:15Z,"","Cubensis Records",0.711,0.452,9,-13.498,1,0.0525,0.724,0.124,0.106,0.598,83.096,4
5ft9A4rISW2RA026LeLKtW,"Turkish Coffee","Cause & Effect","BALTHVS",2022-03-04,217500,47,seankmchenry,2024-08-23T17:48:15Z,"","Cubensis Records",0.751,0.549,7,-7.739,0,0.124,0.367,0.896,0.464,0.829,88.211,4
