Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
72mx4tVoM7knI9D20trABp,"Ruby Baby","The Nightfly","Donald Fagen",1982-10-29,339066,38,seankmchenry,2020-01-27T00:23:53Z,"sophisti-pop,yacht rock","Reprise",0.787,0.291,10,-17.272,1,0.0397,0.392,0.00166,0.0927,0.813,120.007,4
423o3ZHIaBtGXyhF1uH41a,"Walk of Life","Brothers in Arms","Dire Straits",1985-05-13,252466,60,seankmchenry,2020-01-27T00:24:25Z,"album rock,classic rock,mellow gold,rock","Warner Records",0.461,0.936,4,-6.866,1,0.109,0.435,0.0000913,0.124,0.804,172.404,4
0qxYx4F3vm1AOnfux6dDxP,"You Can Call Me Al","Graceland (25th Anniversary Deluxe Edition)","Paul Simon",1986-08-12,280000,73,seankmchenry,2020-01-27T00:24:37Z,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,singer-songwriter,soft rock","Legacy Recordings",0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,4
7LFer4drCtWSyD8oxORZtC,"Dirty Laundry","I Can't Stand Still","Don Henley",1982-08-13,336800,2,seankmchenry,2020-02-01T23:59:07Z,"album rock,classic rock,mellow gold,singer-songwriter,soft rock,yacht rock","Don Henley Catalog PS",0.756,0.772,5,-6.65,0,0.0306,0.0848,0.0026,0.0792,0.954,98.382,4
3jAqtv3axuQ4lYz7v5h9MW,"The Goodbye Look","The Nightfly","Donald Fagen",1982-10-29,290306,37,seankmchenry,2020-02-01T23:59:22Z,"sophisti-pop,yacht rock","Reprise",0.808,0.454,9,-19.328,0,0.0525,0.441,0.00146,0.0751,0.851,106.928,4
3ZZq9396zv8pcn5GYVhxUi,"Down Under","Business As Usual","Men At Work",1981-11-09,222320,77,seankmchenry,2020-02-02T00:00:41Z,"album rock,australian rock,classic rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock","Columbia",0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4
7v5rsCN3LhX9XaIlWyTdx3,"Steal Away - Remastered","Robbie Dupree","Robbie Dupree",1980-12-01,213973,55,seankmchenry,2020-02-02T00:01:50Z,"yacht rock","Blixa Sounds",0.72,0.569,2,-11.466,1,0.0418,0.142,0.000188,0.0629,0.713,122.403,4
38E7U60ipLSTVDcPIuVzZw,"Every Kinda People","Double Fun","Robert Palmer",1978-01-01,198146,54,seankmchenry,2020-02-02T00:02:24Z,"album rock,classic rock,dance rock,mellow gold,new romantic,new wave,new wave pop,singer-songwriter,soft rock,yacht rock","Island Records",0.573,0.545,6,-12.636,1,0.0436,0.228,0.000169,0.0466,0.95,94.404,4
4d6eqRtpDX7tydHJGDZUBQ,"She Drives Me Crazy","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,215773,73,seankmchenry,2020-02-02T00:02:49Z,"dance rock,new romantic,new wave,new wave pop,synthpop","London Music Stream",0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4
6i1uWZYWabNHq2wQnoca58,"It's Only Love - 2008 Remaster","A New Flame (Expanded Version)","Simply Red",1989,298573,57,seankmchenry,2020-02-02T00:12:27Z,"british soul,new romantic,new wave,new wave pop,soft rock,sophisti-pop","Rhino/Elektra",0.666,0.884,9,-5.243,0,0.0429,0.506,0.00612,0.0408,0.754,92.005,4
0YO8KsprTrEUEvJevpI7Na,"This Is It","Keep The Fire","Kenny Loggins",1979,236733,53,seankmchenry,2020-02-12T23:48:30Z,"album rock,classic rock,mellow gold,new wave pop,singer-songwriter,soft rock,yacht rock","Columbia",0.641,0.497,7,-12.228,0,0.029,0.254,0.00000215,0.158,0.743,102.274,4
45xbd9C2n8io3IqB2siT0M,"Come to My Aid","Picture Book","Simply Red",1985-10-11,243306,9,seankmchenry,2020-02-02T00:14:43Z,"british soul,new romantic,new wave,new wave pop,soft rock,sophisti-pop","Rhino/Elektra",0.769,0.67,11,-14.447,0,0.0341,0.265,0.0822,0.0372,0.969,116.084,4
2yBVeksU2EtrPJbTu4ZslK,"What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,72,seankmchenry,2020-02-12T23:48:29Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock","Rhino/Warner Records",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
1ATq1R2bLeKXOSti9kzj5f,"Say It Isn't So","Rock 'N Soul, Part 1 (Expanded Edition)","Daryl Hall & John Oates",1983,257093,47,seankmchenry,2020-02-12T23:51:26Z,"album rock,classic rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock","RCA/Legacy",0.774,0.788,4,-7.069,0,0.0281,0.118,0,0.153,0.972,114.152,4
7rwPVahewLXhDGKUjfbzU3,"17 Days","The Hits / The B-Sides","Prince",1993-09-13,240066,23,seankmchenry,2020-02-14T00:59:09Z,"funk,funk rock,minneapolis sound,rock,synth funk","Warner Records",0.851,0.703,5,-9.566,1,0.0637,0.0993,0.00472,0.0644,0.724,114.553,4
2KaA0Tgl3RmQLzcvLEtzLH,"Heart to Heart","High Adventure","Kenny Loggins",1982,322333,51,seankmchenry,2020-02-14T23:10:31Z,"album rock,classic rock,mellow gold,new wave pop,singer-songwriter,soft rock,yacht rock","Columbia",0.698,0.456,0,-12.773,1,0.039,0.356,0.0000296,0.0313,0.796,81.66,4
0o7tBKZHvWPJB17wQx1Q8w,"Rat In Mi Kitchen","The Very Best Of","UB40",2000,185960,42,seankmchenry,2020-02-16T01:21:56Z,"reggae fusion,uk reggae","Virgin Records",0.734,0.652,9,-6.554,1,0.0586,0.0825,0.00215,0.0651,0.705,90.722,4
