Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
41wdAuwbtuBliVKg0Qtrsa,"0VGUa1xtVL7g1srvyzbY7t","On My Way","Bene's World","Benedek",2017-07-28,240000,18,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.492,0.855,1,-6.002,0,0.0692,0.0003,0.798,0.152,0.402,220.011,4
37F93iLXzaNDKv8Fhs5i0Q,"0VGUa1xtVL7g1srvyzbY7t","Westin","Bene's World","Benedek",2017-07-28,256000,8,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.702,0.856,6,-4.354,0,0.112,0.0134,0.744,0.109,0.455,171.805,4
7xGtchkHd2kVK4chYIz1gu,"0VGUa1xtVL7g1srvyzbY7t","Big Nite City (Sax Mix)","Bene's World","Benedek",2017-07-28,284769,15,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.827,0.761,9,-7.828,1,0.0526,0.0137,0.93,0.102,0.884,119.999,4
1livX5HcHI79aO0slebv0I,"0VGUa1xtVL7g1srvyzbY7t","Castle 2 Castle","Bene's World","Benedek",2017-07-28,239997,11,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.697,0.714,2,-4.507,1,0.0455,0.0991,0.92,0.068,0.34,120.023,4
2kqxDKFoTSpBogSdAbBb3a,"0VGUa1xtVL7g1srvyzbY7t,1bnTQ6eCUkKCWqBp2qIvF4","Ocean Park","Bene's World","Benedek,Just Tony",2017-07-28,361963,17,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.734,0.813,8,-5.502,0,0.0402,0.0198,0.46,0.0976,0.343,110.999,4
0uuASL3YY9kmmgfXOlNq8D,"0VGUa1xtVL7g1srvyzbY7t","Tuff Luv","Bene's World","Benedek",2017-07-28,298000,7,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.826,0.604,5,-6.429,0,0.0623,0.0208,0.478,0.0758,0.594,120.004,4
78pmyKrJti1Vp4dWC4o4sf,"0VGUa1xtVL7g1srvyzbY7t","Afterglo","Bene's World","Benedek",2017-07-28,336000,10,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.768,0.835,1,-5.441,0,0.0395,0.00265,0.889,0.25,0.183,120.017,4
3l516DzIWuOJ77AmdmuTrH,"0VGUa1xtVL7g1srvyzbY7t","Sonatine","Bene's World","Benedek",2017-07-28,282666,5,spotify:user:seankmchenry,2023-01-15T21:42:16Z,"float house,synth funk",0.618,0.451,1,-8.932,0,0.0296,0.178,0.898,0.114,0.0387,89.975,4
6pbveobAYhf7ADzSlaDSr7,"0VGUa1xtVL7g1srvyzbY7t","Coolin'","Coolin'","Benedek",2016-03-11,293592,15,spotify:user:seankmchenry,2023-01-15T21:42:18Z,"float house,synth funk",0.704,0.613,1,-5.461,0,0.0614,0.206,0.678,0.0716,0.946,103.015,4
0vcU69YeboKQAcNCJLSxm6,"0VGUa1xtVL7g1srvyzbY7t","Ryukyu","Coolin'","Benedek",2016-03-11,231910,18,spotify:user:seankmchenry,2023-01-15T21:42:18Z,"float house,synth funk",0.729,0.645,1,-6.265,0,0.0364,0.427,0.869,0.115,0.799,88.994,4
3w8LCgmRViAENMdPmIsb1L,"0VGUa1xtVL7g1srvyzbY7t","Voices","Coolin'","Benedek",2016-03-11,196666,3,spotify:user:seankmchenry,2023-01-15T21:42:18Z,"float house,synth funk",0.859,0.692,2,-5.914,1,0.0598,0.424,0.881,0.126,0.5,144.004,4
2HPvn5a9BiUOih0E4FZqhY,"0VGUa1xtVL7g1srvyzbY7t","Angelus Vista","Coolin'","Benedek",2016-03-11,504000,4,spotify:user:seankmchenry,2023-01-15T21:42:18Z,"float house,synth funk",0.225,0.656,5,-8.547,1,0.0428,0.23,0.855,0.121,0.0532,132.418,5
2cyZKCT8CZZwDsHamCTVoh,"0VGUa1xtVL7g1srvyzbY7t","Better Dayz","Zebrano","Benedek",2022-09-30,321014,23,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk",0.753,0.968,5,-4.931,0,0.0477,0.00416,0.928,0.0877,0.55,120.024,4
4wCefV1zhD5BLApDSeOWKh,"0VGUa1xtVL7g1srvyzbY7t,6o2hWSJ4m8QYZ6unjDTH6G","In the Air","Zebrano","Benedek,AKUA",2022-09-30,265522,18,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk,afrofuturism",0.713,0.944,1,-3.503,0,0.0754,0.0615,0.531,0.0826,0.616,116.995,4
01B8c1fCg84OAGjy3DyTd1,"0VGUa1xtVL7g1srvyzbY7t,05PeUup2zYw9VOGnaknbn9","Peace of Mind","Zebrano","Benedek,dreamcastmoe",2022-09-30,336512,20,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk,alternative r&b,experimental r&b,indie jazz,indie r&b",0.711,0.863,1,-4.799,1,0.0433,0.000121,0.815,0.0736,0.792,119.998,4
1EPYWnlSV8hff1VbAn0fRD,"0VGUa1xtVL7g1srvyzbY7t","Jak Moves","Zebrano","Benedek",2022-09-30,168333,17,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk",0.694,0.845,1,-5.078,0,0.0568,0.00169,0.884,0.0727,0.669,107.029,4
72twjODfufNCrd2htWx8u9,"0VGUa1xtVL7g1srvyzbY7t,4AgZVM5339ZoMyg38nYyYW","Emotional","Zebrano","Benedek,Devin Morrison",2022-09-30,192192,16,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk,alternative r&b,chill r&b,indie r&b",0.53,0.929,10,-6.506,0,0.0459,0.0157,0.117,0.222,0.629,99.976,4
0TlYq2jNDUqjbrvg2y7L1C,"0VGUa1xtVL7g1srvyzbY7t","Solar Panel","Zebrano","Benedek",2022-09-30,230424,17,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk",0.76,0.796,10,-7.029,0,0.0381,0.332,0.855,0.0418,0.941,107.942,4
3xoQ9iXKd8QEmRHadl2mNM,"0VGUa1xtVL7g1srvyzbY7t,6o2hWSJ4m8QYZ6unjDTH6G","In the Air - Remix","Zebrano","Benedek,AKUA",2022-09-30,270500,13,spotify:user:seankmchenry,2023-01-15T21:42:19Z,"float house,synth funk,afrofuturism",0.734,0.928,10,-3.003,0,0.0534,0.00842,0.7,0.0876,0.735,117.014,4
1SD3XyxeW8c2NVnVTSl76j,"0VGUa1xtVL7g1srvyzbY7t","Fever","Mr. Goods","Benedek",2021-02-12,294338,7,spotify:user:seankmchenry,2023-01-15T21:42:21Z,"float house,synth funk",0.796,0.882,10,-6.76,0,0.0525,0.00184,0.857,0.0443,0.608,117.994,4
