Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ClNhOQlEg1xi8qGwu9fls,"Don't Mean Nothin'","Silver Sky","The Infamous Stringdusters",2012-03-13,158313,24,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.618,0.808,7,-6.318,1,0.0285,0.0908,0.0375,0.113,0.582,105.784,4
4Ad5oH11h4SZLsQXRubN6g,"Rockets","Silver Sky","The Infamous Stringdusters",2012-03-13,183686,17,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.526,0.576,4,-6.392,1,0.0286,0.233,0.0000558,0.102,0.424,119.924,3
0fHYQLpSpw01Xvdts9ORos,"The Hitchhiker","Silver Sky","The Infamous Stringdusters",2012-03-13,303488,17,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.514,0.64,0,-8.265,1,0.0353,0.202,0.00217,0.31,0.609,143.926,4
6venkSyyR5QIV9sCrRcLG8,"Tears of the Earth","Silver Sky","The Infamous Stringdusters",2012-03-13,268106,11,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.549,0.624,9,-7.592,1,0.0251,0.0777,0.00614,0.222,0.55,105.512,4
0zXurdHOhvroWl8TVZKsdJ,"The Place That I Call Home","Silver Sky","The Infamous Stringdusters",2012-03-13,232760,17,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.544,0.73,2,-6.181,1,0.0288,0.131,0.00674,0.0908,0.622,128.775,4
3xwsdyRD4yIj6BEYUmXeAS,"Like I Do","Silver Sky","The Infamous Stringdusters",2012-03-13,266385,8,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.577,0.567,9,-8.31,1,0.0313,0.328,0.0000432,0.103,0.294,131.128,4
6pXpgh3JUCQDk4zdzsWGtA,"Heady Festy","Silver Sky","The Infamous Stringdusters",2012-03-13,143373,8,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.388,0.349,9,-9.595,0,0.026,0.469,0.0956,0.149,0.133,151.595,3
015ASDUjzFvQrKgVI23aki,"Night on the River","Silver Sky","The Infamous Stringdusters",2012-03-13,213226,20,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.492,0.681,7,-6.292,1,0.0269,0.46,0.00498,0.192,0.67,108.824,4
5glEchMTz1dOaUUSYjA7L4,"When the Night Comes Around","Silver Sky","The Infamous Stringdusters",2012-03-13,169333,8,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.427,0.689,9,-5.958,1,0.0371,0.0602,0.00232,0.1,0.725,162.089,4
5UhciAHmX6OUP5T1CoyFen,"Fire","Silver Sky","The Infamous Stringdusters",2012-03-13,293356,9,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.697,0.693,10,-7.172,1,0.0384,0.357,0.00881,0.0742,0.918,116.424,4
03z45xM6tshsWUVcEfEHUD,"Walking on the Moon","Silver Sky","The Infamous Stringdusters",2012-03-13,298148,37,seankmchenry,2024-09-13T03:20:04Z,"bluegrass,instrumental bluegrass,jam band,jamgrass,mandolin,neo-traditional bluegrass,progressive bluegrass","Americana Vibes",0.611,0.493,11,-7.332,0,0.0284,0.621,0.000584,0.128,0.387,132.206,4
1qOopf8p5Ws3rY6qCZYY9B,"Diesel Driver","Simple Mysteries","Spafford",2022-11-01,193092,5,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.385,0.868,0,-5.569,1,0.0663,0.57,0.00286,0.0765,0.552,178.161,4
4cDn5Qu85TS7ER93gwU4mw,"Broken Wing","Simple Mysteries","Spafford",2022-11-01,333416,12,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.552,0.954,2,-5.888,1,0.0532,0.0366,0.738,0.132,0.625,107.507,4
0GfmLdEsRe4oWw0Oxex46B,"Backdoor Funk","Simple Mysteries","Spafford",2022-11-01,375534,23,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.775,0.597,5,-7.274,0,0.0357,0.442,0.177,0.0951,0.744,95.005,4
22o39KuDhbM9FdWQBDntwh,"Left on the Runway","Simple Mysteries","Spafford",2022-11-01,218271,2,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.638,0.735,0,-7.048,1,0.0343,0.442,0.0083,0.303,0.818,124.018,4
2ud6f6RCOF7ngNUuWaTwte,"Fake the Fate","Simple Mysteries","Spafford",2022-11-01,328676,8,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.538,0.849,6,-5.8,0,0.034,0.133,0.0727,0.17,0.755,94.54,4
3AdSlofzlCi9TyUZ725rGr,"Shake You Loose","Simple Mysteries","Spafford",2022-11-01,344180,3,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.504,0.577,7,-6.414,1,0.0377,0.484,0.0261,0.249,0.486,118.409,3
1nXPJg3CLZxNIwfsD59RUX,"To the Nest","Simple Mysteries","Spafford",2022-11-01,374814,3,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.604,0.518,2,-9.101,1,0.0264,0.663,0.641,0.0811,0.567,92.444,3
4FiDnhZ0fKlzNj8gQQB06j,"Simple Mysteries","Simple Mysteries","Spafford",2022-11-01,583809,1,seankmchenry,2024-09-13T03:18:40Z,"jam band","Spafford",0.161,0.528,2,-9.355,1,0.0324,0.748,0.253,0.214,0.136,167.263,3
4MLaDmtrgKmA8iwBMMWwA4,"Been Down This Road","Amen Corner","Railroad Earth",2008-06-10,287666,32,seankmchenry,2024-09-13T03:23:41Z,"jam band,jamgrass,progressive bluegrass","SCI Fidelity Records",0.506,0.682,8,-7.316,1,0.0382,0.452,0.167,0.0925,0.602,165.677,4
3oSdxIGuxOHZ7pTNKKXGDb,"Hard Livin'","Amen Corner","Railroad Earth",2008-06-10,295000,35,seankmchenry,2024-09-13T03:23:41Z,"jam band,jamgrass,progressive bluegrass","SCI Fidelity Records",0.557,0.905,0,-3.566,1,0.0277,0.168,0.000666,0.145,0.906,95.83,4
