Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5NGcGlALHjf9sKMNAhkd9Z,"6ryjbFyWBZho9KGXqKZdqQ","Valley of the Shadows","One","Bob James",1974-06-03,581920,19,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.423,0.436,4,-13.249,1,0.0447,0.213,0.857,0.0997,0.418,92.639,4
1Li7mqelqsNJCBdbdRj3jC,"6ryjbFyWBZho9KGXqKZdqQ","In The Garden","One","Bob James",1974-06-03,188946,22,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.343,0.304,2,-16.063,1,0.0303,0.101,0.00896,0.155,0.302,146.483,4
29ygLDGKH7Cexx6k9Gu1nF,"6ryjbFyWBZho9KGXqKZdqQ","Soulero","One","Bob James",1974-06-03,217626,16,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.438,0.384,2,-13.998,1,0.0376,0.208,0.317,0.0715,0.298,127.486,3
1CYQlc0HFTxm1rW4w1eDxa,"6ryjbFyWBZho9KGXqKZdqQ","Night On Bald Mountain","One","Bob James",1974-06-03,353066,18,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.485,0.651,2,-13.372,0,0.0428,0.458,0.52,0.0684,0.569,122.022,4
73bhgZZgIdQAeoKIZNSG0x,"6ryjbFyWBZho9KGXqKZdqQ","Feel Like Making Love","One","Bob James",1974-06-03,399133,41,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.591,0.412,5,-16.518,0,0.0382,0.138,0.725,0.0824,0.442,89.236,4
2emP5oaNH6cwFsugIPqVau,"6ryjbFyWBZho9KGXqKZdqQ","Nautilus","One","Bob James",1974-06-03,305666,41,spotify:user:seankmchenry,2022-07-25T01:33:00Z,"jazz funk,jazz piano,smooth jazz",0.499,0.532,9,-14.182,0,0.0283,0.0405,0.00896,0.152,0.761,98.382,4
6i5U5NyCknF93w4BilFity,"6ryjbFyWBZho9KGXqKZdqQ","Take Me To The Mardi Gras","Two","Bob James",1975,349733,36,spotify:user:seankmchenry,2022-07-25T01:33:01Z,"jazz funk,jazz piano,smooth jazz",0.477,0.731,10,-8.599,1,0.0282,0.18,0.845,0.0504,0.9,106.35,4
49HF9spJ7OP3VORlEA6tZc,"6ryjbFyWBZho9KGXqKZdqQ","I Feel A Song (In My Heart)","Two","Bob James",1975,328173,17,spotify:user:seankmchenry,2022-07-25T01:33:01Z,"jazz funk,jazz piano,smooth jazz",0.497,0.531,9,-8.165,0,0.0438,0.711,0.000297,0.0718,0.628,97.891,4
3Wg7rQeBXIcWCey2L1ZRS1,"6ryjbFyWBZho9KGXqKZdqQ","The Golden Apple","Two","Bob James",1975,439426,13,spotify:user:seankmchenry,2022-07-25T01:33:01Z,"jazz funk,jazz piano,smooth jazz",0.337,0.692,5,-7.849,1,0.036,0.356,0.352,0.14,0.5,154.934,1
5da7DPDeL8yyIPTSfIn7na,"6ryjbFyWBZho9KGXqKZdqQ","Farandole","Two","Bob James",1975,505933,19,spotify:user:seankmchenry,2022-07-25T01:33:01Z,"jazz funk,jazz piano,smooth jazz",0.542,0.658,2,-7.326,1,0.0477,0.247,0.0812,0.155,0.812,115.599,4
