Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0ZFr3H9aYnnTSJVeSZ4aXk,"2FMZn5P3WATd7Il6FgPJNu","Above and Beyond","Buck Owens","Buck Owens",1995-09-12,147666,11,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.601,0.435,8,-10.525,1,0.0374,0.699,0,0.0626,0.744,147.958,4
6T4s2vzJQhV6DF10eI2Q8P,"2FMZn5P3WATd7Il6FgPJNu","Second Fiddle","Buck Owens","Buck Owens",1995-09-12,127360,9,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.514,0.345,6,-9.886,1,0.0308,0.5,0.0000612,0.215,0.537,135.934,4
6QFJUheLeZH4wapm42B1bj,"2FMZn5P3WATd7Il6FgPJNu","Tired of Livin'","Buck Owens","Buck Owens",1995-09-12,124000,11,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.617,0.554,9,-8.027,1,0.0544,0.581,0.000215,0.0542,0.938,165.976,4
0MYFmPWC4tITNSa1jHYuR0,"2FMZn5P3WATd7Il6FgPJNu","I Gotta Right to Know","Buck Owens","Buck Owens",1995-09-12,156666,6,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.426,0.347,3,-8.683,1,0.0332,0.611,0.0000553,0.109,0.646,144.549,4
7kLgkGrWuf64SJKO3gtypH,"2FMZn5P3WATd7Il6FgPJNu","Excuse Me (I Think I've Got a Heartache)","Buck Owens","Buck Owens",1995-09-12,148533,7,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.583,0.396,8,-10.251,1,0.0333,0.661,0,0.2,0.815,142.707,4
3rGLmP7VozSjOzkrohm8AV,"2FMZn5P3WATd7Il6FgPJNu","I'll Give My Heart to You","Buck Owens","Buck Owens",1995-09-12,124506,6,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.431,0.331,9,-9.067,1,0.0553,0.564,0,0.0692,0.961,205.664,4
0hDqKnEwadtWYZW7Ke7AtR,"2FMZn5P3WATd7Il6FgPJNu","Under Your Spell Again","Buck Owens","Buck Owens",1995-09-12,163733,7,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.593,0.307,9,-10.576,1,0.0317,0.568,0.0000104,0.0914,0.81,76.783,4
1FKrx4wpZMKKktZYYAjSLu,"2FMZn5P3WATd7Il6FgPJNu","My Everlasting Love","Buck Owens","Buck Owens",1995-09-12,139866,4,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.598,0.435,2,-9.347,1,0.034,0.76,0.0000213,0.106,0.905,142.39,4
74EKsna3msGhfVLwYyLZM6,"2FMZn5P3WATd7Il6FgPJNu","Take Me Back Again","Buck Owens","Buck Owens",1995-09-12,159826,7,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.584,0.467,4,-10.047,1,0.0293,0.296,0,0.104,0.782,138.808,4
2SYdWwZsz73zxpMG3nblby,"2FMZn5P3WATd7Il6FgPJNu","'Til These Dreams Come True","Buck Owens","Buck Owens",1995-09-12,150506,5,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.5,0.495,6,-10.018,1,0.0323,0.435,0,0.343,0.834,141.41,4
0JF2RNsOZnx8HgkcHsFsUh,"2FMZn5P3WATd7Il6FgPJNu","Walk the Floors","Buck Owens","Buck Owens",1995-09-12,148133,5,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.598,0.321,7,-10.055,1,0.0262,0.506,0.000619,0.0756,0.779,130.789,4
7G6I6qTK9YhhysykkX9wHe,"2FMZn5P3WATd7Il6FgPJNu","I'll Take a Chance on Loving You","Buck Owens","Buck Owens",1995-09-12,125560,9,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.634,0.461,3,-8.911,1,0.0278,0.433,0.00000793,0.102,0.96,101.213,3
1uQiXrcLbDJpkqRDh9DWY4,"2FMZn5P3WATd7Il6FgPJNu","High As the Mountain","Buck Owens","Buck Owens",1995-09-12,145840,8,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.591,0.502,8,-9.214,1,0.0284,0.509,0.0000047,0.136,0.883,79.125,4
5JxDFa9Lu30AbOgmgXeisL,"2FMZn5P3WATd7Il6FgPJNu","Nobody's Fool But Yours","Buck Owens","Buck Owens",1995-09-12,136493,10,spotify:user:seankmchenry,2022-06-14T19:46:44Z,"bakersfield sound,country,country rock,cowboy western",0.558,0.439,10,-8.607,1,0.0253,0.574,0.000083,0.304,0.864,80.014,4
61thF8mtzze0KTtg81UKf2,"2FMZn5P3WATd7Il6FgPJNu","My Heart Skips a Beat","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,148093,17,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.617,0.546,9,-7.737,1,0.0386,0.319,0.0000101,0.0617,0.818,86.47,4
5tGCN5vGFFJYbt0MQv1v66,"2FMZn5P3WATd7Il6FgPJNu","Close Up the Honky Tonks","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,171333,17,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.497,0.465,1,-6.01,1,0.03,0.761,0.0000114,0.0572,0.789,121.062,4
4ZVZQLisR22zyD2bQgYMyp,"2FMZn5P3WATd7Il6FgPJNu","I Don't Hear You","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,179173,21,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.447,0.391,8,-7.118,1,0.0248,0.75,0,0.0815,0.537,84.398,3
02AUoDCwRpRHlVXKG25BgC,"2FMZn5P3WATd7Il6FgPJNu","Save the Last Dance for Me","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,150933,15,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.572,0.515,9,-8.642,1,0.0431,0.476,0.00000532,0.0715,0.897,134.013,4
3GvqKGtZ8lDrkLllK7WtCU,"2FMZn5P3WATd7Il6FgPJNu","Over and Over Again","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,136226,14,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.427,0.265,11,-10.079,1,0.028,0.261,0,0.115,0.361,99.516,4
1zqkvmFUwuofnLSPV3f3Ab,"2FMZn5P3WATd7Il6FgPJNu","Truck Drivin' Man","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,156933,46,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.69,0.565,8,-7.517,1,0.0267,0.779,0.0000148,0.0806,0.89,100.952,4
49zaDVxUYPktI8kfsTrOm4,"2FMZn5P3WATd7Il6FgPJNu","Together Again","Together Again / My Heart Skips a Beat","Buck Owens",1995-05-17,148400,17,spotify:user:seankmchenry,2022-06-14T19:48:21Z,"bakersfield sound,country,country rock,cowboy western",0.413,0.254,1,-9.899,1,0.0281,0.59,0.0469,0.138,0.526,76.904,4
