Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4WEcpaGBf4d2vqXXKG4Tlq,"0ZWej63j1KqaAwp2KxabMG","Orphans","NuLeaf","Michael Hayes",2020-04-24,297520,4,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.732,0.554,10,-7.918,0,0.0425,0.587,0.396,0.0805,0.767,149.589,4
6dsWtWElfbxx4XEPgil00z,"5vmS5w5Hy4Xiw6aIrC6LBA","Sunbeam","NuLeaf","Larry Bright",2020-04-24,258346,4,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.683,0.677,0,-5.956,1,0.0359,0.529,0.117,0.0921,0.585,76.459,4
2Z9B9SCVLN0TT70xlbGJK1,"56S8XYlXzkWTDBf74h6JxY","6295 SW Fisher","NuLeaf","George Shaw",2020-04-24,266986,4,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.729,0.508,6,-8.918,1,0.0354,0.597,0.243,0.101,0.469,89.948,4
05mwlldI35Al7MXKl3kfmx,"3qSlDgIGwJJh1cZGKxUzAg","Tropical Chill (Jazz Mix)","NuLeaf","Plunky",2020-04-24,366720,10,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.686,0.731,7,-6.327,0,0.0361,0.000575,0.549,0.243,0.65,114.529,4
55sRSmTo7AY7QGwmQGwQXN,"5Znb6NCOOTyI445iuPjwKe","Maria’s First","NuLeaf","Calvin Keys",2020-04-24,419360,10,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"jazz funk",0.647,0.595,0,-8.235,0,0.0482,0.677,0.832,0.415,0.872,84.708,4
2iQnDFhH9bNmvvYrjvbiEf,"441NoEpp9l7gkHNdOPwo8M","Waiting For You","NuLeaf","Frank Potenza",2020-04-24,232906,3,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.84,0.581,2,-7.34,0,0.0353,0.288,0.796,0.0926,0.531,110.021,4
32T2CeWR6ONYYx8S3AfdhB,"7Fea9FxFYVQyOuhek8Xp84","Born With a Desire","NuLeaf","Tony Palkovic",2020-04-24,362133,4,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.75,0.527,1,-6.191,1,0.0487,0.276,0.599,0.115,0.572,93.713,4
35j1EKIW2gC33iOHtHGyAd,"6hu9bFuc56bwfvU00dTO9D","Sidetrack","NuLeaf","James Dallas",2020-04-24,327071,6,spotify:user:seankmchenry,2023-01-16T15:34:48Z,"",0.498,0.909,11,-5.923,1,0.156,0.275,0.0399,0.325,0.705,82.4,4
0nT1nIuPZhrIv34Xw3kq0X,"6pycol4UZWKN8eQhYgGn9C","Just Wish You Were Here","Visible & Invisible Persons Distributed In Space","E. Willey Von Huff-N-Puff",2019-09-27,294263,9,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.403,0.368,0,-12.569,1,0.0535,0.2,0.000642,0.116,0.552,147.808,4
2ybIRv6nqEf7pxjLe8EXti,"12pzJohM40StvAPzI1t3Tb","Metropolis","Visible & Invisible Persons Distributed In Space","Walter Hawkins",2019-09-27,355641,10,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"gospel",0.583,0.55,4,-13.587,1,0.0614,0.629,0.00282,0.132,0.692,80.687,4
2DnTEZc2legCkbmd5REoUZ,"3SC2K4yJVGFX9Gr59f2cKZ","Alibi Eyes","Visible & Invisible Persons Distributed In Space","Same Womb",2019-09-27,241148,2,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.605,0.489,10,-12.258,0,0.0388,0.0417,0.00774,0.152,0.479,91.328,4
2hSrv6gNM6N6TcIWCy3LMm,"3ZUT87hPz38V0hnYOt2AeK","You Make Me Feel Brand New","Visible & Invisible Persons Distributed In Space","Cause and Effect",2019-09-27,256548,8,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.78,0.515,0,-12.106,1,0.0498,0.822,0.000748,0.0694,0.869,112.478,4
60moXXM6JwNczIXLXSeX4G,"1CLj384yGBT6eZSNGfNL9F","Candles","Visible & Invisible Persons Distributed In Space","Candle Tribe",2019-09-27,317041,0,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"boogie",0.714,0.465,10,-10.248,0,0.149,0.622,0.164,0.0967,0.352,86.92,4
0wOpq5uTE9hYR1TRn5OUCZ,"5W42OCS2GXRD6JdPvMUxwv","First Time","Visible & Invisible Persons Distributed In Space","T. Dyson & Company",2019-09-27,238841,0,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.634,0.455,0,-14.345,1,0.0501,0.666,0.00273,0.208,0.621,121.07,4
3XjGm6tmtVP4SaDLpmx59j,"0dK2dZlw81PEjGY9gPKNC9","Now You Sit Alone","Visible & Invisible Persons Distributed In Space","LaRhonda LeGette",2019-09-27,292268,0,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.721,0.13,0,-19.658,0,0.0511,0.705,0.0078,0.0644,0.699,128.176,4
3VHWJt76xkuG0NvzlVh3Kh,"6osZOwnHY63V3LEFhauESu","Stay","Visible & Invisible Persons Distributed In Space","Iron Force",2019-09-27,239401,1,spotify:user:seankmchenry,2023-01-16T15:35:40Z,"",0.412,0.406,4,-12.702,0,0.0353,0.403,0.0000476,0.126,0.187,140.706,3
