Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
49XHpUdEDrVuEWi3Bsapam,"Eso Lux","Good Timin' Vol. 1","Moon Tan,Jex Opolis,Ivan Berko",2019-03-01,251026,3,seankmchenry,2020-05-01T16:10:29Z,"canadian house,experimental house,float house","Good Timin’",0.725,0.418,9,-9.295,0,0.101,0.0818,0.82,0.088,0.842,85.451,4
0CzEIra6aHHn4UkebH4id3,"Cruise Control - Rollmottle Remix","Cruise Control","Jeffrey Paradise",2016-10-14,373737,4,seankmchenry,2020-05-01T16:10:29Z,"","More Danceable Records",0.647,0.721,0,-8.444,1,0.0352,0.338,0.886,0.107,0.585,94.984,4
3wY24aVWJ15Wi06T4e9ACP,"Ohana","Ohana","Studio Paradiso",2015-08-31,273579,0,seankmchenry,2020-05-01T16:10:29Z,"","Distant Works",0.735,0.473,9,-9.303,0,0.042,0.00732,0.825,0.514,0.774,100.004,4
5DN0aPOz3DyOI3HCA4BsSX,"Remo - Tanner Ross Edit","Scenes from Our Classic Future","Greg Paulus,John Camp",2014-05-19,207931,1,seankmchenry,2020-05-01T16:10:29Z,"","Wolf + Lamb Records",0.751,0.371,11,-10.945,1,0.0395,0.0616,0.00225,0.0865,0.192,100.998,4
34bOHS2ZRZrfK9MF22EHNi,"Open the Skies","Burning Bright (But Unseen)","Single Gun Theory",1993-06-15,310333,0,seankmchenry,2020-05-01T16:10:29Z,"paracana","Nettwerk Records",0.773,0.594,7,-16.546,1,0.0656,0.00231,0.841,0.0709,0.735,102.335,4
1MeXxaHleBR0Sd6xc9zdPF,"Let Me Rock You","Let Me Rock You","Dedication",2017-01-13,441155,7,seankmchenry,2020-05-01T16:10:29Z,"","claremont 56",0.691,0.61,10,-8.568,0,0.0424,0.000508,0.871,0.0405,0.629,104.988,4
3c97FQwiXqmiAk7AlpGnlY,"Surprise Pass","Country City Country","Eddie C",2013-03-18,431853,3,seankmchenry,2020-05-01T16:10:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.87,0.722,1,-10.506,1,0.0677,0.00589,0.953,0.081,0.56,107.888,4
6rCZJD7eVxzhdvKkt9qBgY,"O'Locco (Space Therapy)","O'Locco","sun electric",1993-01-04,440680,0,seankmchenry,2020-05-01T16:10:29Z,"intelligent dance music","R&S Records",0.743,0.691,6,-11.512,1,0.0454,0.00244,0.787,0.104,0.768,108.261,4
2fUGOugX3WTDZiM0Bj9I2D,"Feathers Floating - Original Mix","25 Years from Alpha","Larry Heard",2008-11-24,464371,0,seankmchenry,2020-05-01T16:10:29Z,"acid house,chicago house,classic house,deep house,techno","Black Market",0.741,0.612,7,-16.309,0,0.0413,0.133,0.92,0.108,0.624,117.029,4
27W7GHUgfezHQ8krRZUfeX,"Dead Skin Cells","Lifeforms","The Future Sound Of London",1994-01-01,410528,31,seankmchenry,2020-05-01T16:10:29Z,"abstract,big beat,breakbeat,electronica,intelligent dance music,trip hop","Virgin Records",0.308,0.468,0,-17.676,0,0.0573,0.836,0.688,0.161,0.114,118.379,3
2PKUKMU72M9ePV9fJJvIup,"Lose My Mind","The Venus Project","Roldy Cezaire",2013-11-12,278771,0,seankmchenry,2020-05-01T16:10:29Z,"","Roldy Cezaire",0.696,0.726,2,-15.687,0,0.0453,0.449,0.566,0.0754,0.85,152.021,4
7mwceX0IAFikFmpK1fQt8R,"Tisno","Balearic 2","Stratus",2016-07-01,442984,0,seankmchenry,2020-05-01T16:10:29Z,"","Balearic",0.47,0.68,11,-12.096,0,0.0475,0.803,0.902,0.0812,0.796,175.987,4
44uuBBCvzcM0fG6Vy0sY6Q,"Swimmer","Cut Copy Presents: Oceans Apart","Roland Tings",2014-11-07,524820,0,seankmchenry,2020-05-01T16:10:29Z,"aussietronica","Cutters Records",0.547,0.941,0,-7.314,0,0.0369,0.403,0.85,0.111,0.895,178.016,4
0736ITMLbouiQGxjqvNelH,"Sabbia Magica","Aurora Baleare","Hear & Now",2018-08-10,298687,10,seankmchenry,2020-05-01T16:10:29Z,"balearic","claremont 56",0.696,0.549,5,-14.255,0,0.0918,0.0157,0.837,0.0963,0.723,180.003,4
5Ho5tyu5gaeU4AbuwlmAx7,"En Calma","En Calma & Trip to the Light","The Two Mamarrachos",2014-02-27,374400,0,seankmchenry,2020-05-01T16:10:29Z,"dark disco","Is It Balearic..?",0.596,0.452,2,-10.399,1,0.0468,0.00556,0.772,0.0982,0.274,199.989,4
7mMkWdXeLlTBCBWiKZEToq,"You're My Last Chance - Reprieved Dub","Late Night Tales Presents Automatic Soul (Selected and Mixed by Groove Armada's Tom Findlay)","52nd Street",2014-11-03,498137,12,seankmchenry,2020-11-23T13:11:27Z,"brit funk","Late Night Tales",0.838,0.669,10,-11.327,0,0.106,0.0166,0.109,0.177,0.633,111.363,4
7E9wHTwdvvQMeAHZAl1prC,"Desert Storm","Afrodesia - Episode One","Afrodesia",2019-09-20,388988,0,seankmchenry,2020-11-23T13:11:27Z,"neapolitan funk","Afrodesia",0.788,0.394,0,-14.646,1,0.0864,0.0656,0.844,0.346,0.531,95.078,4
0e22uhuc3Z8eJcx5iLifL5,"Before, After","Contrails","Aleksandir",2018-08-31,272289,0,seankmchenry,2020-11-23T13:11:27Z,"ambient house","Church",0.766,0.298,4,-19.41,1,0.076,0.111,0.872,0.581,0.127,114.003,4
0xRdwIw0sdYaaxE0jJItuN,"Gone Swimming","Contrails","Aleksandir",2018-08-31,426201,0,seankmchenry,2020-11-23T13:11:27Z,"ambient house","Church",0.791,0.483,1,-13.311,0,0.0532,0.0043,0.841,0.0846,0.339,117.984,4
3uzzz6tdVov3taAB9OODtb,"Give Me What U Got","Give Me What U Got","Alex Agore",2018-03-12,466229,13,seankmchenry,2020-11-23T13:11:27Z,"deep soul house","Moment Of Truth Records",0.827,0.797,4,-8.022,0,0.0592,0.0086,0.833,0.0955,0.829,119.963,4
2RGygN1o9sNWvmTOx5vIpr,"Green Man","1/66","Andy Rantzen",2017-10-27,267521,0,seankmchenry,2020-11-23T13:11:27Z,"","Efficient Space",0.739,0.836,4,-9.993,1,0.0659,0.00083,0.855,0.684,0.117,108.164,4
38LUbz74v3nmP8x0efElw2,"Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,59,seankmchenry,2020-11-23T13:11:27Z,"classic city pop","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
04deOfZhUWBjKU5J519yyO,"Sophia","Machine Gun Boogie","Antoine Rocky-Horror",2012-06-01,235232,16,seankmchenry,2020-11-23T13:11:27Z,"boogie","Cosmic Chronic Records",0.796,0.649,0,-5.686,1,0.047,0.00886,0.905,0.0858,0.897,99.958,4
