Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ADzmU8r3vn4LxxvDrHhet,"39W4nyx6huDUEI3y7SvBE2","Phambili","Phambili","Sakhile",1989-08-11,276000,2,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.604,0.471,8,-17.709,1,0.0356,0.586,0.404,0.114,0.903,102.074,4
0Y3MstJtgxDO4q0bWS19zR,"39W4nyx6huDUEI3y7SvBE2","Song for Bra Zakes","Phambili","Sakhile",1989-08-11,249000,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.476,0.497,0,-14.616,1,0.0346,0.671,0.942,0.199,0.857,122.835,4
6n51KqE5Q7x7Fbs5tYKUya,"39W4nyx6huDUEI3y7SvBE2","Mshandira Phamwe","Phambili","Sakhile",1989-08-11,392000,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.633,0.57,2,-11.947,0,0.0552,0.366,0.763,0.0752,0.839,120.048,4
3b0OZL6zvrSg99ZC7KmxRG,"39W4nyx6huDUEI3y7SvBE2","Crossroads","Phambili","Sakhile",1989-08-11,398000,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.472,0.408,1,-15.483,1,0.039,0.475,0.905,0.203,0.433,113.352,5
1XvPQ45TIt6jGYjcGFV42R,"39W4nyx6huDUEI3y7SvBE2","Maluti","Phambili","Sakhile",1989-08-11,234000,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.66,0.552,0,-13.219,1,0.0343,0.408,0.907,0.191,0.892,89.237,3
5T0sj0NfuX1Wg9mgL7ZI3t,"39W4nyx6huDUEI3y7SvBE2","Same Time Next Year","Phambili","Sakhile",1989-08-11,311000,0,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.591,0.526,1,-13.144,1,0.0365,0.612,0.634,0.16,0.748,152.581,3
05gHzUmnrKpvno8jZ7P1Dv,"39W4nyx6huDUEI3y7SvBE2","Mantenga Falls","Phambili","Sakhile",1989-08-11,318000,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.495,0.532,2,-12.32,1,0.0309,0.441,0.433,0.241,0.806,127.621,4
33psfjZLkeD8gUpllmXux2,"39W4nyx6huDUEI3y7SvBE2","Tears of Joy","Phambili","Sakhile",1989-08-11,329500,1,spotify:user:seankmchenry,2022-12-01T17:02:21Z,"south african jazz",0.543,0.293,2,-15.826,1,0.0448,0.378,0.63,0.0831,0.642,103.304,4
3onkrSmqZ9jkFasJOcGOUE,"2ClKdvKJPVckV1OH4PzlA4,1l7ELUuCFBE8isQjr2cY9p","Shrimp Boats","Shrimp Boats","Lionel Pillay,Basil Mannenberg Coetzee",1987,1507249,3,spotify:user:seankmchenry,2022-12-01T17:01:59Z,"",0.4,0.437,2,-11.655,1,0.0405,0.011,0.000629,0.0898,0.27,107.23,4
1kAP0P7psMlEvjwtBuknu1,"2ClKdvKJPVckV1OH4PzlA4","Slow Blues for Orial","Shrimp Boats","Lionel Pillay",1987,451544,0,spotify:user:seankmchenry,2022-12-01T17:01:59Z,"",0.488,0.352,10,-14.883,1,0.032,0.408,0.825,0.15,0.221,108.032,1
1UcXghn4BrMuAePpKui2OP,"2ClKdvKJPVckV1OH4PzlA4","Yakhal' Inkomo","Shrimp Boats","Lionel Pillay",1987,546396,1,spotify:user:seankmchenry,2022-12-01T17:01:59Z,"",0.537,0.524,5,-13.176,0,0.0431,0.26,0.605,0.0675,0.542,119.352,4
7lgYWjgqcJHS8mrC00f79G,"2ClKdvKJPVckV1OH4PzlA4","Birdland","Shrimp Boats","Lionel Pillay",1987,350423,1,spotify:user:seankmchenry,2022-12-01T17:01:59Z,"",0.347,0.701,0,-12.658,1,0.0573,0.0441,0.0266,0.349,0.619,95.116,4
0BnC2jzXpQHr2uGOlxj4k7,"342VwnmcyNLYNfzrtIOda1","Tegeni","Tegeni / Mafuta","Barney Rachabane",1978-08-22,527000,1,spotify:user:seankmchenry,2022-12-01T17:10:43Z,"",0.699,0.602,5,-15.9,1,0.0479,0.0843,0.839,0.162,0.956,114.587,4
57twSjO27D6zrPp3CQev2H,"342VwnmcyNLYNfzrtIOda1","Mafuta","Tegeni / Mafuta","Barney Rachabane",1978-08-22,522000,0,spotify:user:seankmchenry,2022-12-01T17:10:43Z,"",0.822,0.499,7,-14.611,1,0.0857,0.268,0.0944,0.0262,0.947,116.917,4
2ygaZefdVaGRrTLz6ofmo1,"70qTlM4lQsyQKSX6ZG56mn","Godfather Special","Banana City Jive","Sipho Gumede",1991,400546,1,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.757,0.658,0,-9.317,1,0.0273,0.67,0.612,0.0829,0.846,104.403,4
1ZLmKU0cwB0OjaMAaF1VPc,"70qTlM4lQsyQKSX6ZG56mn","What's Your Name Girl?","Banana City Jive","Sipho Gumede",1991,334213,0,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.481,0.508,1,-11.545,1,0.0334,0.175,0.791,0.0555,0.803,107.178,4
4t9gML5On87e5hgHsxIOdu,"70qTlM4lQsyQKSX6ZG56mn","African Wedding","Banana City Jive","Sipho Gumede",1991,364560,1,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.547,0.665,7,-10.152,1,0.034,0.0493,0.895,0.0882,0.933,117.541,4
0FSx2GnSrOLWv5kcxqDCYd,"70qTlM4lQsyQKSX6ZG56mn","Banana City Jive","Banana City Jive","Sipho Gumede",1991,388933,0,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.782,0.409,1,-9.823,1,0.0362,0.349,0.652,0.118,0.727,117.86,4
70VuuBlpLaRUFWoVA76L03,"70qTlM4lQsyQKSX6ZG56mn","Here Comes the Bride","Banana City Jive","Sipho Gumede",1991,375546,0,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.588,0.738,2,-8.573,1,0.0438,0.0466,0.855,0.0895,0.815,110.117,4
0dtM6OtsPT6mHMBHER9RFd,"70qTlM4lQsyQKSX6ZG56mn","Stokvel Gumba","Banana City Jive","Sipho Gumede",1991,341924,0,spotify:user:seankmchenry,2022-12-01T17:10:09Z,"afro soul,afropop,south african jazz,south african pop",0.733,0.864,7,-9.762,1,0.0397,0.0267,0.792,0.109,0.927,114.503,4
6bMWPW0ASgclSTgT3xbsFj,"6qshOTFUQhvYrza4Sc85Tl,39mb0I6tdTcCXkeigvzxOJ","Mannenberg","Mannenberg - 'Is Where It's Happening'","Dollar Brand,Abdullah Ibrahim",1974,817800,21,spotify:user:seankmchenry,2022-12-01T17:01:49Z,"contemporary jazz,jazz piano,south african jazz",0.613,0.361,5,-12.359,1,0.0354,0.329,0.328,0.183,0.701,120.397,4
6viBQu3Cf1hwO2UYQRQfXw,"6qshOTFUQhvYrza4Sc85Tl,39mb0I6tdTcCXkeigvzxOJ","The Pilgrim","Mannenberg - 'Is Where It's Happening'","Dollar Brand,Abdullah Ibrahim",1974,768000,9,spotify:user:seankmchenry,2022-12-01T17:01:49Z,"contemporary jazz,jazz piano,south african jazz",0.283,0.0964,5,-16.851,1,0.0476,0.921,0.632,0.105,0.239,82.164,3
7iXdl24oRXPSzHJ8cQYD8H,"0xuu9e8CxrbuueRfhWqTBU,3D7yLi22OE0n2gUPzWXhjc,1Fe4P6lU4clm1Pdn6YXnJK","Wajikeleza","Jika","Richard Pickett,Mike Campbell,Winston Mankunku & Mike Perry",2010-06-04,248999,5,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.592,0.562,3,-13.849,1,0.0498,0.606,0.0000666,0.107,0.738,129.706,4
3f6XbeZ8G7dqv3KWBieeVt,"1Fe4P6lU4clm1Pdn6YXnJK","Crossroads Crossroads","Jika","Winston Mankunku & Mike Perry",2010-06-04,217332,1,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.658,0.37,5,-14.045,1,0.0276,0.719,0.126,0.234,0.884,89.173,4
0kmH4htRIp2JbV1tuIIv8s,"1Fe4P6lU4clm1Pdn6YXnJK","That Man There","Jika","Winston Mankunku & Mike Perry",2010-06-04,134292,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.5,0.247,1,-13.554,1,0.0368,0.683,0.00499,0.101,0.216,116.066,4
21Lq5ITRk4Cyf2uYgVdJYy,"1Fe4P6lU4clm1Pdn6YXnJK","Yho! Yho!","Jika","Winston Mankunku & Mike Perry",2010-06-04,264370,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.552,0.469,1,-13.539,1,0.0444,0.154,0.484,0.102,0.662,136.37,4
01TXpkXDckRjv9fw4dFId4,"1Fe4P6lU4clm1Pdn6YXnJK","Tula Sana","Jika","Winston Mankunku & Mike Perry",2010-06-04,296663,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.474,0.309,5,-12.77,1,0.0282,0.796,0.843,0.0694,0.375,112.552,4
67CcogKKByKPxZjWQxW8p1,"1Fe4P6lU4clm1Pdn6YXnJK","Asiyapo","Jika","Winston Mankunku & Mike Perry",2010-06-04,420530,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.529,0.401,1,-12.416,1,0.0518,0.0706,0.641,0.0968,0.73,104.428,4
5YhdORrllqc21MyH4XALoD,"0o0feFuVjJM430MRuIZbfn,1Fe4P6lU4clm1Pdn6YXnJK","Ntyilo Ntyilo","Jika","Merton Barrow,Winston Mankunku & Mike Perry",2010-06-04,383065,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.313,0.245,0,-13.943,1,0.033,0.747,0.0128,0.0428,0.125,87.293,4
3EIOMYyMy7mhzf7uFBht6P,"1Fe4P6lU4clm1Pdn6YXnJK","Mikes Mood","Jika","Winston Mankunku & Mike Perry",2010-06-04,295732,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.705,0.424,5,-13.807,1,0.0394,0.43,0.779,0.0802,0.877,117.766,4
1ZY7hcBhRPDF7bqXBVL3lf,"1Fe4P6lU4clm1Pdn6YXnJK","I Wish I Knew","Jika","Winston Mankunku & Mike Perry",2010-06-04,207490,0,spotify:user:seankmchenry,2022-12-01T17:02:11Z,"",0.508,0.122,4,-13.119,0,0.0468,0.95,0.575,0.106,0.309,107.065,4
3iaV7fCTkWsUZfy5Glvbtk,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Yasmeen's Blues","Night Express","Black Disco,Pops Mohamed",1976,290996,5,spotify:user:seankmchenry,2022-12-01T17:00:12Z,"south african jazz",0.6,0.431,5,-14.11,1,0.0479,0.0904,0.862,0.0853,0.607,96.061,4
2yKN8DYmB8nBZtOo5IYA4x,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Night Express","Night Express","Black Disco,Pops Mohamed",1976,679007,12,spotify:user:seankmchenry,2022-12-01T17:00:12Z,"south african jazz",0.552,0.524,9,-15.626,0,0.0613,0.0772,0.933,0.183,0.76,93.983,4
0uzBa8cqofwUYxb4QGVTyF,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Super Natural Love","Night Express","Black Disco,Pops Mohamed",1976,267031,3,spotify:user:seankmchenry,2022-12-01T17:00:12Z,"south african jazz",0.415,0.247,2,-18.012,0,0.142,0.986,0.776,0.0893,0.248,219.094,4
0gaOWI1krdjMDs7UYbeYQ5,"64Zgct02IUYk1o4k5ilJv4,1BpS3pvLEEb19kOktkdhM9","Oh Happy Day","Night Express","Black Disco,Pops Mohamed",1976,414995,2,spotify:user:seankmchenry,2022-12-01T17:00:12Z,"south african jazz",0.581,0.477,7,-16.256,1,0.0373,0.243,0.935,0.104,0.855,107.315,4
