Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1z4wF1YNe3FphOqyD2eRqY,"7y1XjJQEGtFmh1MNyWU6cg","You Could Be More As You Are","Saâda Bonaire","Saâda Bonaire",2013-11-12,356613,47,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.97,0.516,0,-9.641,1,0.112,0.137,0.011,0.073,0.964,110.149,4
3siSiQGumImJc5KsEzVsbh,"7y1XjJQEGtFmh1MNyWU6cg","Invitation","Saâda Bonaire","Saâda Bonaire",2013-11-12,321040,35,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.738,0.613,4,-9.354,0,0.0465,0.165,0.00000183,0.0386,0.846,107.981,4
7o6EUXQmAZotrjm399DiKy,"7y1XjJQEGtFmh1MNyWU6cg","Little Sister","Saâda Bonaire","Saâda Bonaire",2013-11-12,270640,35,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.861,0.646,11,-6.67,0,0.0492,0.479,0.125,0.285,0.921,114.39,4
73R5rWJMt6zzgiwLzOYfWR,"7y1XjJQEGtFmh1MNyWU6cg","More Women","Saâda Bonaire","Saâda Bonaire",2013-11-12,310426,45,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.82,0.549,9,-10.208,1,0.0674,0.635,0.441,0.0738,0.861,101.547,4
5lfvFxNi2BHfUjiHYWbJb0,"7y1XjJQEGtFmh1MNyWU6cg","I am So Curious","Saâda Bonaire","Saâda Bonaire",2013-11-12,321680,27,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.842,0.694,2,-7.512,1,0.0446,0.107,0.014,0.107,0.536,123.97,4
5Pe3zHYI42c9T19elIUiq8,"7y1XjJQEGtFmh1MNyWU6cg","Second Face","Saâda Bonaire","Saâda Bonaire",2013-11-12,241133,25,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.824,0.508,9,-10.447,0,0.0517,0.64,0.37,0.123,0.534,105.009,4
7BUaufI7emDkMzayzvjff2,"7y1XjJQEGtFmh1MNyWU6cg","Heart Over Head","Saâda Bonaire","Saâda Bonaire",2013-11-12,278186,36,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.828,0.577,0,-6.938,1,0.075,0.196,0.131,0.101,0.677,143.88,4
4Iow6Xe1mLtzlhMPPTczTF,"7y1XjJQEGtFmh1MNyWU6cg","Shut the Door","Saâda Bonaire","Saâda Bonaire",2013-11-12,311426,42,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.764,0.716,9,-8.057,0,0.0817,0.678,0.0972,0.051,0.867,92.396,4
0UVb3lCVXCztOZUNCg4IUQ,"7y1XjJQEGtFmh1MNyWU6cg","The Facts","Saâda Bonaire","Saâda Bonaire",2013-11-12,313786,32,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.728,0.873,5,-7.152,1,0.0638,0.216,0.0000477,0.418,0.649,107.943,4
6qZFNmgumzle7X8lJErDwL,"7y1XjJQEGtFmh1MNyWU6cg","Give Me A Call","Saâda Bonaire","Saâda Bonaire",2013-11-12,177026,24,spotify:user:seankmchenry,2022-10-14T15:50:57Z,"arab groove",0.519,0.653,4,-9.362,0,0.113,0.209,0.0294,0.0765,0.51,98.08,4
