Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6GtUsRxnYcknDJWfc9NpeR,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Pretend You're In Love","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,267986,8,spotify:user:seankmchenry,2022-07-22T02:38:23Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.699,0.286,1,-18.279,0,0.028,0.764,0.878,0.105,0.496,113.007,4
1kXIM6PAZtnuxAZq35rpGD,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Night-Glo","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,402333,8,spotify:user:seankmchenry,2022-07-22T02:38:23Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.738,0.2,0,-17.822,1,0.0356,0.51,0.875,0.108,0.367,96.058,4
6u8Uf2kvlbAXuSMUOfmsAZ,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Rut","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,451733,3,spotify:user:seankmchenry,2022-07-22T02:38:23Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.658,0.141,3,-22.054,0,0.037,0.809,0.914,0.1,0.109,115.259,4
4ZqEbBqYiHztEXaGQa2vdy,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Crazy With You","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,308093,3,spotify:user:seankmchenry,2022-07-22T02:38:23Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.422,0.32,8,-16.626,1,0.0368,0.554,0.879,0.0768,0.264,93.953,4
2lVJJo7AURhTijuUHPq7Ni,"4Byg6TGm4z9TEkUDvEJBGO,6mrjnfLYDl91oh10EIeKPV","Wildlife: Horns - Paws Without Claws - Sex With Birds","Night-Glo","Carla Bley,Steve Swallow",1985-11-01,753506,2,spotify:user:seankmchenry,2022-07-22T02:38:23Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz,electric bass",0.326,0.286,11,-19.621,1,0.0408,0.85,0.917,0.324,0.0708,113.619,4
1D8A3cCJHJLIOobO71QuLz,"4Byg6TGm4z9TEkUDvEJBGO","More Brahms","Sextet","Carla Bley",1987-03-01,449893,21,spotify:user:seankmchenry,2022-07-22T02:38:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.578,0.199,3,-18.39,0,0.036,0.744,0.411,0.124,0.276,74.452,4
2DrLc5MaTwwy3VUOsBZqb5,"4Byg6TGm4z9TEkUDvEJBGO","Houses & People","Sextet","Carla Bley",1987-03-01,445866,18,spotify:user:seankmchenry,2022-07-22T02:38:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.441,0.324,1,-17.37,0,0.0414,0.538,0.855,0.37,0.27,139.156,4
3wZRSz9jnnoO4364pXC1f4,"4Byg6TGm4z9TEkUDvEJBGO","The Girl Who Cried Champagne","Sextet","Carla Bley",1987-03-01,366906,15,spotify:user:seankmchenry,2022-07-22T02:38:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.508,0.394,0,-17.927,1,0.0614,0.148,0.784,0.125,0.554,171.216,4
4NgW3UquiOEUufM4CNp3IL,"4Byg6TGm4z9TEkUDvEJBGO","Brooklyn Bridge","Sextet","Carla Bley",1987-03-01,392866,16,spotify:user:seankmchenry,2022-07-22T02:38:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.493,0.275,6,-20.064,0,0.0331,0.706,0.897,0.102,0.224,144.089,4
77sxm10gG7rgD2w0ylgBGv,"4Byg6TGm4z9TEkUDvEJBGO","Lawns","Sextet","Carla Bley",1987-03-01,424600,39,spotify:user:seankmchenry,2022-07-22T02:38:24Z,"avant-garde jazz,contemporary jazz,contemporary post-bop,ecm-style jazz,free jazz,italian jazz,japanese jazz,jazz,jazz fusion,swedish jazz",0.56,0.044,7,-24.351,1,0.0384,0.82,0.863,0.1,0.0394,119.674,4
