Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0MaM0yE9EdQEJwDfs6EAZ9,"0lRXEutklZUeNdWIJA1NI0","タイム・リミット","CASIOPEA","CASIOPEA",1979,187200,51,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.614,0.712,9,-9.198,0,0.05,0.156,0.791,0.0711,0.666,129.188,4
15DKVRxHhKqRmIE2L6G82h,"0lRXEutklZUeNdWIJA1NI0","ティアーズ・オブ・ザ・スター","CASIOPEA","CASIOPEA",1979,272600,48,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.596,0.357,0,-12.447,0,0.031,0.308,0.625,0.0959,0.112,129.097,4
5mhMk5MWThkEtMe7i1vhko,"0lRXEutklZUeNdWIJA1NI0","スペース・ロード","CASIOPEA","CASIOPEA",1979,314200,44,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.396,0.778,4,-8.873,0,0.0632,0.0462,0.638,0.199,0.597,153.761,4
56prPhOQ8YcVNLK9UXn7Py,"0lRXEutklZUeNdWIJA1NI0","ミッドナイト・ランデブー","CASIOPEA","CASIOPEA",1979,323160,49,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.599,0.7,11,-8.191,1,0.0384,0.563,0.68,0.0613,0.882,105.778,4
7oO8KQn9fBsA1G4bRSg6he,"0lRXEutklZUeNdWIJA1NI0","ファー・アウェイ","CASIOPEA","CASIOPEA",1979,236840,41,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.601,0.516,9,-9.644,0,0.03,0.422,0.739,0.115,0.757,89.94,4
6JqDvkuehHaeyndeGmLrRt,"0lRXEutklZUeNdWIJA1NI0","スワロー","CASIOPEA","CASIOPEA",1979,266560,44,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.512,0.834,0,-7.661,1,0.0829,0.0921,0.815,0.101,0.813,153.086,4
3lOpMY6bWG9ePWca1D0DQZ,"0lRXEutklZUeNdWIJA1NI0","ドリーム・ヒル","CASIOPEA","CASIOPEA",1979,339640,40,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.601,0.62,0,-8.796,1,0.0401,0.499,0.0508,0.155,0.592,148.362,4
2tYHCZNhGoWZ6cCGzgkAPo,"0lRXEutklZUeNdWIJA1NI0","ブラック・ジョーク","CASIOPEA","CASIOPEA",1979,256959,39,spotify:user:seankmchenry,2022-09-05T18:56:23Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.789,0.755,4,-7.878,0,0.0615,0.227,0.64,0.359,0.8,112.096,4
6HMqmktpk99290w0aD82TK,"0lRXEutklZUeNdWIJA1NI0","テイク・ミー","SUPER FLIGHT","CASIOPEA",1979,259026,28,spotify:user:seankmchenry,2022-09-05T18:56:24Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.619,0.727,4,-7.538,0,0.0356,0.284,0.301,0.155,0.821,106.558,4
0itrljCOLcCL3nnhkgbvYt,"0lRXEutklZUeNdWIJA1NI0","フライング","SUPER FLIGHT","CASIOPEA",1979,291333,30,spotify:user:seankmchenry,2022-09-05T18:56:24Z,"japanese jazz,japanese jazz fusion,jazz fusion",0.419,0.769,0,-8.3,1,0.0937,0.291,0.173,0.0912,0.881,150.386,4
