Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6G3kp05xwMEPOvu6iFTHV3,"4fJKN2nqaBHYUTQzdl260z","Last Time U Came to Me","Try to Explain","Karaba",2019-09-06,282580,1,spotify:user:seankmchenry,2020-04-14T19:53:06Z,"",0.801,0.992,8,-5.276,1,0.0813,0.0812,0.893,0.138,0.501,123.988,4
2QhjValKdnGNA8rkDYDNio,"4fJKN2nqaBHYUTQzdl260z","Get Nervous","Try to Explain","Karaba",2019-09-06,327529,1,spotify:user:seankmchenry,2020-04-14T19:53:06Z,"",0.75,0.93,10,-5.454,0,0.0534,0.0114,0.894,0.118,0.858,127.486,4
4SBSNYcj1SuQYdmrNX2bMj,"4fJKN2nqaBHYUTQzdl260z","Straight Talk","Lazy Boy","Karaba",2019-09-06,357209,3,spotify:user:seankmchenry,2020-04-14T19:53:06Z,"",0.802,0.968,5,-5.874,0,0.0498,0.00711,0.935,0.0858,0.474,129.004,4
47oodYCcGcbu55usI9yWwB,"4fJKN2nqaBHYUTQzdl260z","Tell Me Something to Make Me Feel Better","Lazy Boy","Karaba",2019-09-06,417709,2,spotify:user:seankmchenry,2020-04-14T19:53:06Z,"",0.818,0.921,5,-6.242,0,0.0652,0.215,0.944,0.0795,0.343,131.018,4
4w58XtWXgun0V5r8E7Gemi,"4fJKN2nqaBHYUTQzdl260z,7i8s15R7sG1mF6hW0wMQdn","Tell Me Something to Make Me Feel Better - R.M Remix","Lazy Boy","Karaba,R.M",2019-09-06,536335,0,spotify:user:seankmchenry,2020-04-14T19:53:06Z,"",0.797,0.87,1,-9.039,1,0.053,0.0339,0.904,0.0688,0.492,131.008,4
5hgMjgx0cyufJon54E0CjZ,"79acNMguAToyjfEQe7jFYr","Untitled 01","Taro Asama","Taro Asama",2019-09-06,592682,15,spotify:user:seankmchenry,2020-04-14T19:53:23Z,"",0.786,0.598,11,-8.224,0,0.116,0.0176,0.815,0.0915,0.242,123.031,4
30uSS8WssOatnAhJcZYaz4,"79acNMguAToyjfEQe7jFYr","Untitled 02","Taro Asama","Taro Asama",2019-09-06,529354,9,spotify:user:seankmchenry,2020-04-14T19:53:23Z,"",0.804,0.751,11,-10.376,1,0.105,0.0418,0.875,0.156,0.194,124.001,4
6eJe6v1rwC9UBmZyE6bKcd,"01T8VsPRFjGOItQAyARkpa","Tambours De Velours","Pineapple","Geography Of Heaven",2019-09-06,375999,3,spotify:user:seankmchenry,2020-04-14T19:53:45Z,"",0.808,0.647,0,-12.697,0,0.0614,0.144,0.885,0.0958,0.493,119.994,4
72FDd3PM6qvNr3MyuTHruc,"01T8VsPRFjGOItQAyARkpa","Pinky Promise","Pineapple","Geography Of Heaven",2019-09-06,400000,2,spotify:user:seankmchenry,2020-04-14T19:53:45Z,"",0.793,0.518,10,-11.461,1,0.113,0.00445,0.916,0.118,0.623,120.005,4
7royHvswy0FSrpV7hk6nBj,"01T8VsPRFjGOItQAyARkpa","Sex on the Beach","First Walk","Geography Of Heaven",2019-09-06,458555,2,spotify:user:seankmchenry,2020-04-14T19:53:46Z,"",0.708,0.811,6,-7,0,0.0399,0.196,0.847,0.374,0.244,125.001,4
7CCUlAXbiF1RERYCCS09zq,"01T8VsPRFjGOItQAyARkpa","A Cosmic Heart","First Walk","Geography Of Heaven",2019-09-06,418000,2,spotify:user:seankmchenry,2020-04-14T19:53:46Z,"",0.649,0.808,7,-8.993,0,0.0412,0.167,0.855,0.109,0.202,120.008,4
4UTqoBVY7fhToYMSgbSqR3,"01T8VsPRFjGOItQAyARkpa","A Messy Mind is Good for Creativity","First Walk","Geography Of Heaven",2019-09-06,402000,2,spotify:user:seankmchenry,2020-04-14T19:53:46Z,"",0.718,0.897,7,-5.837,0,0.0441,0.276,0.927,0.0801,0.226,130.019,4
0pkXiIIS1GB7VxOFIuhMcM,"7by3zi8SgYYKYmoOLi33vB","Voyage","Voyage","Azure",2019-09-06,305454,2,spotify:user:seankmchenry,2020-04-14T19:53:50Z,"",0.808,0.526,7,-16.083,0,0.0581,0.0185,0.872,0.0862,0.21,121.047,4
27472SCWgsRBHq1o8vmMwz,"7by3zi8SgYYKYmoOLi33vB","Faded","Voyage","Azure",2019-09-06,298000,2,spotify:user:seankmchenry,2020-04-14T19:53:50Z,"",0.666,0.459,9,-13.199,0,0.0502,0.0535,0.915,0.166,0.225,119.998,4
1F8VDvsQPyvwbNMz3uyxMN,"7i8s15R7sG1mF6hW0wMQdn","Chikyu-u 001","Chikyu-u 001/002","R.M",2019-09-06,481500,18,spotify:user:seankmchenry,2020-04-14T19:54:03Z,"",0.714,0.694,11,-12.312,0,0.0882,0.00154,0.844,0.0593,0.728,120.001,4
1xV07RDwmg4DUBqCYkv1pK,"7i8s15R7sG1mF6hW0wMQdn","Chikyu-u 002","Chikyu-u 001/002","R.M",2019-09-06,563414,30,spotify:user:seankmchenry,2020-04-14T19:54:03Z,"",0.801,0.792,9,-10.251,0,0.15,0.0168,0.896,0.501,0.394,122.991,4
3v4uuxfcfhOUTjvkNoZ8Ee,"7i8s15R7sG1mF6hW0wMQdn","Déambulation","O","R.M",2019-09-06,458500,3,spotify:user:seankmchenry,2020-04-14T19:54:10Z,"",0.276,0.152,8,-21.014,1,0.0403,0.142,0.861,0.0721,0.0383,119.617,4
3KhlVE73w8PvcLm9qArH0i,"7i8s15R7sG1mF6hW0wMQdn","Jardin De nuit","O","R.M",2019-09-06,468480,6,spotify:user:seankmchenry,2020-04-14T19:54:10Z,"",0.707,0.512,10,-14.544,0,0.0451,0.0221,0.84,0.132,0.15,125.003,4
7yJU6XoHkt387U0KrZSIZk,"7i8s15R7sG1mF6hW0wMQdn","Instatiable","O","R.M",2019-09-06,273913,2,spotify:user:seankmchenry,2020-04-14T19:54:10Z,"",0.613,0.523,11,-17.961,0,0.0402,0.426,0.95,0.254,0.699,114.996,4
7vzH1Yqiq1hlt9ZdsijlIO,"7i8s15R7sG1mF6hW0wMQdn","O","O","R.M",2019-09-06,447317,8,spotify:user:seankmchenry,2020-04-14T19:54:10Z,"",0.704,0.464,8,-17.136,1,0.117,0.425,0.882,0.242,0.113,123.009,4
6GtWZhkoRK9WNsvETvtSJW,"3vOYNPF6PLQfpMbPToVT1O","The Fair City","The Irish Experience","Dave John’s",2019-09-06,353280,1,spotify:user:seankmchenry,2020-04-14T19:54:38Z,"",0.805,0.741,0,-8.648,1,0.0629,0.00164,0.406,0.086,0.734,125.007,4
7dB6V0bNRM5itOKuDjSiTB,"3vOYNPF6PLQfpMbPToVT1O","Galaad","The Irish Experience","Dave John’s",2019-09-06,435840,1,spotify:user:seankmchenry,2020-04-14T19:54:38Z,"",0.853,0.904,11,-11.981,0,0.0669,0.02,0.845,0.0586,0.397,125.016,4
5pTFX5AhZfyjCkoarmE6Ik,"145TO1OIjypEeJJnH1nLvO","Terra Incognita","Terra Incognita","Nairless",2019-09-06,300042,1,spotify:user:seankmchenry,2020-04-14T19:54:56Z,"",0.55,0.855,9,-8.948,0,0.04,0.00112,0.875,0.0752,0.0332,124.009,4
6GqZOk19u71JuQDuN1sGD9,"145TO1OIjypEeJJnH1nLvO","Renaissance","Terra Incognita","Nairless",2019-09-06,298109,0,spotify:user:seankmchenry,2020-04-14T19:54:56Z,"",0.639,0.77,5,-7.969,0,0.0388,0.226,0.823,0.129,0.0356,124.011,4
