Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
60utA6KOYHGIA0vh4a9ZJg,"0WUphJOGHE5i95IeR87hsO","Working With Fire And Steel","Working With Fire And Steel","China Crisis",1983-01-01,220960,40,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.66,0.641,4,-13.583,1,0.0342,0.0378,0.0618,0.0602,0.954,142.013,4
3AEpUSooLt1iaps6PYDQZp,"0WUphJOGHE5i95IeR87hsO","When The Piper Calls","Working With Fire And Steel","China Crisis",1983-01-01,243600,22,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.696,0.667,11,-15.624,0,0.0469,0.0137,0.0986,0.151,0.934,118.114,4
35xe7R4TVA0pdq3bZ21kw1,"0WUphJOGHE5i95IeR87hsO","Hanna Hanna","Working With Fire And Steel","China Crisis",1983-01-01,209000,22,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.746,0.517,8,-13.909,1,0.0506,0.402,0.0723,0.318,0.799,141.941,4
48wdfFn4eRwpejOmNeWnSJ,"0WUphJOGHE5i95IeR87hsO","Animals In Jungles","Working With Fire And Steel","China Crisis",1983-01-01,219800,18,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.604,0.576,8,-14.956,1,0.0642,0.0241,0.197,0.308,0.945,168.01,4
4B275xysG7jlyBGmGQcqUy,"0WUphJOGHE5i95IeR87hsO","Here Comes A Raincloud","Working With Fire And Steel","China Crisis",1983-01-01,256066,32,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.66,0.198,4,-21.648,0,0.0298,0.0154,0.000566,0.106,0.499,109.153,4
3gXczlFOo7RUsamtdYzb2j,"0WUphJOGHE5i95IeR87hsO","Wishful Thinking","Working With Fire And Steel","China Crisis",1983-01-01,281973,44,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.693,0.519,7,-14.595,1,0.0345,0.000413,0.353,0.0689,0.968,125.026,4
4l714sCKRyJM2rUCEnkatk,"0WUphJOGHE5i95IeR87hsO","Tragedy And Mystery","Working With Fire And Steel","China Crisis",1983-01-01,242493,35,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.795,0.54,9,-14.842,1,0.0358,0.123,0.00111,0.108,0.965,120.932,4
1nM4ePPbjNPQ5peKEggmbb,"0WUphJOGHE5i95IeR87hsO","Papua","Working With Fire And Steel","China Crisis",1983-01-01,216400,17,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.65,0.438,10,-15.237,1,0.0376,0.442,0.31,0.102,0.778,116.268,4
4Isx6J1Ra59nayjlIZhD7A,"0WUphJOGHE5i95IeR87hsO","The Gates Of Door To Door","Working With Fire And Steel","China Crisis",1983-01-01,256040,18,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.648,0.667,10,-13.898,0,0.0446,0.164,0.105,0.225,0.961,106.907,4
5FCM1Xr1C9yTKzc4FInetw,"0WUphJOGHE5i95IeR87hsO","The Soul Awakening","Working With Fire And Steel","China Crisis",1983-01-01,275800,34,spotify:user:seankmchenry,2022-03-18T19:54:03Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.706,0.33,3,-18.721,1,0.0287,0.681,0.00687,0.116,0.704,104.584,4
