Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6xnPEnL1cyJsEcqoD4PGea,"2Ex4vjQ6mSh5woTlDWto6d","THAT'S THE WAY OF THE WORLD","オン・ギター","Masayoshi Takanaka",1994-06-25,374600,41,spotify:user:seankmchenry,2020-04-06T15:47:32Z,"japanese jazz",0.647,0.406,2,-11.121,1,0.0278,0.666,0.901,0.0882,0.722,140.404,4
3COp4W4XYwkJK9jXYx0cRO,"7xIfi0ePXzLGlYO5lFjnvu","The Dawn of Seychelles","DIGGIN' VICTOR (The Compilation) Deep Into The Vaults Of Japanese Fusion & AOR selected by MURO","Yuji Ohno",2018-05-09,186000,11,spotify:user:seankmchenry,2020-04-16T15:53:21Z,"anime score,classic japanese jazz,japanese jazz",0.55,0.601,0,-9.34,1,0.0342,0.179,0.177,0.495,0.361,142.673,4
2noKAyeEB6lrx2ozlkQXh8,"1LQQtqc1vQ1neUgZrjYlEU","シンデレラ・エクスプレス","DA・DI・DA (ダ・ディ・ダ)","Yumi Matsutoya",1985-11-30,228731,37,spotify:user:seankmchenry,2020-04-16T19:57:20Z,"classic j-pop,j-pop,japanese singer-songwriter",0.76,0.433,0,-9.04,1,0.0304,0.48,0.0326,0.102,0.804,143.509,4
38LUbz74v3nmP8x0efElw2,"0xGtOrmB2hnrNRLG3vhpSo","Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,60,spotify:user:seankmchenry,2020-04-06T15:49:42Z,"classic city pop",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
2aaOJJd2fBkd4es7vI2h2a,"5qm3bAgsYq5aBOymqkM4gG","Love Was Really Gone - 2018 Remaster","FIRST LIGHT (2018 Remaster)","Makoto Matsushita",1982-04-21,347366,56,spotify:user:seankmchenry,2020-04-06T15:46:31Z,"classic city pop",0.619,0.653,4,-8.477,0,0.043,0.594,0.00201,0.215,0.408,86.962,4
5COREHNiZk88RKRZjjrRQ4,"7Ek66FTad8558ELr5Vr2EW","ON THE SEASHORE","DIGGIN' VICTOR (The Compilation) Deep Into The Vaults Of Japanese Fusion & AOR selected by MURO","Sadistics",2018-05-09,371266,9,spotify:user:seankmchenry,2020-04-16T15:53:21Z,"classic city pop,japanese jazz",0.517,0.705,0,-7.894,1,0.0358,0.1,0.000279,0.0809,0.833,88.301,4
4jHcBWXxyTTJmYUMSfUQsr,"7fZWJXYcoB0lI5WUmibtYk","エピローグにさようなら","TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan","Masaki Kyomoto",2018-12-05,208600,24,spotify:user:seankmchenry,2020-04-16T16:39:00Z,"",0.764,0.74,5,-7.132,1,0.079,0.0412,0.0679,0.043,0.939,90.166,4
4n0Ck9DdibsOq8AC0OiGNa,"5ZoVY6c0cokQrn448eRqSc","Hawaiian Electric","Best Of Hiroshima","Hiroshima",1983,276600,6,spotify:user:seankmchenry,2020-04-06T15:56:02Z,"smooth jazz",0.634,0.672,5,-12.266,0,0.0475,0.0358,0.821,0.0749,0.949,91.823,4
0mVidGgAsipJC8ZFQe9wTY,"3zCMmPLVRIDa4xfBJQHkGn","Modern Museum","TOKYO 1980s Victor Edition (The Compilation) Boogie, Funk & Modern Soul from Japan","岸正之",2018-12-05,273733,25,spotify:user:seankmchenry,2020-04-16T16:41:35Z,"classic city pop",0.665,0.552,7,-7.968,0,0.0284,0.0977,0.00139,0.111,0.523,94.062,4
2GWrllGqXji3zboRZZItyy,"4tVWj4YQ5kteJu56XOphEl","Bewitched (Are You Leaving Soon)","The 20th Anniversary","Naomi Akimoto",1982-12-12,284333,37,spotify:user:seankmchenry,2020-04-16T16:36:26Z,"classic city pop",0.754,0.738,0,-5.909,0,0.029,0.207,0.000322,0.0606,0.858,97.41,4
