Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BHj31ufdEqVK5CkYDp9mA,"4hUmsYcvD8C5zuVSP93jb1","Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,77,spotify:user:,2022-11-16T00:55:45Z,"classic city pop",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
61hZsSHXCRgjhxBl6bKL8Q,"5QlBWlYKw2R1O2NUAV6rnA,08qtgUVDVKMQq8lOFcRJnH","星くず","デキシー・フィーバー","Makoto Kubota,夕焼け楽団",1989-01-25,241733,32,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,classic j-rock,japanese blues,japanese folk",0.759,0.282,4,-21.312,1,0.0292,0.169,0.0317,0.0567,0.882,108.579,4
1SmwJJ8YVgiXtyE6elhUx1,"5QeCklzEEYSSLWeUxuWeBy","Tokai","SUNSHOWER","Taeko Onuki",1977-07-25,310173,53,spotify:user:,2022-11-16T00:55:45Z,"anime,classic city pop,japanese new wave,techno kayo",0.616,0.753,5,-8.365,0,0.0475,0.543,0.0012,0.0987,0.761,98.303,4
2GzdAmcK3Kq3MnCkahwqWa,"4czBLtKKNzTc6E4cXDYJuA","ボンボヤージ波止場","モーニング","Chu Kosaka",2000-05-25,242200,33,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,tin pan alley",0.689,0.256,0,-16.45,0,0.0342,0.59,0.000281,0.0813,0.541,84.57,4
2NGWAXh6sisNpVHIAAlME0,"5vYmBw71RC0kABACDCq4Zi","恋は流星","TWILIGHT ZONE","Minako Yoshida",1977,407400,37,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.566,0.765,5,-6.706,1,0.0336,0.53,0.015,0.108,0.541,90.112,4
3mBBBGjOaV4OAfJupWuMgc,"4yN4amq8cBHHQ49NzFOO5Z","Suna no Onna","BAND WAGON (Remastered 2017)","Shigeru Suzuki",1975-03-25,235853,30,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.556,0.857,7,-4.304,1,0.0456,0.689,0.00376,0.108,0.814,92.386,4
5dwr3ShkKRoGoHBbZmyQu0,"7Ek66FTad8558ELr5Vr2EW","CLOSE YOUR EYES","WE ARE JUST TAKING OFF","Sadistics",2016-03-16,294800,33,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.74,0.697,0,-6.547,1,0.0321,0.487,0.000891,0.328,0.882,141.77,4
4Ad4HmvkDvFZ5eYaxQcTKh,"3OldswvDMARe1uWLYSrdEz","SUMMER BLUE","Late Late Summer","Bread And Butter",1979,239893,51,spotify:user:,2022-11-16T00:55:45Z,"classic city pop",0.636,0.517,0,-8.998,1,0.0348,0.46,0.0000184,0.0753,0.855,165.282,4
4PW7Cq7lNMIrEnojsB0jHC,"6M4HwfIjf33RNtOjq3pIzf","Shinin’ You, Shinin’ Day","Char","Char",2017-11-01,355666,37,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese blues,japanese jazz",0.642,0.723,9,-10.487,0,0.0755,0.568,0.0000217,0.0442,0.872,104.496,4
2iGrc21d7bfvLAdlNeNerI,"1LQQtqc1vQ1neUgZrjYlEU","影になって","悲しいほどお天気","Yumi Matsutoya",1979-12-01,332175,34,spotify:user:,2022-11-16T00:55:45Z,"classic j-pop,j-pop,japanese singer-songwriter",0.464,0.607,2,-7.612,0,0.0375,0.465,0.0000466,0.153,0.702,171.941,4
7jRBeWs7TvE8N8W4tEk3nb,"5QeCklzEEYSSLWeUxuWeBy","Summer Connection","SUNSHOWER","Taeko Onuki",1977-07-25,270733,44,spotify:user:,2022-11-16T00:55:45Z,"anime,classic city pop,japanese new wave,techno kayo",0.529,0.83,3,-7.084,1,0.0555,0.329,0.0000825,0.354,0.616,105.299,4
0zqwz1o4l4ltQUxgjyU4oa,"5W7F9IM2vsR9EDCk5T2Uqz","中央フリーウェイ","14番目の月","Yumi Arai",1976-11-20,219466,55,spotify:user:,2022-11-16T00:55:45Z,"anime score,j-pop,japanese folk,japanese singer-songwriter",0.637,0.675,10,-8.357,0,0.0272,0.209,0.00348,0.115,0.65,102.312,4
4gb4vKwGbqY11UdOMV6nSx,"4yN4amq8cBHHQ49NzFOO5Z","LADY PINK PANTHER","LAGOON (Remastered 2017)","Shigeru Suzuki",1976-12-05,175973,41,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.709,0.591,2,-5.364,0,0.0342,0.759,0.00413,0.0841,0.8,143.767,4
4n4x9tHhgUT4BoVhBWMqav,"488oRgvtKkBufay6VMpULR","ON THE MOVE","オン・ザ・ムーヴ","Jun Fukamachi",2009-09-09,351520,40,spotify:user:,2022-11-16T00:55:45Z,"classic japanese jazz,japanese jazz",0.624,0.942,2,-7.281,1,0.0849,0.00398,0.843,0.365,0.679,120.048,4
17Zqy3ZiZLPDO11OcfoS1b,"7Ek66FTad8558ELr5Vr2EW","ON THE SEASHORE","WE ARE JUST TAKING OFF","Sadistics",2016-03-16,371226,32,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.524,0.741,0,-6.314,1,0.0354,0.0987,0.000317,0.125,0.849,89.012,4
17eMW7XloVIo9Z5z4h02I0,"5bYp8QsjOW6NAkb9FQCjjY","こぬか雨","デッドリイ・ドライブ (40周年記念デラックス・エディション)","Ginji Ito",2017-05-24,354746,31,spotify:user:,2022-11-16T00:55:45Z,"classic city pop",0.439,0.45,11,-8.989,0,0.0263,0.0342,0.00331,0.0487,0.272,128.654,4
37Yy2JCzIA5t7Avs8j56Dh,"4czBLtKKNzTc6E4cXDYJuA","しらけちまうぜ","HORO","Chu Kosaka",1975,185893,26,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,tin pan alley",0.603,0.606,5,-11.474,1,0.0301,0.353,0.00132,0.277,0.754,102.414,4
1Ehd4X1eWAm2IP43xqPV2x,"69L8hpJ0Tvo0jGRCbX3PNb","I SAY WHO","City Lights by the Moonlight","惣領 智子",1977,193693,31,spotify:user:,2022-11-16T00:55:45Z,"classic city pop",0.745,0.721,0,-8.09,1,0.0456,0.169,0.00000434,0.0632,0.845,113.317,4
4VtaiiprEhrb0OuDoAH8vm,"6BIhMqvFyj8nYQrk6EmE0Y","THE TOKYO TASTE","Heart To Heart","Raji",1977,226320,35,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,kayokyoku",0.73,0.402,9,-10.895,0,0.0345,0.676,0.00212,0.043,0.76,99.353,4
0DGvE0SStlcRCcgmNb1WQB,"5W7F9IM2vsR9EDCk5T2Uqz","COBALT HOUR","COBALT HOUR","Yumi Arai",1975-06-20,213666,40,spotify:user:,2022-11-16T00:55:45Z,"anime score,j-pop,japanese folk,japanese singer-songwriter",0.619,0.895,8,-6.369,1,0.0405,0.129,0.024,0.0996,0.734,127.344,4
4pov7Yi9sESxayxoAZlUrD,"4yN4amq8cBHHQ49NzFOO5Z","On the Coast","DIGGIN’ VICTOR Deep Into The Vaults Of Japanese Fusion mixed by MURO","Shigeru Suzuki",2018-03-21,213520,36,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.668,0.5,8,-11.01,1,0.0392,0.453,0.011,0.205,0.554,90.54,4
0YMnEMqd2xGK6FrMl481wX,"7Ek66FTad8558ELr5Vr2EW","The Tokyo Taste","ザ・ベスト","Sadistics",2018-07-25,226333,32,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.72,0.738,8,-7.92,1,0.0785,0.185,0.0122,0.0366,0.85,93.313,4
0nJSH4TfCIFtIzVhpTAQ9T,"5dS698oTdel4MldPvYoj7p","夜間飛行","SOUTH OF THE BORDER","Yoshitaka Minami",2014-10-17,209040,24,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,techno kayo",0.655,0.61,0,-12.192,1,0.0417,0.259,0.00276,0.204,0.822,89.988,4
3wQKgH0pIudkYFo14jXVb0,"5vYmBw71RC0kABACDCq4Zi","愛は思うまま","Let's Do It","Minako Yoshida",1978,292573,33,spotify:user:,2022-11-16T00:55:45Z,"classic city pop,japanese jazz",0.627,0.788,5,-6.282,0,0.0403,0.0935,0.0000181,0.145,0.668,122.325,4
76ZN3sUxFdm1DS4HWmR0Tx,"1hpng1qlmNyaCQZLdZpbfQ","ソバカスのある少女","キャラメル・ママ","ティン・パン・アレー",2011-01-12,209053,27,spotify:user:,2022-11-16T00:55:45Z,"classic j-rock",0.476,0.723,11,-7.484,1,0.0349,0.769,0.0356,0.177,0.835,145.08,4
0Bm8KQPVBA4neqiy5mqEiw,"3X1YtMHFPYXcwtGo4VKT33","サブタレニアン二人ぼっち - 2017 リマスター","Funny Walkin' (2017 リマスター)","Nanako Sato",1977-06-25,194853,26,spotify:user:,2022-11-16T00:55:45Z,"classic city pop",0.497,0.715,2,-7.965,1,0.0306,0.23,0.0000129,0.151,0.846,118.122,4
7zCIXu0Ekri6cVDEzbFysM,"488oRgvtKkBufay6VMpULR","LETTER TO NEW YORK","オン・ザ・ムーヴ","Jun Fukamachi",2009-09-09,299160,28,spotify:user:,2022-11-16T00:55:45Z,"classic japanese jazz,japanese jazz",0.594,0.868,5,-7.041,0,0.0336,0.115,0.0287,0.0879,0.851,95.512,4
7iyfmOUN6wBobBPXVRdWvR,"3rLmQHQ3X5rCN55IhqPFnX,1hpng1qlmNyaCQZLdZpbfQ","私自身","アワー・コネクション","Ayumi Ishida,ティン・パン・アレー",2007-04-18,199120,26,spotify:user:,2022-11-16T00:55:45Z,"kayokyoku,classic j-rock",0.722,0.642,5,-12.815,1,0.0441,0.303,0.256,0.147,0.91,109.207,4
