Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0kn1RO1QOvuT3JoZK5rFjg,"6kuIqU57myFeZpwFxR8Bwu","Rainforest","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,487755,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.726,0.853,7,-8.443,0,0.321,0.787,0.0782,0.353,0.82,111.977,4
2vCmm1RiIfqGFvzmtQKf39,"6kuIqU57myFeZpwFxR8Bwu","Ocean Breeze","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,422926,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.683,0.925,7,-8.318,0,0.0647,0.0196,0.227,0.0971,0.807,115.982,4
6de2b7a1nOaeKk4S4UjZE3,"6kuIqU57myFeZpwFxR8Bwu","Eternal Blue","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,325573,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.738,0.775,1,-5.259,1,0.128,0.191,0.89,0.312,0.33,115.871,4
4X4wpDNOnPNCfusGrkIuyw,"6kuIqU57myFeZpwFxR8Bwu","Summer Say Goodbye","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,349602,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.925,0.754,11,-10.942,1,0.364,0.705,0.488,0.18,0.558,111.956,4
2DFlAtcGXtvFBv0qQIuJaL,"6kuIqU57myFeZpwFxR8Bwu","Shinjuku Stasis","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,273515,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.625,0.931,1,-7.303,0,0.0654,0.38,0.151,0.114,0.28,110.007,4
280ueefV3Dttcj1yFEByO3,"6kuIqU57myFeZpwFxR8Bwu","ナイトドライブ","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,321800,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.686,0.979,10,-6.113,0,0.0778,0.149,0.3,0.103,0.961,113.993,4
5NfwmVsPHYHi4KCoqy1gyt,"6kuIqU57myFeZpwFxR8Bwu","神保町","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,362020,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.61,0.741,11,-6.89,0,0.0549,0.135,0.0602,0.0952,0.143,109.979,4
1aUYXfUAtXCkxNEvGgO4ws,"6kuIqU57myFeZpwFxR8Bwu","Calm Yellow","Rainforest","Aquarium aka 外神田deepspace",2018-04-11,198265,0,spotify:user:seankmchenry,2022-06-03T14:39:18Z,"",0.697,0.786,6,-7.51,0,0.0922,0.332,0.332,0.0824,0.542,109.967,4
14eb6SsaVftP0YpH5FDui9,"613yj6YPv4u2EmHcEOUxNJ","Alright","Spent","Hugo Jay",2018-04-10,310590,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.893,0.361,7,-10.216,0,0.0803,0.0193,0.835,0.172,0.779,119.042,4
0ZuKSWahgbA2mnPYm3fmHa,"613yj6YPv4u2EmHcEOUxNJ","Spent","Spent","Hugo Jay",2018-04-10,385573,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.78,0.836,6,-8.176,1,0.0527,0.0097,0.749,0.386,0.864,121.99,4
1Ak4EEY4F2rivpVMJEPxbI,"613yj6YPv4u2EmHcEOUxNJ","Break","Spent","Hugo Jay",2018-04-10,300614,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.798,0.9,11,-7.944,1,0.0428,0.00404,0.903,0.0449,0.778,127.993,4
5XJ1DLHPYwfkXt4RyFZ2v0,"613yj6YPv4u2EmHcEOUxNJ","It's Us","Spent","Hugo Jay",2018-04-10,400629,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.804,0.906,6,-8.636,1,0.0568,0.00927,0.909,0.679,0.962,126.982,4
1OV4IcAYzdhQuvwVR1WKYx,"613yj6YPv4u2EmHcEOUxNJ","Come Down","Spent","Hugo Jay",2018-04-10,300000,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.787,0.654,0,-7.113,1,0.0569,0.00123,0.871,0.168,0.799,123.994,4
4MmkPwuqkkkgVdLNC4U7tx,"613yj6YPv4u2EmHcEOUxNJ","Place","Spent","Hugo Jay",2018-04-10,310819,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.811,0.564,0,-9.915,1,0.0636,0.15,0.801,0.111,0.847,124.001,4
71ZdZXD8qSxvMnLOB4Oc2s,"613yj6YPv4u2EmHcEOUxNJ","With Care","Spent","Hugo Jay",2018-04-10,275409,0,spotify:user:seankmchenry,2022-06-03T14:39:27Z,"nz electronic",0.852,0.623,0,-10.341,0,0.0597,0.466,0.888,0.138,0.7,122.001,4
1y7l6HaWsH2JsN0KIqY96l,"76If8HF56JoLYMc3AqmuVf","Mango Peach","Mango Peach","Buddy Love",2016-04-16,243016,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.79,0.808,3,-8.545,1,0.0675,0.106,0.792,0.445,0.711,120.025,4
7ySWxcqEKFpBomjjhEMKBS,"76If8HF56JoLYMc3AqmuVf","Party Language","Mango Peach","Buddy Love",2016-04-16,328006,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.763,0.677,0,-10.882,1,0.058,0.37,0.479,0.701,0.499,120.004,4
7rQUQfg7wvsQ1v3Trkoj4Y,"76If8HF56JoLYMc3AqmuVf","Medusa Bloom","Mango Peach","Buddy Love",2016-04-16,301016,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.765,0.794,9,-10.883,0,0.0479,0.0241,0.84,0.335,0.409,117.957,4
2v2kVCSVZiZ1v3nHF5Uh5T,"76If8HF56JoLYMc3AqmuVf","Beach Blonde","Mango Peach","Buddy Love",2016-04-16,302318,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.799,0.664,2,-10.748,1,0.0803,0.0797,0.86,0.443,0.355,111.997,4
2EkDlKHnqpzG7TJLFmTFxK,"76If8HF56JoLYMc3AqmuVf","Breeze","Mango Peach","Buddy Love",2016-04-16,125901,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.338,0.382,0,-14.096,1,0.0512,0.813,0.935,0.614,0.0751,143.92,3
3GoDtkH85y0ZTVV0rIWzgX,"76If8HF56JoLYMc3AqmuVf","Oasis","Mango Peach","Buddy Love",2016-04-16,289180,0,spotify:user:seankmchenry,2022-06-03T14:39:37Z,"",0.731,0.879,9,-8.875,0,0.0648,0.0219,0.447,0.96,0.703,115.023,4
74LHyGYB9ym7a3Buwe4azh,"4sL9uMYCk8NDAhimqhVSlB","Wave Catalyst (High Tide)","Ocean City","Pacific Coliseum",2018-05-14,296625,1,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.33,0.479,6,-12.312,1,0.0422,0.882,0.887,0.1,0.196,120.014,1
7mPYHAbFTmINvKOvTLknvY,"4sL9uMYCk8NDAhimqhVSlB","Ocean City","Ocean City","Pacific Coliseum",2018-05-14,368977,13,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.674,0.561,7,-11.306,1,0.0372,0.374,0.845,0.0874,0.837,128.027,4
0d1hcKGvuqwYrnStnWR9GL,"4sL9uMYCk8NDAhimqhVSlB","Last Night in Paradise","Ocean City","Pacific Coliseum",2018-05-14,256835,1,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.726,0.58,1,-9.217,1,0.0487,0.169,0.855,0.0707,0.691,90,4
6oYxXIcqUhGEuIDF8W1aIt,"4sL9uMYCk8NDAhimqhVSlB","Sunset Melody","Ocean City","Pacific Coliseum",2018-05-14,255737,0,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.573,0.477,7,-10.134,1,0.0286,0.97,0.807,0.12,0.123,103.928,4
3WY71M0i0vSnuzqsXNuVyz,"4sL9uMYCk8NDAhimqhVSlB","Beach Runner","Ocean City","Pacific Coliseum",2018-05-14,233068,0,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.663,0.538,1,-8.236,1,0.0372,0.183,0.913,0.0388,0.773,160.059,4
3vyOOyNORobnjiJ4JohvsL,"4sL9uMYCk8NDAhimqhVSlB","Universe Surfin'","Ocean City","Pacific Coliseum",2018-05-14,251803,3,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.722,0.705,10,-9.036,0,0.0361,0.283,0.928,0.0933,0.452,105.014,4
4bgxYNpwOjYx85MgmdGVoX,"4sL9uMYCk8NDAhimqhVSlB","Mornings at Made's","Ocean City","Pacific Coliseum",2018-05-14,151475,1,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.575,0.475,5,-9.173,1,0.0379,0.971,0.88,0.109,0.485,115.982,4
29OkcQwfVAHvKD01s5AWog,"4sL9uMYCk8NDAhimqhVSlB","Wave Catalyst (Low Tide)","Ocean City","Pacific Coliseum",2018-05-14,220327,0,spotify:user:seankmchenry,2022-06-03T14:39:47Z,"",0.275,0.311,6,-16.544,1,0.0371,0.953,0.874,0.152,0.56,160.04,4
28JOvO5gfV30gomKDA5PRZ,"2GTGi2RC8sajDRwBXKpWYg","Sharkruiser","Tell LP","Tell",2018-04-10,233114,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.85,0.515,9,-9.833,0,0.117,0.234,0.862,0.918,0.0951,99.998,4
7rwlyxL15S29R8DZTCppny,"2GTGi2RC8sajDRwBXKpWYg","I Remember","Tell LP","Tell",2018-04-10,346890,1,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.806,0.52,6,-8.968,0,0.0537,0.563,0.666,0.0807,0.214,119.021,4
0OUMbFXP6uwUwCk0cdcbgB,"2GTGi2RC8sajDRwBXKpWYg","Interloose","Tell LP","Tell",2018-04-10,75901,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.727,0.429,6,-13.171,0,0.0866,0.371,0.219,0.25,0.395,82.069,4
61wjzOKPbXtCbm4uS0sLeW,"2GTGi2RC8sajDRwBXKpWYg","Daddy's a Lowrider","Tell LP","Tell",2018-04-10,266218,1,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.876,0.509,11,-10.128,0,0.0687,0.00236,0.875,0.192,0.274,118.986,4
7wzblfCf0WbyDwDfNS0LjV,"2GTGi2RC8sajDRwBXKpWYg","Young Bird","Tell LP","Tell",2018-04-10,346229,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.776,0.738,10,-12.393,0,0.0604,0.0662,0.87,0.828,0.546,116.989,4
6DNmCoglvrQEWxaLjGwDdB,"2GTGi2RC8sajDRwBXKpWYg","Heart Attack","Tell LP","Tell",2018-04-10,150139,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.721,0.668,1,-6.974,0,0.13,0.614,0.895,0.108,0.57,162.024,4
7idffqD17SeOQjIy7VelRh,"2GTGi2RC8sajDRwBXKpWYg","Sorry, I Was Miles Away","Tell LP","Tell",2018-04-10,333442,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.803,0.638,1,-8.388,0,0.107,0.0584,0.00184,0.0796,0.712,110.039,4
5a0dCfIMC8U8AciPuuMcKd,"2GTGi2RC8sajDRwBXKpWYg","Soda Muscle","Tell LP","Tell",2018-04-10,121967,0,spotify:user:seankmchenry,2022-06-03T14:40:07Z,"float house",0.667,0.505,1,-10.44,1,0.272,0.0815,0.231,0.693,0.738,69.227,4
6Rkg8jV5d3rPFCvHGh5Rca,"0mumYdYeqKkr99t3iDEHGS","Will's Dippin","Dippin & Trippin","Manuel Darquart",2018-04-10,344822,0,spotify:user:seankmchenry,2022-06-03T14:40:24Z,"float house,nz electronic",0.858,0.423,9,-11.853,0,0.0548,0.000252,0.375,0.0689,0.587,117.009,4
3UqKEqhxZvkKtOWPHwxyKr,"0mumYdYeqKkr99t3iDEHGS","Mike's Trippin","Dippin & Trippin","Manuel Darquart",2018-04-10,395233,0,spotify:user:seankmchenry,2022-06-03T14:40:24Z,"float house,nz electronic",0.871,0.625,9,-8.119,0,0.0602,0.00109,0.819,0.11,0.593,119.984,4
3VaoNFHjByXp1vOT5PsWzN,"0mumYdYeqKkr99t3iDEHGS","Drunk Sundays","Dippin & Trippin","Manuel Darquart",2018-04-10,319052,7,spotify:user:seankmchenry,2022-06-03T14:40:24Z,"float house,nz electronic",0.823,0.678,1,-8.283,1,0.0775,0.0216,0.794,0.358,0.752,115.001,4
5hjYg7ZdKIELwsQ4oB3XY7,"0JA5uqKcjlx67kfQ5atued","Empy Buffet","Pool Boy","Pool Boy",2018-04-16,229333,0,spotify:user:seankmchenry,2022-06-03T14:40:36Z,"",0.262,0.377,11,-14.755,0,0.0439,0.669,0.967,0.107,0.351,115.877,5
7AV19JPVB6MQd9sQfG8KfB,"0JA5uqKcjlx67kfQ5atued","Old Dog No Tricks","Pool Boy","Pool Boy",2018-04-16,359820,0,spotify:user:seankmchenry,2022-06-03T14:40:36Z,"",0.776,0.831,7,-9.088,0,0.092,0.0985,0.901,0.352,0.75,120.006,4
0nLeYeb9puwO0aj9p0t7Nc,"0JA5uqKcjlx67kfQ5atued","Nap Dreams","Pool Boy","Pool Boy",2018-04-16,246331,0,spotify:user:seankmchenry,2022-06-03T14:40:36Z,"",0.806,0.894,4,-10.907,0,0.0519,0.000024,0.914,0.248,0.901,114.006,4
6SweXmjUe3zopy42aCkqFK,"0JA5uqKcjlx67kfQ5atued","Never Trust a Dolphin","Pool Boy","Pool Boy",2018-04-16,113528,0,spotify:user:seankmchenry,2022-06-03T14:40:36Z,"",0.554,0.457,0,-15.328,0,0.0353,0.972,0.937,0.534,0.912,118.017,3
