Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6iBytnEXc0DQmBoqFm3Ymf,"1ViWSwtEL3r2Xcg30KhD7d","Analog Photography","Same Place, Another Time","Soshi Takeda",2022-01-04,253925,16,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.662,0.372,11,-12.285,0,0.0361,0.772,0.686,0.257,0.477,93.984,4
0qcsOWkRPw2e1YPq8MgJaM,"1ViWSwtEL3r2Xcg30KhD7d","Blue Dress","Same Place, Another Time","Soshi Takeda",2022-01-04,237770,18,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.574,0.447,3,-11.11,0,0.0306,0.79,0.887,0.158,0.636,85.041,4
3uGSWlqnhnY5mUoMburBNp,"1ViWSwtEL3r2Xcg30KhD7d","Peninsula","Same Place, Another Time","Soshi Takeda",2022-01-04,212977,15,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.569,0.299,11,-12.811,1,0.0498,0.974,0.743,0.176,0.292,83.979,4
2t1yjAbUceOeunDqQFDgsu,"1ViWSwtEL3r2Xcg30KhD7d","Same Place, Another Time","Same Place, Another Time","Soshi Takeda",2022-01-04,398990,13,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.656,0.753,11,-10.708,0,0.0381,0.11,0.904,0.3,0.887,93.015,4
6rKJyQcE0ITrWk09dpqC82,"1ViWSwtEL3r2Xcg30KhD7d","Two Weeks Later","Same Place, Another Time","Soshi Takeda",2022-01-04,372812,12,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.433,0.388,7,-15.647,1,0.0277,0.81,0.739,0.105,0.281,170.007,4
4Drx4rQbNsbaW9QF0zPn4h,"1ViWSwtEL3r2Xcg30KhD7d","Flower","Same Place, Another Time","Soshi Takeda",2022-01-04,220004,14,spotify:user:seankmchenry,2022-06-01T17:25:03Z,"fourth world,japanese house",0.599,0.411,2,-13.026,1,0.0641,0.273,0.868,0.106,0.582,180.065,3
7kjCUpu21gf59BusTG7Pxk,"6a5EIjDwMIpnwlOAYNsKxu","Passage","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,288000,7,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.292,0.21,10,-30.872,0,0.153,0.769,0.706,0.6,0.091,120.907,1
6kXaqCuPtq2MdJ2GCATPtZ,"6a5EIjDwMIpnwlOAYNsKxu","Coney","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,357485,5,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.25,0.332,10,-22.714,0,0.0477,0.859,0.909,0.0895,0.276,82.191,4
4kjkbid7ZgYC92UemlbgtZ,"6a5EIjDwMIpnwlOAYNsKxu","Twilight Humidity","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,338686,8,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.41,0.0969,5,-24.141,0,0.037,0.954,0.92,0.108,0.04,82.795,4
6fPCksHYTqz6mJcrtT2xh0,"6a5EIjDwMIpnwlOAYNsKxu","Village Square","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,316000,4,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.471,0.252,1,-24.589,1,0.0538,0.482,0.919,0.37,0.272,120.038,4
5Mjorg1gKpPLkn97DUijnc,"6a5EIjDwMIpnwlOAYNsKxu","The Chamber","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,356000,5,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.769,0.244,10,-22.227,0,0.057,0.601,0.494,0.609,0.568,119.993,5
7jNMJbk5uCW5VL273x7hKS,"6a5EIjDwMIpnwlOAYNsKxu","Resolve","Resolve","Alex Albrecht pres. Melquíades",2022-01-04,265142,5,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.436,0.15,4,-19.2,1,0.0362,0.969,0.948,0.0845,0.0371,70.07,3
597WCUqvgitEAqPLUJLiOD,"6a5EIjDwMIpnwlOAYNsKxu,3nRcIhP3UdR1tR7ksRIXD3","This is exactly what this is","Resolve","Alex Albrecht pres. Melquíades,Carla Oliver",2022-01-04,295518,4,spotify:user:seankmchenry,2022-06-01T17:25:23Z,"australian ambient",0.218,0.271,1,-19.749,1,0.0441,0.976,0.594,0.0955,0.039,136.368,3
0TxoE6r2pH3n4bRBlGsyJM,"6nDeZk1AU320DQaj8pD80O","Everywhere I Go You're All That I See","I Wish You Could","Celer",2018-11-13,1981098,5,spotify:user:seankmchenry,2022-06-01T17:32:53Z,"ambient,compositional ambient,drift,drone,fourth world,new isolationism,nu age,sound art,warm drone",0.167,0.0412,8,-25.129,1,0.0546,0.834,0.934,0.109,0.142,118.037,4
4lvklf58MUIpPbtcOMmXlK,"6nDeZk1AU320DQaj8pD80O","Wishes Would Be Grand If Only They Came True","I Wish You Could","Celer",2018-11-13,2037341,3,spotify:user:seankmchenry,2022-06-01T17:32:53Z,"ambient,compositional ambient,drift,drone,fourth world,new isolationism,nu age,sound art,warm drone",0.171,0.0554,9,-29.046,0,0.0395,0.948,0.851,0.114,0.0328,107.028,4
1tQNDiFCS1aalfYyhKdC5A,"6toHLoCsmqKPjtprSVucxz","Dolphin Smile","Waves Tapes","X.Y.R.",2021-05-25,352937,11,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.0852,0.198,3,-20.183,1,0.0352,0.976,0.949,0.407,0.0658,83.41,3
3ARFPSPw3Mhx0Lr0kajzBd,"6toHLoCsmqKPjtprSVucxz","Sea Kaleidoscope","Waves Tapes","X.Y.R.",2021-05-25,407062,11,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.141,0.193,10,-19.056,1,0.0404,0.987,0.967,0.815,0.0653,97.775,4
6t1sbBEcFNlqJOe9aRnzkK,"6toHLoCsmqKPjtprSVucxz","Romantika","Waves Tapes","X.Y.R.",2021-05-25,240000,8,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.136,0.114,11,-23.452,1,0.042,0.992,0.988,0.387,0.215,179.316,4
04GRLHmcvsC1b0bIXEhLtn,"6toHLoCsmqKPjtprSVucxz","Dreamwave","Waves Tapes","X.Y.R.",2021-05-25,281000,6,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.178,0.128,0,-20.037,0,0.043,0.99,0.957,0.284,0.108,132.85,3
1RXf6hSnm0Kd8YYXPmMyoZ,"6toHLoCsmqKPjtprSVucxz","Inner Tones","Waves Tapes","X.Y.R.",2021-05-25,271500,6,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.147,0.25,9,-18.049,1,0.0379,0.985,0.981,0.134,0.0361,145.113,4
74GywXjGUl1NFI9M7iy8W8,"6toHLoCsmqKPjtprSVucxz","Calme Grand","Waves Tapes","X.Y.R.",2021-05-25,537767,8,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.141,0.319,8,-13.193,1,0.0346,0.674,0.924,0.53,0.0341,93.299,4
6SUKUqcdfxweLHZCJ2fozF,"6toHLoCsmqKPjtprSVucxz","Jeunesse Vague","Waves Tapes","X.Y.R.",2021-05-25,312000,4,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.28,0.206,11,-21.651,1,0.0367,0.986,0.948,0.142,0.0383,132.81,3
78MiztYAmzYReylV8TDxXf,"6toHLoCsmqKPjtprSVucxz","Sunset Dive","Waves Tapes","X.Y.R.",2021-05-25,344000,4,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.262,0.269,2,-15.561,1,0.0406,0.987,0.934,0.239,0.0793,112.814,3
3qQZVerKEEXmynjbcB5RAf,"6toHLoCsmqKPjtprSVucxz","When I Was a Boy","Waves Tapes","X.Y.R.",2021-05-25,361500,4,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.273,0.337,9,-16.11,1,0.0392,0.812,0.916,0.151,0.239,112.191,4
0qHm4vJgDi3QqZBWHL0w6i,"6toHLoCsmqKPjtprSVucxz","Healing Waves","Waves Tapes","X.Y.R.",2021-05-25,429968,4,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.128,0.189,10,-16.475,1,0.0374,0.898,0.956,0.447,0.0985,146.363,5
4kwDB864cO3zItUaCpRttz,"6toHLoCsmqKPjtprSVucxz","Soliton","Waves Tapes","X.Y.R.",2021-05-25,230031,3,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.445,0.14,8,-18.891,1,0.0409,0.961,0.95,0.412,0.0766,120.181,4
2CzAtAQnIx93pfUee8nOlG,"6toHLoCsmqKPjtprSVucxz","Reading a Wave","Waves Tapes","X.Y.R.",2021-05-25,320000,4,spotify:user:seankmchenry,2022-06-01T17:31:16Z,"vaporwave",0.298,0.199,0,-18.547,1,0.0367,0.966,0.932,0.493,0.0723,111.66,4
3SeByNBUgrYilvFQU4pRtq,"3pgvcz2Ua5wsu4qnlunvqC","What Was Left Behind","What Was Left Behind","Paperbark",2021-08-03,384258,4,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.102,0.0674,4,-25.21,0,0.0374,0.982,0.973,0.0672,0.0445,90.356,3
1j8cA8eLWY9gbDby4jC2NC,"3pgvcz2Ua5wsu4qnlunvqC","Open Memory","What Was Left Behind","Paperbark",2021-08-03,423771,1,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.0724,0.117,4,-20.677,1,0.0418,0.981,0.667,0.0835,0.0448,77.211,4
5xSfDlxks12YHVpZDo3H4S,"3pgvcz2Ua5wsu4qnlunvqC","Bring Up the Scars","What Was Left Behind","Paperbark",2021-08-03,361676,1,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.115,0.0613,8,-25.721,1,0.0383,0.987,0.968,0.0695,0.0386,78.447,4
6nvWderVwkqfjWPwjevtnn,"3pgvcz2Ua5wsu4qnlunvqC","Light Burning","What Was Left Behind","Paperbark",2021-08-03,357202,1,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.0756,0.241,1,-18.108,1,0.0414,0.994,0.877,0.0979,0.0326,179.372,3
1Kw6aPSoATgwKHpIO8rB3f,"3pgvcz2Ua5wsu4qnlunvqC","A Quieter Place","What Was Left Behind","Paperbark",2021-08-03,364654,1,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.0648,0.113,1,-23.939,1,0.0434,0.969,0.952,0.0554,0.0358,68.976,4
7jjmF28ltIYDI8PZjlkZ06,"3pgvcz2Ua5wsu4qnlunvqC","Kicking a Stone","What Was Left Behind","Paperbark",2021-08-03,350859,1,spotify:user:seankmchenry,2022-06-01T17:31:00Z,"modular synth",0.111,0.172,1,-22.025,1,0.0377,0.995,0.913,0.363,0.0637,169.566,4
0guiKmX0f44CuzoKFvfCZt,"22YOVYJh2jB8P7uDZGd9ro","Opening Space","Opening Space","Open Spaces",2020-03-03,554025,1,spotify:user:seankmchenry,2022-06-01T17:32:21Z,"italo house",0.116,0.0659,2,-15.97,1,0.0484,0.438,0.884,0.0796,0.0393,82.287,1
68XHdGzZstsEgZH18pWivY,"22YOVYJh2jB8P7uDZGd9ro","Morning to Night","Opening Space","Open Spaces",2020-03-03,420785,1,spotify:user:seankmchenry,2022-06-01T17:32:21Z,"italo house",0.0893,0.144,9,-14.405,1,0.0508,0.918,0.951,0.0944,0.0264,87.208,4
23BfGBbLnqokCfu3l6g5WQ,"22YOVYJh2jB8P7uDZGd9ro","Compassion","Opening Space","Open Spaces",2020-03-03,353556,0,spotify:user:seankmchenry,2022-06-01T17:32:21Z,"italo house",0.172,0.312,2,-15.415,0,0.0382,0.891,0.884,0.115,0.0327,118.771,4
4djUjAp3DZbcr2k8K91btQ,"22YOVYJh2jB8P7uDZGd9ro","Some Days Are Easier than Others","Opening Space","Open Spaces",2020-03-03,303939,0,spotify:user:seankmchenry,2022-06-01T17:32:21Z,"italo house",0.179,0.172,5,-16.714,0,0.0306,0.974,0.962,0.112,0.039,60.191,4
0s0iSFC2iDGFdvQDtEdum5,"22YOVYJh2jB8P7uDZGd9ro","Closing Space","Opening Space","Open Spaces",2020-03-03,398392,0,spotify:user:seankmchenry,2022-06-01T17:32:21Z,"italo house",0.0726,0.224,7,-15.044,1,0.0389,0.621,0.918,0.0845,0.0328,78.852,4
77ZQeOH7zMXIx1Sdx7Kwhb,"5tbEjgs7Twqh89pq5Ef161","翠雨","Rain Studies","Hakobune",2019-11-19,207060,9,spotify:user:seankmchenry,2022-06-01T17:32:24Z,"ambient,drift,drone,j-ambient,nu age,warm drone",0.186,0.278,8,-19.903,0,0.0383,0.938,0.826,0.108,0.0343,79.902,3
