Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4B61IBnoLZOUO3RWRVzUJ1,"65dGLGjkw3UbddUg2GKQoZ","Speaking Gently","IV","BADBADNOTGOOD",2016-07-08,247839,42,spotify:user:seankmchenry,2022-06-03T16:39:50Z,"alternative hip hop,canadian modern jazz,escape room,hip hop,indie soul",0.297,0.83,5,-5.168,0,0.0404,0.0000599,0.822,0.113,0.511,77.84,4
1IqF5PUDUnaykHLs0RWbDO,"65dGLGjkw3UbddUg2GKQoZ,6K4I1MPd7m8IztUdtrF4YU","Time Moves Slow","IV","BADBADNOTGOOD,Samuel T. Herring",2016-07-08,273864,68,spotify:user:seankmchenry,2022-06-03T16:39:50Z,"alternative hip hop,canadian modern jazz,escape room,hip hop,indie soul",0.591,0.376,11,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026,4
4jmLj7bALZTQoe93dT623W,"65dGLGjkw3UbddUg2GKQoZ,3GQboECxDT1xqPPWC30p7v","In Your Eyes","IV","BADBADNOTGOOD,Charlotte Day Wilson",2016-07-08,247054,60,spotify:user:seankmchenry,2022-06-03T16:39:50Z,"alternative hip hop,canadian modern jazz,escape room,hip hop,indie soul,alternative r&b,canadian contemporary r&b,indie r&b,neo soul",0.488,0.528,0,-5.952,0,0.0298,0.457,0.000792,0.108,0.438,79.765,4
6Uk4GRLxNEEPVdtf9wVGuV,"4fzvVNeEl8zjOUzHmo7U8n","Old Tunes No. 2","New Day","Bob Siebert",1991-01-01,305973,1,spotify:user:seankmchenry,2022-06-03T16:40:04Z,"",0.224,0.106,7,-30.091,1,0.0301,0.896,0.453,0.111,0.183,145.891,4
1co3BIYWlzpeLQrGuEFT97,"4fzvVNeEl8zjOUzHmo7U8n","Rain","New Day","Bob Siebert",1991-01-01,361600,2,spotify:user:seankmchenry,2022-06-03T16:40:04Z,"",0.246,0.0341,2,-33.233,0,0.0332,0.966,0.958,0.0753,0.103,112.797,4
5bGfIHxqEESJVMsGVGP5ts,"2xiHxT5QkkxHVhljrRGbW9","Shakedown","Nocturnal","Four80East",2001-01-23,304413,32,spotify:user:seankmchenry,2022-06-03T16:40:16Z,"smooth jazz",0.588,0.614,2,-11.782,0,0.0433,0.208,0.836,0.115,0.367,172.094,4
4SQW0GdITTfDaIk58DKm85,"2xiHxT5QkkxHVhljrRGbW9","Bumper to Bumper","Nocturnal","Four80East",2001-01-23,238533,37,spotify:user:seankmchenry,2022-06-03T16:40:16Z,"smooth jazz",0.74,0.614,4,-11.269,0,0.044,0.791,0.881,0.228,0.562,100.043,4
604MpCNSAm4L1JYoF62N3g,"690Ga2On7ndvWPZJ4LUGrr","Opening Nights","Opening Night","Kevin Eubanks",1985-01-01,242333,15,spotify:user:seankmchenry,2022-06-03T16:40:25Z,"jazz guitar",0.454,0.504,5,-16.291,1,0.0662,0.211,0.0598,0.144,0.587,94.703,3
104QjseZymVCigwIg9tdPD,"690Ga2On7ndvWPZJ4LUGrr","Shades Of Black","Opening Night","Kevin Eubanks",1985-01-01,303893,3,spotify:user:seankmchenry,2022-06-03T16:40:25Z,"jazz guitar",0.483,0.299,0,-21.12,1,0.0631,0.889,0.8,0.0977,0.578,132.104,4
7mNV6DQo3Pkvw305WQs9XV,"7aRi9OzdA2ciputfuguaPK","Sleepwalk","Sleepwalk","Larry Carlton",1982,275226,42,spotify:user:seankmchenry,2022-06-03T16:40:27Z,"jazz fusion,jazz guitar,smooth jazz",0.578,0.254,5,-14.193,1,0.0276,0.798,0.966,0.0814,0.18,66.642,4
