Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7CrNF9zL7tIQ2269DVxzST,"4iRZAbYvBqnxrbs6K25aJ7","Blue Rondo à la Turk","Time Out","The Dave Brubeck Quartet",1959-12-14,403640,51,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.588,0.4,7,-11.914,0,0.036,0.851,0.352,0.11,0.468,113.615,4
6HvyFdP5JrCQdmxq2qi7MC,"4iRZAbYvBqnxrbs6K25aJ7","Strange Meadow Lark","Time Out","The Dave Brubeck Quartet",1959-12-14,442226,46,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.53,0.143,8,-17.471,1,0.0423,0.958,0.497,0.278,0.119,125.464,4
1YQWosTIljIvxAgHWTp7KP,"4iRZAbYvBqnxrbs6K25aJ7","Take Five","Time Out","The Dave Brubeck Quartet",1959-12-14,324133,68,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,5
3k5O0RKO6zEqu9JJ7JqxDX,"4iRZAbYvBqnxrbs6K25aJ7","Three to Get Ready","Time Out","The Dave Brubeck Quartet",1959-12-14,323866,44,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.453,0.193,0,-17.582,1,0.0461,0.861,0.466,0.156,0.686,178.795,3
3XfaSRXfGuWT1rrn9lWx30,"4iRZAbYvBqnxrbs6K25aJ7","Kathy's Waltz","Time Out","The Dave Brubeck Quartet",1959-12-14,287840,47,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.484,0.151,0,-18.622,0,0.0378,0.88,0.178,0.115,0.399,94.587,4
0r3ZObqOhirTkBCr8f4L9q,"4iRZAbYvBqnxrbs6K25aJ7","Everybody's Jumpin'","Time Out","The Dave Brubeck Quartet",1959-12-14,262733,40,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.635,0.228,10,-16.98,0,0.0516,0.903,0.58,0.143,0.349,149.692,4
0XugQpP1aeQwpdGKHpjcci,"4iRZAbYvBqnxrbs6K25aJ7","Pick up Sticks","Time Out","The Dave Brubeck Quartet",1959-12-14,256466,40,spotify:user:seankmchenry,2023-01-03T14:35:50Z,"bebop,jazz,jazz quartet",0.516,0.306,5,-15.786,0,0.0356,0.81,0.305,0.178,0.496,138.777,3
0T3D4VoP2LSP1TemQBX7qV,"3VEG6gxFIMfl4Cdog26avS","Come Rain Or Come Shine","Portrait In Jazz","Bill Evans Trio",1960,199733,32,spotify:user:seankmchenry,2023-01-03T14:38:17Z,"bebop,jazz,jazz fusion,jazz trio",0.482,0.181,0,-14.647,1,0.032,0.954,0.761,0.0973,0.164,87.409,4
6Mh2Ieqmav2dtir0O8MB9L,"3VEG6gxFIMfl4Cdog26avS","Autumn Leaves - Album Version - (Take 1)","Portrait In Jazz","Bill Evans Trio",1960,356960,33,spotify:user:seankmchenry,2023-01-03T14:38:17Z,"bebop,jazz,jazz fusion,jazz trio",0.626,0.295,7,-13.651,0,0.037,0.919,0.695,0.0797,0.579,103.064,4
0FxrRWZPY9DHymBIrGSJMQ,"3VEG6gxFIMfl4Cdog26avS","Autumn Leaves - Album Version - (take 2 bonus track)","Portrait In Jazz","Bill Evans Trio",1960,321960,29,spotify:user:seankmchenry,2023-01-03T14:38:17Z,"bebop,jazz,jazz fusion,jazz trio",0.542,0.263,0,-16.209,0,0.0376,0.822,0.236,0.0699,0.546,102.347,4
