Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6w7Msb6AfJQz4iIyis9H7G,"32vWCbZh0xZ4o9gkz4PsEU,4tw2Lmn9tTPUv7Gy7mVPI4","I Believe In Santa Claus","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,208413,55,spotify:user:seankmchenry,2022-12-08T17:25:46Z,"classic country pop,country,country dawn,adult standards,mellow gold,nashville sound,soft rock",0.599,0.714,9,-8.754,1,0.03,0.0974,0,0.104,0.726,104.593,4
183egccUAzP1fEFSy2TSZQ,"32vWCbZh0xZ4o9gkz4PsEU","Medley: Winter Wonderland / Sleigh Ride","Once Upon A Christmas","Dolly Parton",1984-10-29,221373,61,spotify:user:seankmchenry,2022-12-08T17:25:46Z,"classic country pop,country,country dawn",0.626,0.499,1,-11.009,1,0.0343,0.394,0,0.0602,0.322,120.318,4
0ZounOqmebSeEuMHwXtR04,"32vWCbZh0xZ4o9gkz4PsEU,4tw2Lmn9tTPUv7Gy7mVPI4","Christmas Without You","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,231213,51,spotify:user:seankmchenry,2022-12-08T17:25:46Z,"classic country pop,country,country dawn,adult standards,mellow gold,nashville sound,soft rock",0.672,0.706,5,-9.317,0,0.0415,0.499,0,0.304,0.707,118.874,4
2TBBZNf7Zq8QXWVp8E9Ip5,"32vWCbZh0xZ4o9gkz4PsEU,4tw2Lmn9tTPUv7Gy7mVPI4","A Christmas to Remember","Once Upon A Christmas","Dolly Parton,Kenny Rogers",1984-10-29,218973,52,spotify:user:seankmchenry,2022-12-08T17:25:46Z,"classic country pop,country,country dawn,adult standards,mellow gold,nashville sound,soft rock",0.64,0.549,4,-10.777,1,0.0664,0.685,0,0.0683,0.544,102.597,4
3Bvzxos6OqXt2ysKD2RQeB,"2FMZn5P3WATd7Il6FgPJNu","Santa Looked A Lot Like Daddy (Daddy Looked A Lot Like Him)","Christmas With Buck Owens","Buck Owens",1990-08-27,135573,44,spotify:user:seankmchenry,2022-12-08T17:25:41Z,"bakersfield sound,country,country rock,cowboy western",0.699,0.672,8,-10.149,1,0.0379,0.332,0,0.191,0.984,162.705,4
6F9X2U6LjWVaQwBWhPznmK,"2FMZn5P3WATd7Il6FgPJNu","Blue Christmas Lights","Christmas With Buck Owens","Buck Owens",1990-08-27,162866,29,spotify:user:seankmchenry,2022-12-08T17:25:41Z,"bakersfield sound,country,country rock,cowboy western",0.469,0.216,7,-12.724,1,0.0295,0.612,0.000225,0.331,0.543,88.512,4
1ViMb5GTN4nOlDStz6k8uQ,"2FMZn5P3WATd7Il6FgPJNu","Jingle Bells","Christmas With Buck Owens","Buck Owens",1990-08-27,135200,26,spotify:user:seankmchenry,2022-12-08T17:25:41Z,"bakersfield sound,country,country rock,cowboy western",0.585,0.884,8,-8.048,1,0.0444,0.411,0.905,0.0656,0.961,167.671,4
5QexwNJj98Tua3Jc1N2und,"2FMZn5P3WATd7Il6FgPJNu","Christmas Time's A-Comin'","Christmas With Buck Owens","Buck Owens",1990-08-27,111666,31,spotify:user:seankmchenry,2022-12-08T17:25:41Z,"bakersfield sound,country,country rock,cowboy western",0.63,0.596,3,-10.543,1,0.0378,0.369,0.000178,0.126,0.958,172.734,4
6LXrSVc68D9KKYb5fvxaK9,"2ptmyXoL7poH6Zq62h1QT9","If We Make It Through December","Merle Haggard's Christmas Present","Merle Haggard",1973-11-01,172973,48,spotify:user:seankmchenry,2022-12-08T17:27:21Z,"bakersfield sound,country,country rock,nashville sound,outlaw country",0.662,0.422,0,-9.351,1,0.0252,0.589,0.0000154,0.355,0.758,89.685,4
097fEDZkj7RNh5DrtISz61,"2ptmyXoL7poH6Zq62h1QT9","Santa Claus And Popcorn","Merle Haggard's Christmas Present","Merle Haggard",1973-11-01,133760,36,spotify:user:seankmchenry,2022-12-08T17:27:34Z,"bakersfield sound,country,country rock,nashville sound,outlaw country",0.462,0.375,10,-12.397,1,0.0657,0.859,0,0.164,0.59,96.91,4
