Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4hiNXRP0MUIl6wdEMAnazO,"3pSfwb3p6BVPTYDkNdgxS2","Magic--Pearl","Sights & Sounds","Arbour",2018-02-23,200856,40,spotify:user:seankmchenry,2022-06-03T15:34:55Z,"chillhop,lo-fi beats",0.335,0.275,0,-12.984,1,0.0403,0.812,0.766,0.103,0.0634,152.609,4
4grVBrnJO9x7rzFnPmJk79,"3pSfwb3p6BVPTYDkNdgxS2","Red","Sights & Sounds","Arbour",2018-02-23,137227,39,spotify:user:seankmchenry,2022-06-03T15:34:55Z,"chillhop,lo-fi beats",0.596,0.202,3,-14.018,0,0.0709,0.875,0.913,0.0974,0.43,77.086,4
1HR8ZmNAvhSNVMFgkrLrL4,"3pSfwb3p6BVPTYDkNdgxS2","You Might Feel This, Too","Sights & Sounds","Arbour",2018-02-23,142614,25,spotify:user:seankmchenry,2022-06-03T15:34:55Z,"chillhop,lo-fi beats",0.394,0.366,6,-13.829,1,0.0375,0.92,0.938,0.113,0.241,82.367,4
0HvykDflKMO8rGPCryLAVq,"5FsfZj0Mp6YwEWytuJUcWt","Green","In Flight","Jinsang",2018-11-09,79514,28,spotify:user:seankmchenry,2022-06-03T15:35:44Z,"chillhop,japanese chillhop,korean r&b,lo-fi beats",0.783,0.691,5,-10.022,0,0.166,0.0747,0.937,0.0998,0.635,151.997,4
7GqEqVpxkyUIbNE8dI4CRr,"5FsfZj0Mp6YwEWytuJUcWt","Clouds","In Flight","Jinsang",2018-11-09,167220,35,spotify:user:seankmchenry,2022-06-03T15:35:44Z,"chillhop,japanese chillhop,korean r&b,lo-fi beats",0.825,0.331,0,-10.685,1,0.106,0.885,0.913,0.109,0.542,88.03,4
1wxmExsR58yuIfnnotfHeH,"2Gq799yTibgF2YWweyB16G","Sun","Staring Through","kudo",2020-07-23,155980,46,spotify:user:seankmchenry,2022-06-03T15:35:52Z,"",0.573,0.168,8,-20.34,0,0.0328,0.908,0.914,0.319,0.137,75.005,4
4ScvtFqu1KhORMtqrCgzMO,"2Gq799yTibgF2YWweyB16G","Cold","Staring Through","kudo",2020-07-23,135886,47,spotify:user:seankmchenry,2022-06-03T15:35:52Z,"",0.557,0.1,10,-26.646,1,0.032,0.945,0.908,0.0944,0.121,137.96,4
5MsLPm8zRwFGXRGZle4HLD,"2Gq799yTibgF2YWweyB16G","Bodies","Staring Through","kudo",2020-07-23,153000,48,spotify:user:seankmchenry,2022-06-03T15:35:52Z,"",0.588,0.28,7,-22.717,0,0.036,0.978,0.868,0.0987,0.144,113.981,4
33Pg8SBFEv7ReUQsAEJN82,"0pBnxeB4QkiESiPVV4riPQ,2l5ZGbhMgK4bXV5kMdMFge","Who's Gold, Who's Gold Plated?","Lord & Dego","Lord,Dego",2000,184419,10,spotify:user:seankmchenry,2022-06-03T15:35:59Z,"broken beat,indie jazz,uk contemporary jazz",0.781,0.515,6,-12.526,1,0.0401,0.622,0.843,0.0916,0.843,112.015,4
2scBavPfAb2sVgc4Fk18U5,"0pBnxeB4QkiESiPVV4riPQ,2l5ZGbhMgK4bXV5kMdMFge","Keep to the Left","Lord & Dego","Lord,Dego",2000,190048,11,spotify:user:seankmchenry,2022-06-03T15:35:59Z,"broken beat,indie jazz,uk contemporary jazz",0.764,0.698,1,-11.322,1,0.0465,0.023,0.596,0.0917,0.474,102.994,4
0rDOLKSCu58VooN5P3kt4B,"0pBnxeB4QkiESiPVV4riPQ,2l5ZGbhMgK4bXV5kMdMFge","Guess Who's Smoking","Lord & Dego","Lord,Dego",2000,108605,15,spotify:user:seankmchenry,2022-06-03T15:35:59Z,"broken beat,indie jazz,uk contemporary jazz",0.857,0.4,5,-14.366,1,0.0603,0.172,0.871,0.107,0.934,104,4
2SoHpATitixVdv2S90Dvmo,"2sAlo7Fey5cqBk5WJILSd8","Like The Seasons","Chinoiseries Pt.3","Onra",2017-03-10,82441,43,spotify:user:seankmchenry,2022-06-03T15:37:30Z,"japanese chillhop,wonky",0.444,0.565,11,-10.263,1,0.102,0.534,0.325,0.167,0.44,179.588,5
3bKmTDB7cUoYoRdYoIvcoU,"2sAlo7Fey5cqBk5WJILSd8","Tea Vender On the Street","Chinoiseries Pt.3","Onra",2017-03-10,148069,34,spotify:user:seankmchenry,2022-06-03T15:37:30Z,"japanese chillhop,wonky",0.371,0.516,1,-7.022,0,0.0588,0.00495,0.886,0.275,0.212,75.341,4
5AosSghASnvzmaRyUfxiE8,"2sAlo7Fey5cqBk5WJILSd8","Secretly","Nobody Has To Know","Onra",2018-02-16,188385,28,spotify:user:seankmchenry,2022-06-03T15:37:46Z,"japanese chillhop,wonky",0.508,0.684,8,-8.411,1,0.11,0.0022,0.233,0.404,0.348,159.927,4
0FjkWLTzBfJMCQYzetYZXH,"2sAlo7Fey5cqBk5WJILSd8","Let Me Fantasize","Nobody Has To Know","Onra",2018-02-16,187700,24,spotify:user:seankmchenry,2022-06-03T15:37:46Z,"japanese chillhop,wonky",0.655,0.698,0,-8.257,1,0.155,0.0558,0.0000515,0.554,0.523,94.912,4
28JOvO5gfV30gomKDA5PRZ,"2GTGi2RC8sajDRwBXKpWYg","Sharkruiser","Tell LP","Tell",2018-04-10,233114,12,spotify:user:seankmchenry,2022-06-03T15:38:42Z,"disco house,float house",0.85,0.515,9,-9.833,0,0.117,0.234,0.862,0.918,0.0951,99.998,4
7rwlyxL15S29R8DZTCppny,"2GTGi2RC8sajDRwBXKpWYg","I Remember","Tell LP","Tell",2018-04-10,346890,21,spotify:user:seankmchenry,2022-06-03T15:38:42Z,"disco house,float house",0.806,0.52,6,-8.968,0,0.0537,0.563,0.666,0.0807,0.214,119.021,4
