Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2OxWcPuILO9GeUFeHay84b,"1d1D9Xk7ncEbTxOsOizhlZ","Midnight Sun","Random Factors","Dino Pacifici",2000-04-11,333333,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.332,0.444,2,-10.653,0,0.0288,0.433,0.925,0.333,0.156,110.742,5
4NSN46yIOk6SW1OTTXnLT0,"1d1D9Xk7ncEbTxOsOizhlZ","Northern Lights","Random Factors","Dino Pacifici",2000-04-11,406360,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.317,0.237,10,-10.82,1,0.0305,0.927,0.901,0.0954,0.04,73.376,3
0bLs7nz8ruMfpU7nO7B8Jt,"1d1D9Xk7ncEbTxOsOizhlZ","Oasis","Random Factors","Dino Pacifici",2000-04-11,341200,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.598,0.483,4,-8.275,1,0.0289,0.769,0.901,0.131,0.507,129.775,4
0I5xCU2Ouc6WsoaRj7lumR,"1d1D9Xk7ncEbTxOsOizhlZ","Southbound","Random Factors","Dino Pacifici",2000-04-11,315573,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.573,0.765,5,-8.007,1,0.0463,0.205,0.653,0.0917,0.961,173.719,4
78tGLPSRqXaTJ47eEnN7p9,"1d1D9Xk7ncEbTxOsOizhlZ","Dreamscape","Random Factors","Dino Pacifici",2000-04-11,349693,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.678,0.76,2,-9.705,1,0.0361,0.24,0.869,0.166,0.518,111.767,4
6K8cFGiAdyutUyF0HeExJ1,"1d1D9Xk7ncEbTxOsOizhlZ","Mantra","Random Factors","Dino Pacifici",2000-04-11,255466,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.596,0.542,2,-13.238,1,0.0345,0.0721,0.785,0.162,0.962,129.946,4
1e95GXmhzD3K5bM2f3SIRL,"1d1D9Xk7ncEbTxOsOizhlZ","Nocturnal Dance","Random Factors","Dino Pacifici",2000-04-11,538040,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.322,0.339,9,-15.677,0,0.0334,0.806,0.92,0.224,0.123,139.645,4
31QZ49bCu7yrz0QgqZWk95,"1d1D9Xk7ncEbTxOsOizhlZ","Odissey","Random Factors","Dino Pacifici",2000-04-11,219626,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.736,0.825,0,-8.774,1,0.0518,0.188,0.00999,0.216,0.744,88.73,4
75EE0hc4acDtKMK99JPAfP,"1d1D9Xk7ncEbTxOsOizhlZ","A Walk Through Paris Streets","Random Factors","Dino Pacifici",2000-04-11,229373,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.207,0.418,10,-9.838,1,0.0309,0.566,0.0181,0.166,0.316,81.997,4
0NbWb7WYqKhjRonY95sxiU,"1d1D9Xk7ncEbTxOsOizhlZ","Alexander's Adventures","Random Factors","Dino Pacifici",2000-04-11,468400,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.231,0.286,3,-12.137,0,0.0359,0.551,0.84,0.113,0.0393,115.391,3
2b6MeO7NHBCw0Q3xcfB7n7,"1d1D9Xk7ncEbTxOsOizhlZ","The Ice Fields of Neptune","Random Factors","Dino Pacifici",2000-04-11,304000,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.3,0.498,6,-14.405,0,0.143,0.0114,0.0000798,0.188,0.0633,139.351,4
4OdTpXK5L1HXbxJX1wBmcI,"1d1D9Xk7ncEbTxOsOizhlZ","Anajym","Random Factors","Dino Pacifici",2000-04-11,358693,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.62,0.416,11,-12.931,0,0.0583,0.668,0.805,0.0778,0.406,119.758,5
57KOVbjcyzExECAbtKplxm,"1d1D9Xk7ncEbTxOsOizhlZ","Random Factors","Random Factors","Dino Pacifici",2000-04-11,297040,0,spotify:user:seankmchenry,2022-12-19T15:27:54Z,"",0.344,0.425,5,-20.433,1,0.0596,0.463,0.0204,0.321,0.207,147.649,4
2oxQFyGW5Q1pToUwlkE5Ox,"1d1D9Xk7ncEbTxOsOizhlZ","Mirage","The Blue Velvet Louge","Dino Pacifici",2004-11-09,398026,1,spotify:user:seankmchenry,2022-12-19T15:28:44Z,"",0.602,0.33,4,-13.707,0,0.0389,0.404,0.111,0.0875,0.149,84.559,4
6bO2ROLdE3L2ys33jCvFP0,"1d1D9Xk7ncEbTxOsOizhlZ","Itzabout","The Blue Velvet Louge","Dino Pacifici",2004-11-09,400706,0,spotify:user:seankmchenry,2022-12-19T15:28:44Z,"",0.598,0.412,0,-11.071,1,0.0317,0.393,0.806,0.084,0.547,91.991,4
4lgnnync5as9d7v8WZpm4f,"1d1D9Xk7ncEbTxOsOizhlZ","Voices in My Head","The Blue Velvet Louge","Dino Pacifici",2004-11-09,298026,1,spotify:user:seankmchenry,2022-12-19T15:28:44Z,"",0.586,0.525,11,-10.51,0,0.039,0.104,0.83,0.114,0.665,159.776,4
