Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0VCWi4FUOumziLknRtcDcy,"6kNluNBHa4sh5BKIvyiDgf","Comme ça","Comme ça","Domenique Dumont",2015-06-22,227156,29,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.666,0.565,0,-13.239,0,0.0649,0.86,0.903,0.075,0.967,175.985,4
5xL4h9S63foL8A1OQh7blz,"6kNluNBHa4sh5BKIvyiDgf","L'esprit de l'escalier","Comme ça","Domenique Dumont",2015-06-22,342586,28,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.501,0.624,1,-9.856,1,0.0916,0.0855,0.906,0.203,0.702,93.791,4
5WC1Jsjxe8JIz9oV2nrER8,"6kNluNBHa4sh5BKIvyiDgf","La basse et les shakers","Comme ça","Domenique Dumont",2015-06-22,255941,24,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.795,0.798,8,-9.3,0,0.0542,0.569,0.899,0.0673,0.962,122.007,4
2omGoFhKYpEnPZzmMgpNg2,"6kNluNBHa4sh5BKIvyiDgf","Un jour avec Yusef","Comme ça","Domenique Dumont",2015-06-22,239651,27,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.762,0.32,2,-14.534,1,0.0468,0.938,0.937,0.0791,0.766,135.065,4
3VacPQVR4zoZAsK1WKo68d,"6kNluNBHa4sh5BKIvyiDgf","La bataille de neige","Comme ça","Domenique Dumont",2015-06-22,234558,35,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.9,0.513,9,-14.449,0,0.0484,0.984,0.95,0.281,0.968,132.927,4
5JPlGsRGCUyFvWzAE0n7Ch,"6kNluNBHa4sh5BKIvyiDgf","Le château de corail","Comme ça","Domenique Dumont",2015-06-22,245418,34,spotify:user:seankmchenry,2022-06-03T13:33:48Z,"fluxwork",0.533,0.398,5,-11.354,1,0.0319,0.966,0.881,0.153,0.146,109.95,4
0ukwL1AUmE8BCdYgnKxtSh,"6kNluNBHa4sh5BKIvyiDgf","Le début de la fin","Miniatures de auto rhythm","Domenique Dumont",2018-10-01,287509,38,spotify:user:seankmchenry,2022-06-03T13:33:50Z,"fluxwork",0.541,0.815,7,-7.355,0,0.0583,0.266,0.846,0.0672,0.807,180.074,4
0T2FfPqI00fWrciXkzJmiR,"6kNluNBHa4sh5BKIvyiDgf","Quasi quasi","Miniatures de auto rhythm","Domenique Dumont",2018-10-01,250370,27,spotify:user:seankmchenry,2022-06-03T13:33:50Z,"fluxwork",0.772,0.576,2,-8.754,0,0.121,0.763,0.764,0.0858,0.883,162,4
7KvVIORJJStrkmynVw2Y8r,"6kNluNBHa4sh5BKIvyiDgf","Faux savage","Miniatures de auto rhythm","Domenique Dumont",2018-10-01,143617,43,spotify:user:seankmchenry,2022-06-03T13:33:50Z,"fluxwork",0.744,0.672,11,-9.914,0,0.0408,0.533,0.479,0.168,0.908,93.991,4
5FNR7DtBHTdLCLsDF0y3kH,"6kNluNBHa4sh5BKIvyiDgf","Ono mambo haiku","Miniatures de auto rhythm","Domenique Dumont",2018-10-01,195000,31,spotify:user:seankmchenry,2022-06-03T13:33:50Z,"fluxwork",0.833,0.231,7,-11.424,0,0.164,0.936,0.856,0.101,0.921,101.018,4
