Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6bzwsAtj4TqaBysLDrGiO3,"0S1SjYebdSaiMpI8xSW2Wb","I.G.Y.","The Nightfly","Donald Fagen",1982-10-29,363413,55,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.834,0.559,8,-9.366,0,0.0603,0.614,0.00434,0.0839,0.874,119.422,4
34fWcazka5WAgvsPg1ZKXU,"0S1SjYebdSaiMpI8xSW2Wb","Green Flower Street","The Nightfly","Donald Fagen",1982-10-29,222493,39,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.784,0.32,9,-17.4,0,0.0435,0.41,0.000703,0.0368,0.876,122.279,4
72mx4tVoM7knI9D20trABp,"0S1SjYebdSaiMpI8xSW2Wb","Ruby Baby","The Nightfly","Donald Fagen",1982-10-29,339066,40,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.787,0.291,10,-17.272,1,0.0397,0.392,0.00166,0.0927,0.813,120.007,4
7fW59TD8pQRSobXp3BslSd,"0S1SjYebdSaiMpI8xSW2Wb","Maxine","The Nightfly","Donald Fagen",1982-10-29,229733,39,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.62,0.285,9,-17.394,0,0.0366,0.617,0.0000351,0.137,0.141,174.615,3
2HyrLPJTZ4qDpWJ6qnu0Ke,"0S1SjYebdSaiMpI8xSW2Wb","New Frontier","The Nightfly","Donald Fagen",1982-10-29,381106,46,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.772,0.679,9,-10.47,1,0.0421,0.473,0.0215,0.165,0.886,123.597,4
7icC0mHYpROmIRhpa2DaFC,"0S1SjYebdSaiMpI8xSW2Wb","The Nightfly","The Nightfly","Donald Fagen",1982-10-29,347333,45,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.832,0.509,7,-8.918,1,0.0306,0.34,0.000793,0.15,0.844,105.986,4
3jAqtv3axuQ4lYz7v5h9MW,"0S1SjYebdSaiMpI8xSW2Wb","The Goodbye Look","The Nightfly","Donald Fagen",1982-10-29,290306,38,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.808,0.454,9,-19.328,0,0.0525,0.441,0.00146,0.0751,0.851,106.928,4
0bGUHUjU8IZxH2NugIjTX9,"0S1SjYebdSaiMpI8xSW2Wb","Walk Between Raindrops","The Nightfly","Donald Fagen",1982-10-29,158773,44,spotify:user:seankmchenry,2022-06-07T19:21:19Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.843,0.492,2,-16.364,0,0.0899,0.556,0.0000543,0.0994,0.943,145.438,4
47k3zRepwe5AziS9exh2MF,"0S1SjYebdSaiMpI8xSW2Wb","Trans-Island Skyway","Kamakiriad","Donald Fagen",1993-05-25,390106,32,spotify:user:seankmchenry,2022-06-07T19:21:21Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.768,0.372,7,-15.826,1,0.0515,0.0469,0.00103,0.0645,0.415,102.944,4
4Owvpam5dTTe2TtaToCJzt,"0S1SjYebdSaiMpI8xSW2Wb","Countermoon","Kamakiriad","Donald Fagen",1993-05-25,305626,29,spotify:user:seankmchenry,2022-06-07T19:21:21Z,"folk rock,mellow gold,soft rock,sophisti-pop,yacht rock",0.805,0.41,7,-13.464,1,0.0546,0.0942,0.00784,0.319,0.676,93.938,4
