Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5u6vkDnOyaf8LsteDAj2ub,"Ghostface Killers (feat. Travis Scott)","Without Warning","21 Savage,Offset,Metro Boomin,Travis Scott",2017-10-30,268933,67,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,rap,pop rap,trap,slap house","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",0.782,0.435,2,-7.033,1,0.156,0.333,0.0000131,0.342,0.242,82.996,4
1nX9KhK3Fff27SnrIor2Yb,"4 AM","Pretty Girls Like Trap Music","2 Chainz,Travis Scott",2017-06-16,255560,58,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,slap house","2Chainz PS/Def Jam",0.796,0.5,6,-7.21,0,0.423,0.121,0,0.155,0.227,75.012,4
6H0AwSQ20mo62jGlPGB8S6,"It's A Vibe","Pretty Girls Like Trap Music","2 Chainz,Ty Dolla $ign,Trey Songz,Jhené Aiko",2017-06-16,210200,63,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,r&b,trap soul,dance pop,urban contemporary","2Chainz PS/Def Jam",0.82,0.502,7,-7.38,1,0.151,0.0312,0.000884,0.114,0.527,73.04,4
482W3KYP7Uc4G4Pslnw94y,"Cake","88glam","88GLAM",2017-11-07,211862,0,seankmchenry,2023-09-05T13:42:13Z,"canadian hip hop,canadian trap,melodic rap","88GLAM",0.775,0.539,5,-4.303,1,0.0881,0.372,0.00000811,0.225,0.624,144.966,4
57zEbGuOa9Skogmm0WdOzM,"Love N Hennessy","ON GAZ","A.CHAL",2017-06-02,207800,0,seankmchenry,2023-09-05T13:42:13Z,"canadian hip hop,trap soul","GAZI World / EMPIRE",0.931,0.306,8,-9.979,0,0.453,0.0128,0.00000859,0.0708,0.457,140.039,4
1f5cbQtDrykjarZVrShaDI,"Drowning (feat. Kodak Black)","The Bigger Artist","A Boogie Wit da Hoodie,Kodak Black",2017-09-29,209269,74,seankmchenry,2023-09-05T13:42:13Z,"melodic rap,rap,trap,florida drill,florida rap,miami hip hop,trap latino","Highbridge The Label",0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,4
3AMnOVxEHUgVrythGgqPhI,"Say A'","The Bigger Artist","A Boogie Wit da Hoodie",2017-09-29,214853,52,seankmchenry,2023-09-05T13:42:13Z,"melodic rap,rap,trap","Highbridge The Label",0.831,0.814,5,-5.18,1,0.474,0.391,0,0.109,0.846,161.041,4
6gpcs5eMhJwax4mIfKDYQk,"Slide (feat. Frank Ocean & Migos)","Slide (feat. Frank Ocean & Migos)","Calvin Harris,Frank Ocean,Migos",2017-02-24,230813,67,seankmchenry,2023-09-05T13:42:13Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,lgbtq+ hip hop,neo soul,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap","Columbia",0.736,0.795,1,-3.299,0,0.0545,0.498,0.00000121,0.254,0.511,104.066,4
7gUJOQJyOKNfV6pOMYTvPq,"California","Plug Talk","Colonel Loud,T.I.,Young Dolph,Ricco Barrino",2015-08-18,281902,29,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,memphis hip hop,tennessee hip hop","Derty North Ent / EMPIRE",0.796,0.799,7,-5.443,1,0.192,0.0858,0,0.104,0.538,96.477,4
2ajhenDRiiAnCHHjsIOHhJ,"Laffy Taffy","Down for Life","D4L",2005-11-08,224253,64,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,crunk,dirty south rap,old school atlanta hip hop,southern hip hop","Atlantic Records/Asylum",0.891,0.439,7,-7.994,0,0.428,0.0351,0,0.0932,0.622,77.499,4
3rOSwuTsUlJp0Pu0MkN8r8,"Mask Off","FUTURE","Future",2017-08-04,204600,49,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Epic/Freebandz/A1",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
2Nfd2ITp4WkI1aoZlYpZwg,"I'm so Groovy","FUTURE","Future",2017-06-30,261751,52,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Epic/Freebandz/A1",0.938,0.478,1,-9.739,1,0.265,0.0418,0.00884,0.0801,0.386,138.059,4
1HTtUBEY3tuw2btgwwI2Ja,"I Get The Bag (feat. Migos)","I Get The Bag (feat. Migos)","Gucci Mane,Migos",2017-08-17,233087,0,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap","Guwop Enterprises/Atlantic",0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,4
6vzpMhcj9LQiGk7MrXEKDG,"Ain't Trippin","G-Worthy","G-Worthy,Jay Worthy,G Perico,Cardo Got Wings",2017-09-29,187349,0,seankmchenry,2023-09-05T13:42:13Z,"west coast trap,drumless hip hop,cali rap","Fool’s Gold Records",0.892,0.645,1,-8.159,1,0.341,0.024,0,0.0733,0.699,92.505,4
6l1quFIrdOWdvQk4jBrMNz,"100K (feat. Jay Worthy)","100K (feat. Jay Worthy)","Jaykin,Jay Worthy",2017-11-13,186923,1,seankmchenry,2023-09-05T13:42:13Z,"drumless hip hop","1995 is Major",0.626,0.817,2,-7.293,1,0.271,0.082,0,0.151,0.316,156.137,4
1B0VZU5x6XltU5qXpSSlwD,"On Sight","On Sight","Jay Worthy,Larry June",2016-12-19,223477,17,seankmchenry,2023-09-05T13:42:13Z,"drumless hip hop,cali rap","GDF Records",0.865,0.972,9,-3.166,1,0.23,0.361,0,0.316,0.683,96.013,4
2pg2TiYo9Rb8KeB5JjP7jS,"Sativa","Trip","Jhené Aiko,Swae Lee",2017-09-22,276960,76,seankmchenry,2023-09-05T13:42:13Z,"r&b,melodic rap,rap,trap","Def Jam Recordings",0.741,0.61,6,-7.34,0,0.0511,0.316,0,0.534,0.72,125.99,4
6PGoSes0D9eUDeeAafB2As,"LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar,Zacari",2017-04-14,213400,80,seankmchenry,2023-09-05T13:42:13Z,"conscious hip hop,hip hop,rap,west coast rap","Aftermath",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,4
5075foWfaIxJZr3hGMopXO,"Deserve (feat. Travis Scott)","Deserve (feat. Travis Scott)","Kris Wu,Travis Scott",2017-10-12,182837,33,seankmchenry,2023-09-05T13:42:13Z,"chinese hip hop,chinese idol pop,rap,slap house","Ace Unit Culture Media Co., Limited",0.677,0.697,5,-5.63,0,0.0321,0.0198,0,0.144,0.61,134,4
1uL78kFWxhz3umTMWJu8n5,"Sauce It Up","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,207038,63,seankmchenry,2023-09-05T13:42:13Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap","Generation Now/Atlantic",0.813,0.528,6,-6.305,0,0.313,0.0715,0,0.125,0.131,79.532,4
7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,81,seankmchenry,2023-09-05T13:42:13Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
0DugmMK82sG3H5PTLyRZuZ,"Let Me Be the 1 (feat. Earl Swavey)","P On the DRGS","LNDN DRGS,Jay Worthy,A$ap P on the Boards,Earl Swavey",2017-01-18,159277,16,seankmchenry,2023-09-05T13:42:13Z,"drumless hip hop","GDF Records / EMPIRE",0.697,0.87,6,-5.721,1,0.311,0.452,0,0.333,0.814,91.052,4
7KOlJ92bu51cltsD9KU5I7,"T-Shirt","Culture","Migos",2017-04-07,242407,1,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap","Quality Control Music",0.865,0.687,10,-3.744,0,0.217,0.242,0,0.158,0.486,139.023,4
4Km5HrUvYTaSUfiSGPJeQR,"Bad and Boujee (feat. Lil Uzi Vert)","Culture","Migos,Lil Uzi Vert",2017-04-07,343150,2,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,melodic rap,philly rap,rage rap","Quality Control Music",0.926,0.666,11,-5.314,1,0.244,0.0611,0,0.123,0.168,127.079,4
76Y0gxtTxN0FyDCYh5qYQj,"Get Right Witcha","Culture","Migos",2017-04-07,257545,1,seankmchenry,2023-09-05T13:42:13Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap","Quality Control Music",0.95,0.743,10,-5.861,0,0.238,0.0646,0.0000111,0.103,0.619,136.983,4
