Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5BlmwTse11hf0OyZ7XNmvu,"Out With Her","She Was Only A Grocer's Daughter","The Blow Monkeys",1987,287226,9,seankmchenry,2022-11-14T20:39:07Z,"new romantic,new wave pop,sophisti-pop","RCA Camden",0.659,0.51,7,-8.94,1,0.031,0.358,0,0.112,0.562,87.422,4
3di2SUB3jU1v5HPQCkc84L,"Slave To The Rhythm - Hot Blooded Version","Private Life: The Compass Point Sessions","Grace Jones",1998-01-01,498840,42,seankmchenry,2023-03-10T17:54:16Z,"art pop","Island Records",0.595,0.836,1,-6.917,1,0.0358,0.0603,0.0477,0.326,0.628,97.095,4
7CADQG2uly9KdXcNzQzj8W,"Stay In Tonight","Coastin'","Pink $ock",2020-12-04,252508,4,seankmchenry,2023-03-10T21:02:11Z,"bedroom soul","Squishy",0.617,0.784,9,-10.106,1,0.0314,0.333,0.0117,0.0562,0.681,89.987,4
4lB1q7qXzkvBIBfufGHE2x,"Du Bi True","Soulfood","Intersperse",2013-01-28,424500,4,seankmchenry,2023-03-26T17:51:03Z,"atmospheric dnb","Cookin Records",0.577,0.636,5,-9.589,0,0.0351,0.0105,0.879,0.102,0.371,99.997,4
3W0gpdnQj9p7GCkoBsiLNc,"City Heat","Cruise Control","Leon Lowman",2005-01-01,321306,0,seankmchenry,2023-03-26T17:51:21Z,"synth funk","Leon Lowman",0.788,0.47,0,-12.619,0,0.0392,0.0512,0.535,0.126,0.57,109.943,4
50bIoVClM0vhLvv2HGUtuK,"Girl From Cairo","Grape","Chayell",2021-07-15,340322,0,seankmchenry,2023-03-26T18:01:36Z,"","Micrart Group",0.614,0.882,10,-4.924,0,0.038,0.00015,0.244,0.0643,0.409,100.001,4
00yAXmoG9ejwPbx9El9hQ2,"Hundred Fingers Man","Onda","Black Spuma",2016-08-26,428642,1,seankmchenry,2023-03-26T18:21:59Z,"","International Feel Recordings",0.69,0.956,5,-8.217,1,0.0549,0.00713,0.937,0.145,0.559,200.011,4
4kE1CHgs9YldE2nsOceuMZ,"Small Stream","III","Lindstrøm,Prins Thomas",2020-11-20,347940,7,seankmchenry,2023-04-13T19:52:52Z,"balearic,electronica,norwegian space disco,nu disco","Smalltown Supersound",0.692,0.721,0,-14.856,0,0.048,0.263,0.878,0.0741,0.569,116.993,3
470KVgf6cmzNU7HKctVMjs,"Got to Get It","Haven't Stopped","Gonzales",1987,308114,7,seankmchenry,2023-04-13T19:53:34Z,"","Chilled World",0.688,0.724,4,-13.845,1,0.0284,0.124,0.846,0.0725,0.964,110.554,4
4SFm53MSwGyKWbzCNmWgAC,"Napoliterranea - ‎‎‏‏‎Original Mix","Morphé","Pellegrino,Zodyaco",2020-10-19,259200,25,seankmchenry,2023-04-13T19:54:19Z,"neapolitan funk","Early Sounds Recordings",0.583,0.813,7,-10.604,1,0.0779,0.503,0.814,0.109,0.884,200.004,4
30V9ii4tvBGtKMLLdS3vIE,"Bright Moments","Loveland","Lonnie Liston Smith",1978-03-01,401973,9,seankmchenry,2023-04-13T19:54:52Z,"jazz funk","Columbia/Legacy",0.521,0.977,11,-8.81,1,0.0588,0.047,0.815,0.0559,0.625,119.279,4
0UcnSC6Pe7RsAYz9SbUkOY,"Messages From The Stars - Instrumental Mix","Messages From The Stars","The Vapor Caves",2023-06-27,254344,6,seankmchenry,2023-07-28T20:27:26Z,"","Star Creature Universal Vibrations",0.798,0.612,1,-8.288,1,0.05,0.214,0.602,0.118,0.865,105.989,4
6mXYxfIMhOibY5KfjAzOhJ,"Call Me","Hotline","Shook",2020-09-11,216006,4,seankmchenry,2023-07-30T13:42:58Z,"filter house,nu disco","Epicenter",0.773,0.914,10,-9.1,0,0.0616,0.417,0.756,0.0499,0.932,99.998,4
7z6JcguLPV1evWL2ACUe1c,"Sweet Somebody - Special Extended Version","Let the Music Play","Shannon",2006-01-01,355034,8,seankmchenry,2023-07-30T16:07:46Z,"freestyle,hi-nrg,minneapolis sound,post-disco","Mirage Records / Unidisc Music Inc.",0.733,0.744,10,-10.434,0,0.0487,0.0176,0.00956,0.0494,0.83,107.849,4
0Cp39XMzchWmZLidU6Tnt1,"Understand","Be with Me","Billy Griffin",2014-12-19,291146,8,seankmchenry,2023-09-07T00:27:57Z,"post-disco,post-disco soul,yacht rock","SMCMG",0.659,0.654,10,-12.448,0,0.0385,0.0853,0.0571,0.0977,0.556,96.189,4
