Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
38A1QF2ZIH5SV8GxrsXUUY,"5nri3hyKmKBGAfvjBi0mK0","Tree Of Life","MAKTUB","Satori",2017-10-20,202105,9,spotify:user:11129364172,2019-12-02T07:54:19Z,"ethnotronica,organic electronic,organic house",0.225,0.337,10,-15.674,1,0.039,0.908,0.738,0.108,0.119,109.021,4
1cotJPbhAMOdrGqwi4BBEL,"3k8BWRW5BWLewWbhSOImEf","Storm","American Eyes","Rare Silk",1985,324336,39,spotify:user:11129364172,2020-09-12T17:37:57Z,"",0.761,0.176,11,-16.804,1,0.0478,0.923,0.215,0.073,0.581,91.627,4
2Qtq6zVNB4BgkLJUrdHoYR,"6BuDxEE5rfuYeyhxQsl53K","Luxury Problems","Luxury Problems","Andy Stott",2012-10-29,303990,37,spotify:user:11129364172,2020-05-09T18:03:03Z,"ambient,art pop,deconstructed club,dub techno,electronica,escape room,experimental pop,float house,fluxwork,future garage,intelligent dance music,microhouse,minimal techno,outsider house,uk bass,wonky",0.769,0.53,7,-13.41,1,0.207,0.607,0.88,0.121,0.35,103.997,4
5qNUdnpg2b2Xj1ZCYFZxFr,"4uBSazM6snEc9wCG3jMlYt","Au Lait","Offramp","Pat Metheny Group",1982-05-03,508333,38,spotify:user:11129364172,2019-12-02T07:50:05Z,"ecm-style jazz,jazz,jazz fusion",0.456,0.0892,7,-25.164,0,0.0354,0.939,0.868,0.101,0.282,112.051,4
63JXZZRbmzooashakb0zbu,"4tZwfgrHOc3mvqYlEYSvVi","Nightvision","Discovery","Daft Punk",2001-03-12,104466,52,spotify:user:11129364172,2019-12-02T08:12:13Z,"electro,filter house",0.491,0.186,0,-29.512,1,0.0321,0.845,0.916,0.109,0.457,119.883,4
5PrmwfRJTvYy7DoTpOjL8s,"2Cvdhz7BUQbO4LxeBBQM8s","Canticle","The Sinner","Les Hommes",2017-04-07,191920,32,spotify:user:11129364172,2019-12-02T07:54:43Z,"nu jazz",0.636,0.496,2,-11.165,0,0.0325,0.861,0.91,0.107,0.128,102.957,4
50TAPBqpSoCMOJWjXO3e31,"2PKuYFJox3QviOZWKORuA2","Violet Morning Moon - Dr Dunks Remix","Violet Morning Moon","Bubble Club",2011-03-21,536034,13,spotify:user:11129364172,2020-03-22T13:43:12Z,"balearic",0.591,0.885,4,-5.763,1,0.047,0.00158,0.893,0.142,0.95,115.999,4
1EeLjoXVQgB5f1blGEUylT,"7fucM325lXZs0cfgV9dpS3","Fenyek","On The Shore","Eddie C",2016-09-23,220761,19,spotify:user:11129364172,2019-12-02T07:47:10Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco",0.614,0.527,2,-10.342,1,0.0339,0.141,0.64,0.0763,0.741,83.989,4
0DBVXpMaQfuCCNRKjdY9Pn,"6HFxqZ6WaTb7TQUhNsK25o","Little Creatures","Little Creatures EP","Jade Cicada",2019-09-23,192000,39,spotify:user:11129364172,2019-12-02T08:08:05Z,"experimental bass,glitch hop",0.592,0.577,2,-5.907,1,0.0281,0.23,0.736,0.457,0.0845,80.002,4
0uUzL6Z3WRw5ZhgZx4VD5K,"7laFKr0vZdtV9KNGfJ0Ird","Loverboy","Loverboy","Lomboy",2017-06-08,233500,0,spotify:user:11129364172,2019-12-02T07:47:51Z,"",0.531,0.814,3,-5.3,0,0.041,0.21,0.0000791,0.358,0.767,81.416,4
2iUGkN0SMYUSLYALYy8BtU,"3Y8YSxjIVlOScVMeBrjXTr","The Golden Eye","Orange Cloud Nine","Spike",2012-01-01,181558,3,spotify:user:11129364172,2019-12-02T08:03:51Z,"",0.607,0.493,10,-9.285,0,0.0355,0.438,0.914,0.0922,0.677,75.713,4
3BStCwZH85j2VFiJq4XLX5,"5rX2c1zow6hCph8PnnU3kF","The Gentle Rain - RJD2 Remix","The Very Best Of","Astrud Gilberto",2006-01-01,363506,0,spotify:user:11129364172,2019-12-02T08:07:17Z,"adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz",0.702,0.565,0,-9.82,0,0.0266,0.493,0.379,0.167,0.663,90.767,4
3wsa8RxDdAHNOw92d5KFNB,"3aHhWPX1ok1pjdYuPmv3W3","Makin' A Living","Late Night Tales: Groove Armada","African Dream",2008-03-10,344000,0,spotify:user:11129364172,2019-12-02T07:59:44Z,"",0.774,0.85,2,-7.498,0,0.0464,0.247,0.398,0.126,0.316,118.013,4
3PKl4GGVDvr6e2JHjHqz8N,"1KeIof0zqga5ojkmOKg88P","Tout Petit La Planète","The Sound Of Belgium Vol. 3","Plastic Bertrand",2016-11-25,498920,9,spotify:user:11129364172,2019-12-02T07:52:59Z,"classic belgian pop",0.657,0.707,9,-8.928,0,0.0245,0.228,0,0.273,0.614,113.266,4
6sLZmlIz35Igd2Itci5484,"2Jv5eshHtLycR6R8KQCdc4,5a0etAzO5V26gvlbmHzT9W","Sleeping Ute (Nicolas Jaar Remix)","Shields: B-Sides","Grizzly Bear,Nicolas Jaar",2013-11-11,469320,36,spotify:user:11129364172,2019-12-02T08:06:01Z,"alternative dance,alternative rock,art pop,baroque pop,brooklyn indie,chillwave,dream pop,experimental pop,indie pop,indie rock,modern rock,new weird america,stomp and holler,downtempo,electronica,microhouse",0.824,0.322,11,-17.294,0,0.0445,0.599,0.69,0.111,0.125,108,4
6GzHBYBA7Fzjc9O9aEsX21,"2xnHDBd7Q4xHom3YzcxbyT","Faith","Faith","Bloum",2014-06-09,265286,33,spotify:user:11129364172,2019-12-02T08:09:55Z,"french indietronica",0.735,0.578,9,-11.128,0,0.101,0.159,0.303,0.103,0.49,96,4
7Ly3LnAij1Y1xEmV64JnzS,"39zIRxvWFOGGH4hxGqRkLy","Abbas Ağa Parkı - Dub","Kökler","Baba Zula",2007-09-14,248853,1,spotify:user:11129364172,2019-12-02T08:07:47Z,"turkish folk,turkish jazz,turkish psych",0.651,0.593,7,-7.791,0,0.0527,0.174,0.48,0.101,0.188,80.567,4
4Gl3wJJPe16Ffd1VZ1Jusi,"4N2PiVgTuh2rxhc3HGVKAG","Seen","Broad Horizons EP","Marcus Worgull",2018-01-19,394583,6,spotify:user:11129364172,2019-12-02T08:10:15Z,"german house",0.786,0.684,0,-11.171,0,0.0508,0.000605,0.89,0.0758,0.296,122.012,4
7a4KOeyPMiDtQ8G1RFy3k4,"3cIXmCH7iNcslTbwrwS7zy","The Life Aquatic","The Life Aquatic","Moon Boots",2017-04-28,307804,21,spotify:user:11129364172,2019-12-02T08:08:24Z,"deep house,indie soul,nu disco",0.678,0.674,2,-8.401,0,0.0368,0.048,0.35,0.112,0.292,103.005,4
5xSyV1yRPjwaSFS8Yrx8mu,"3kxReOjCeEoZxRo80bAHFf","Head Nod Ish - Radio Mix","Head Nod Ish (Radio Mix)","Discotron",2018-12-14,229200,11,spotify:user:11129364172,2019-12-02T08:06:29Z,"deep house,disco house,soulful house,vocal house",0.616,0.907,4,-2.445,0,0.0655,0.0458,0.014,0.658,0.481,199.993,4
5sNjy41kQANS6ZRHhbTh77,"2yPveJtn9DpeN0CgNJHvAQ","Prepare","Alpe Lusia","Stimming",2016-04-29,376693,42,spotify:user:11129364172,2019-12-02T08:08:18Z,"deep euro house,electronica,german techno,hamburg electronic,microhouse,minimal tech house,minimal techno,organic house,tech house",0.58,0.472,0,-15.95,0,0.107,0.495,0.941,0.205,0.197,118.983,4
3rRk1f2L2WGwI2VF3kUPzb,"0uCCBpmg6MrPb1KY2msceF","Stolen Dog","Street Halo","Burial",2011-03-28,380842,29,spotify:user:11129364172,2019-12-02T08:05:41Z,"classic dubstep,electronica,hauntology,microhouse,uk bass,wonky",0.647,0.684,6,-13.368,0,0.096,0.613,0.913,0.636,0.493,115.659,4
