Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2mFC1DGwLeHRO1Ai5h35jA,"0L9xkvBPcEp1nrhDrodxc5","Dune Tune","Level 42","Level 42",1981-01-01,290040,15,spotify:user:seankmchenry,2019-01-03T20:51:13Z,"art rock,brit funk,dance rock,disco,mellow gold,new romantic,new wave,new wave pop,post-disco,soft rock,sophisti-pop,synthpop",0.575,0.325,9,-15.315,1,0.0462,0.387,0.904,0.0426,0.511,81.096,4
3KyuU54Ui0dTtCI2Xkfkrh,"4qzIpmopZ2KVodpmw7uJKe","Oasis","Correlations","Ashra",1979-01-01,226240,34,spotify:user:seankmchenry,2019-01-03T20:51:18Z,"ambient,art rock,berlin school,experimental,fourth world,krautrock,moog,space rock",0.699,0.153,2,-20.742,1,0.0332,0.948,0.774,0.111,0.605,108.656,4
3n5F0vIg7OxLovUNIQQsQk,"44Dw7QHrK9D47mADOHFpZB","Mikado","The Invisible Man","Michael Cretu",1985-01-01,194533,0,spotify:user:seankmchenry,2019-01-03T20:51:53Z,"italian disco",0.464,0.653,7,-15.193,0,0.0275,0.32,0.973,0.1,0.793,162.841,4
7jQfhpu7gehOavB1pslLvX,"6MHeRQZaHxcq1Hr09wgsJ0","Paris Roswell","Cités nomades","John Cravache",2016-12-05,259984,2,spotify:user:seankmchenry,2019-01-03T20:52:11Z,"",0.552,0.633,10,-10.547,1,0.0349,0.00906,0.16,0.0739,0.188,108.994,4
7M0jzisOwYbDprCBiB3lIM,"1C4zTmHRkm3XRJSex4vTiZ","So Many Ways - 7 Version","Respect","Billy Griffin",2014-12-19,235666,2,spotify:user:seankmchenry,2019-01-03T20:53:18Z,"post-disco,yacht rock",0.479,0.521,11,-9.833,1,0.0344,0.718,0.0272,0.366,0.584,79.655,4
5JR8HTsLChLCRKfOm9lY2D,"2U74OrAGvGPdV7JahJgtHS","Apartment #703","Mackey Feary & Nite Life","Mackey Feary",1983,240093,0,spotify:user:seankmchenry,2019-01-03T21:40:28Z,"",0.506,0.809,11,-8.834,0,0.0794,0.08,0.821,0.115,0.743,135.003,4
5MG0k3NRGaokxiziI9rlVI,"1f2e3RQf7LHOum8NU61q0R","When I'm Lovin You","Intimacy","Kem",2010-01-01,222626,20,spotify:user:seankmchenry,2019-01-03T21:40:29Z,"contemporary r&b,neo soul,quiet storm,r&b,soul,urban contemporary",0.761,0.552,10,-11.426,0,0.0609,0.336,0.776,0.383,0.825,90.006,4
309EYzrkxqVG2qo5wNW2pg,"3zWk05HzOm7nWIBkKCYmXN","El Naddaha","Call Of The Islands","Ìxtahuele",2016-11-11,166093,0,spotify:user:seankmchenry,2019-01-03T21:40:43Z,"exotica,lounge",0.374,0.346,8,-10.912,1,0.0315,0.942,0.748,0.112,0.292,178.082,4
0xJWKxlJ9jlvvcvxWBz2Cn,"0SgDfSfWqkZMW96aT2oQZ1","Moonhopper","Paul Hardcastle","Paul Hardcastle",1985-01-01,257600,0,spotify:user:seankmchenry,2019-01-03T21:41:01Z,"smooth jazz",0.74,0.804,7,-14.912,1,0.0651,0.000469,0.904,0.0579,0.906,108.644,4
2r0ceeJv2nOwv5ZFQoQnlW,"6zpPKMhpOoG646kJgZ7RKf","My Secret Garden","Balearic Pop","Johnny Hates Jazz",2012-04-27,199680,0,spotify:user:seankmchenry,2019-01-03T21:42:19Z,"mellow gold,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop",0.784,0.535,8,-9.973,1,0.0361,0.0339,0.447,0.0561,0.962,131.581,4
69W6NTkk0aEf5GtQOZjicl,"3aAUu37qACrKr6h9eQyNVj","Science Is Golden","Beautiful","The Reels",1982,161693,0,spotify:user:seankmchenry,2019-01-03T21:43:12Z,"australian rock",0.804,0.869,2,-4.824,1,0.0287,0.105,0.905,0.197,0.904,110.183,4
2vShiMDl3yNcSqPeiNW8rm,"3aAUu37qACrKr6h9eQyNVj","I Don't Love You Anymore","Reel To Reel: 1978 - 1992","The Reels",2007-09-15,245186,0,spotify:user:seankmchenry,2019-01-03T21:43:21Z,"australian rock",0.711,0.776,1,-6.712,1,0.0538,0.0794,0.0383,0.0338,0.969,102.092,4
0ldR2jGvLPFEbxzEOEzxE3,"7fucM325lXZs0cfgV9dpS3,2oIMdIn2XWOJTzjipBnRDf","Jam On Dallas Road (feat. Dr. Mike Roma)","Country City Country","Eddie C,Dr. Mike Roma",2013-03-18,340453,13,spotify:user:seankmchenry,2019-01-03T21:44:32Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco",0.848,0.663,11,-6.977,0,0.0753,0.514,0.863,0.167,0.864,97.994,4
58JFnAlFLK48X34hvNQspC,"4yBS8BzW44rAVa30FCX8GW","Big Hills","Lagoon Fool","Cale Parks",2015-05-18,242927,0,spotify:user:seankmchenry,2019-04-12T19:41:30Z,"ambient pop",0.574,0.813,0,-10.155,0,0.0326,0.000332,0.799,0.135,0.806,92.003,4
7iyUSxJQsIGIINS5fIFJge,"7MLfbEcpOpIkHzVyBYSB4L","Statues PF","Sandopolis","Hashman Deejay",2014-12-09,187280,0,spotify:user:seankmchenry,2019-01-03T21:56:30Z,"",0.549,0.624,1,-13.33,1,0.0576,0.178,0.93,0.0642,0.67,195.778,4
1TnJachvchrYLMwfZT6QaL,"1euau8ssjdvnUgvkc31k1D","Soft Fashion","Vision Of Estonia","Uku Kuut",2012-04-01,168360,30,spotify:user:seankmchenry,2019-01-03T21:57:54Z,"deep smooth jazz,synth funk",0.648,0.18,0,-22.867,1,0.244,0.88,0.635,0.112,0.742,99.797,4
0R7newiIDBkY14KTnoVXry,"2m62cc253Xvd9qYQ8d2X3d","Pipeline - Instrumental","Ammonia Avenue","The Alan Parsons Project",1984-02-07,237133,8,spotify:user:seankmchenry,2019-01-03T22:01:33Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.562,0.436,2,-17.515,0,0.0326,0.418,0.833,0.0775,0.682,171.309,4
4VzweaqBuc7LT6yluAt5Ol,"0DW7boyjvbaSP3OJ72sXgC","On the Border","Year of the Cat","Al Stewart",1976,202306,45,spotify:user:seankmchenry,2019-01-03T22:02:15Z,"album rock,art rock,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,progressive rock,singer-songwriter,soft rock,symphonic rock",0.5,0.664,6,-10.935,0,0.0332,0.0813,0.0000096,0.0804,0.62,98.058,4
1cCVQ6hgI4Gz1vd5pmeCoQ,"273A7R9wiZyELSDRw8HvIj","I'm so Satisfied","Am I Still Your Boyfriend?","Switch",1984-01-01,243560,9,spotify:user:seankmchenry,2019-01-03T22:02:54Z,"",0.634,0.562,10,-11.814,1,0.0322,0.241,0.00000406,0.0991,0.794,92.536,4
6Ashh7KWWDvvEzE0ad58dA,"6CCt1ZVDdcHMYkS3ylej9R","The Want - Original","Liquid Diamonds","Leon Lowman",2013,176593,14,spotify:user:seankmchenry,2019-01-03T22:04:22Z,"synth funk",0.625,0.579,10,-7.748,0,0.149,0.611,0.359,0.0964,0.513,88.209,4
0uF66fLLdNr32VIcmbyQ6i,"3j7teie3p6UnbA8nW51Trz","Preclous Tears","Sceneries Not Songs, Volume Tu","Larry Heard",1995-03-01,268960,0,spotify:user:seankmchenry,2019-01-03T22:05:36Z,"acid house,chicago house,classic house,deep house,deep soul house,float house,techno",0.619,0.847,10,-9.094,0,0.0348,0.0331,0.732,0.0499,0.838,173.864,4
1IqSPn8i32IJlMr5yW8q5l,"71LM30jsskgKlpbBHDliB8","Joiwind","Joiwind","Vakula",2018-07-24,206708,4,spotify:user:seankmchenry,2019-01-03T22:07:53Z,"deep soul house,ukrainian experimental",0.627,0.84,11,-6.03,0,0.0545,0.177,0.454,0.137,0.66,95.033,4
7znZstuIvZjldNIO1E11U4,"1PqdKx88nAgPolRy079lMl","Rise","Rise","Herb Alpert",1979-09-01,457400,0,spotify:user:seankmchenry,2019-01-03T22:09:25Z,"jazz trumpet",0.814,0.454,10,-10.802,1,0.0413,0.133,0.839,0.0863,0.903,99.265,4
61l1IZVCE3gk6RHFRtH01c,"1PqdKx88nAgPolRy079lMl","Rotation","Rise","Herb Alpert",1979-09-01,311413,0,spotify:user:seankmchenry,2019-01-03T22:09:25Z,"jazz trumpet",0.826,0.469,8,-13.957,1,0.0709,0.237,0.944,0.0429,0.475,104.923,4
7tBlvnHLTox3S0yB6nIV2Q,"6WOxIudswU8kNC2LrpeiWu","Lazy Nina","Pulse (Expanded Edition)","Greg Phillinganes",1984,326613,50,spotify:user:seankmchenry,2019-01-03T22:09:53Z,"yacht rock",0.625,0.5,7,-9.104,1,0.0873,0.183,0.00000337,0.0378,0.777,202.318,4
2QQYco5UET8Ur8DMNcyfSE,"5pLqzTJecAKKbWw0MrDASt","Gotta Get Back to Love","Runaway","Bill Champlin",1981,210706,33,spotify:user:seankmchenry,2019-01-03T22:11:34Z,"deep soft rock,yacht rock",0.616,0.405,1,-14.755,1,0.0522,0.295,0.0000334,0.144,0.714,72.975,4
5KKNRpg4v56xapa4RHERHx,"4qzZ6bMrjK27yHGVjs4Pvq","Port O Call","Just Another Day in Paradise","Bertie Higgins",1982-01-01,206533,11,spotify:user:seankmchenry,2019-01-03T22:12:34Z,"soft rock",0.683,0.651,11,-11.886,0,0.0328,0.113,0,0.536,0.805,119.146,4
2sU3JOEN7alL7ri5TEFcK9,"4xoTZnaFX7xWz76sVSgg7u","Clearly Kim","Pages","Pages",1978-11-26,205613,31,spotify:user:seankmchenry,2019-01-03T22:17:22Z,"deep soft rock,yacht rock",0.634,0.563,5,-14.243,0,0.0427,0.0304,0.0323,0.106,0.855,94.545,4
32azKGnvgBj2VOjjciog5B,"31vmdwz9Zo90PSOUcS4u3M","Hypnodance","Palace Palace","Who's Who",2011-07-25,285512,21,spotify:user:seankmchenry,2019-01-03T22:18:12Z,"",0.685,0.499,8,-15.067,1,0.035,0.0308,0.0102,0.0661,0.963,113.57,4
0y7loi7lFtfNPF5pxJamiw,"6JGGS3JOcMIxa0QF6pFnzN","Journey to the Sun","Island of Dreams","D.K.",2015,235171,33,spotify:user:seankmchenry,2019-01-04T16:52:55Z,"float house",0.623,0.581,8,-8.919,0,0.0284,0.736,0.932,0.091,0.774,102.007,4
2Eot25c6UOeLc4jcN3fEQF,"1g8HCTiMwBtFtpRR9JXAZR","BABY BLUE","空中キャンプ","Fishmans",1996-02-01,369266,51,spotify:user:seankmchenry,2019-01-03T22:22:17Z,"classic j-rock,j-rock,japanese dream pop,shibuya-kei",0.785,0.486,0,-10.5,1,0.065,0.144,0.498,0.158,0.79,90.989,4
7FDTqR29iMe13VLKMzYhVf,"6zpPKMhpOoG646kJgZ7RKf","Don't Let It End This Way - 2008 Digital Remaster","Turn Back The Clock","Johnny Hates Jazz",1988,220310,26,spotify:user:seankmchenry,2019-01-03T22:22:31Z,"mellow gold,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop",0.578,0.703,9,-7.816,0,0.0291,0.207,0.0000814,0.109,0.969,175.327,4
3fATpAE1oMr7WYz3IBkmoG,"4SkLPRjzPXh6d5n32Vypy5","Sword Cane","Melodies","Lord Echo",2010-12-06,373146,0,spotify:user:seankmchenry,2019-01-03T22:23:17Z,"electronica,funk,indie jazz,indie soul,nz reggae,soul",0.707,0.605,9,-12.633,0,0.0435,0.0127,0.639,0.0878,0.777,95.148,4
7BwF1DaJUdV1ardFi0iEfi,"2cBGeAPEN9hSJJeD15PIYh","Find It In Your Eyes","The System EP","The System",2016-11-24,274900,35,spotify:user:seankmchenry,2019-01-04T16:47:23Z,"",0.462,0.72,9,-9.799,0,0.0625,0.0746,0.0555,0.164,0.171,97.939,4
71qwAQtswxWU7c039lMzuC,"54XA1LKcUhP1lKOaAfd4qL","DIFFERENCES","Serena","Mat/Matix",2017-11-10,146086,0,spotify:user:seankmchenry,2019-01-04T16:57:38Z,"",0.746,0.671,5,-9.05,1,0.0514,0.0017,0.84,0.116,0.569,92.021,4
3gO8aGVFCpPqJOPOMMAhs0,"0sbXj9EtUUji1KCtkhsdmz","Cruel","Cruel","Germans",2013-05-28,207315,25,spotify:user:seankmchenry,2019-01-04T17:03:27Z,"",0.608,0.761,0,-7.226,1,0.0327,0.144,0.0247,0.105,0.941,84.008,4
4r7C9TmDbNdexVP1nxdZLJ,"4VnaEWTHIwbqbDCwNPpfde","Vision Partially Obscured","Phantom Actors","Jonny Nash",2014-09-01,242953,5,spotify:user:seankmchenry,2019-01-04T17:12:52Z,"experimental ambient,fourth world",0.256,0.0134,5,-30.488,1,0.0382,0.892,0.212,0.0982,0.0396,144.883,4
7HWWIxRF76VDkYE6gltmCs,"21Uejbf0dmBe3tEOUhWWt0","Valley In The Clouds","Valley In The Clouds","David Arkenstone",1987-01-01,215666,26,spotify:user:seankmchenry,2019-01-04T17:16:46Z,"new age,video game music",0.45,0.541,5,-16.004,0,0.0335,0.292,0.877,0.067,0.865,173.826,4
39BaUGu2L2I7IHtUwXFNCT,"6vcPgFOkMWBoY6Ks6eMEWj","My Lar","Loop the Loop","Bullion",2016-02-26,235689,0,spotify:user:seankmchenry,2019-01-04T17:17:48Z,"wonky",0.685,0.549,11,-9.495,1,0.0408,0.511,0.902,0.101,0.551,98.003,4
3DmGcQf0ywlPxzyixL37L8,"6LKEDpmHSbVFGyL2OW0ZbQ,6hTlv2VezGGkaMGVR4IApX","Laffs","Good Timin' Vol. 1","Jex Opolis,Hoiyo",2019-03-01,201247,3,spotify:user:seankmchenry,2019-04-09T00:42:50Z,"canadian house,experimental house",0.817,0.318,1,-13.312,1,0.0527,0.0215,0.927,0.115,0.312,106.006,4
3VEdzfUk5q70JDmBH0F0Wa,"3iFMfPvVhkPDaR6uCaBV9q","Juicy","Midnight","Emmett Kai",2017-10-24,202758,44,spotify:user:seankmchenry,2019-04-09T00:43:24Z,"brooklyn indie,chillwave",0.809,0.391,6,-6.727,0,0.0413,0.18,0.00172,0.235,0.688,86.957,4
4WVtYV9dFsDR3W2JuNbK7m,"3C6chBmZ9wzisBhoh8G2nK","I Could Show You How","Burning Bridges","Naked Eyes",1983-03-16,205960,0,spotify:user:seankmchenry,2019-04-09T00:43:53Z,"new romantic,new wave,new wave pop,synthpop",0.673,0.608,2,-12.209,0,0.0448,0.0385,0.0000105,0.0598,0.796,108.344,4
4xgmrCrh6Wt4bSOf3l11wj,"6EXurtehkPBoE9zRRHW9sO","Shadows","Fontän","Fontän",2017-05-26,388467,0,spotify:user:seankmchenry,2019-04-12T19:43:38Z,"balearic,neo-psychedelic",0.531,0.732,6,-8.086,1,0.0477,0.0372,0.143,0.262,0.662,93.027,4
