Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3gOBLrOvDovzHL4xBDQw0B,"0f5nVCcR06GX8Qikz0COtT","O","O","Omarion",2005-02-22,280706,43,spotify:user:seankmchenry,2023-01-30T17:51:21Z,"dance pop,hip pop,pop r&b,r&b,southern hip hop,urban contemporary",0.742,0.515,0,-6.265,1,0.0405,0.081,0,0.194,0.587,120.086,4
5qhlC4Rzals34zxovrPzKp,"0f5nVCcR06GX8Qikz0COtT","Ice Box","21","Omarion",2006-12-26,256426,56,spotify:user:seankmchenry,2023-01-30T17:52:21Z,"dance pop,hip pop,pop r&b,r&b,southern hip hop,urban contemporary",0.775,0.731,8,-5.446,1,0.134,0.189,0,0.129,0.821,131.105,4
3FpxgSaFXy0UkJ1oQ9c3Lg,"20s0P9QLxGqKuCsGwFsp7w","Skippin'","Go","Mario",2007-12-11,238960,49,spotify:user:seankmchenry,2023-01-30T17:52:36Z,"dance pop,hip pop,pop,r&b,urban contemporary",0.795,0.65,10,-6.882,0,0.216,0.198,0,0.123,0.617,123.898,4
174rZBKJAqD10VBnOjlQQ3,"20s0P9QLxGqKuCsGwFsp7w","How Do I Breathe","Go","Mario",2007-12-11,216893,65,spotify:user:seankmchenry,2023-01-30T17:52:36Z,"dance pop,hip pop,pop,r&b,urban contemporary",0.684,0.455,5,-8.216,1,0.0307,0.215,0.00000108,0.263,0.487,97.956,4
1HGyhNaRUFEDBiVLbvtbL6,"6RQkaOWddQmiLLJqSgnTbm","Murder She Wrote","Tease Me","Chaka Demus & Pliers",1993-01-01,245000,65,spotify:user:seankmchenry,2023-01-30T17:52:53Z,"funana,lovers rock,old school dancehall",0.883,0.733,11,-9.153,0,0.128,0.161,0.00026,0.334,0.947,95.103,4
5dWfl2PBpKHpBVdz95wxK1,"3kc5AFnL1TQQdNaMdSW2UO","No Letting Go","No Holding Back","Wayne Wonder",2003,202013,61,spotify:user:seankmchenry,2023-01-30T17:53:05Z,"dancehall,lovers rock,old school dancehall,reggae fusion,roots reggae,soca",0.496,0.819,5,-5.656,0,0.0444,0.0479,0.000215,0.177,0.317,100.215,4
1Gg5y89H46xqTwwR6QPJA0,"3kc5AFnL1TQQdNaMdSW2UO","Take It Easy","Foreva","Wayne Wonder",2007-09-24,215440,1,spotify:user:seankmchenry,2023-01-30T17:53:30Z,"dancehall,lovers rock,old school dancehall,reggae fusion,roots reggae,soca",0.596,0.846,5,-4.288,0,0.0311,0.00382,0,0.308,0.833,161.972,4
6aWONJSLs4CZY1FJt10U2n,"3jksrX4oBklxR78ft8gv3j","Bushes","Definition of Real","Plies",2008-06-10,251866,25,spotify:user:seankmchenry,2023-01-30T17:54:36Z,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.626,0.553,11,-8.705,0,0.223,0.0618,0,0.16,0.251,81.757,4
55Kp9pSeHWYFyj79S8TvxS,"3jksrX4oBklxR78ft8gv3j","Dat Bitch","Definition of Real","Plies",2008-06-10,213026,28,spotify:user:seankmchenry,2023-01-30T17:54:36Z,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.737,0.534,5,-7.024,0,0.232,0.101,0,0.117,0.752,180.93,4
2DomvByLPJYN69zBlXvZli,"3jksrX4oBklxR78ft8gv3j","Feel like Fuckin","Definition of Real","Plies",2008-06-10,254866,24,spotify:user:seankmchenry,2023-01-30T17:54:36Z,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.573,0.68,0,-7.843,0,0.392,0.0938,0,0.371,0.404,150.286,4
