Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ypR4UsbLUAkQvQC1X6Dpn,"13ccXrK7AmXb4TddMkE7jy","Each and Every One","Eden","Everything But The Girl",1984-06-04,167933,19,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.405,0.359,8,-18.555,0,0.0413,0.717,0.00000147,0.0711,0.388,142.568,4
1mMuHPp9RtJlbADIRUYn3l,"13ccXrK7AmXb4TddMkE7jy","Bittersweet","Eden","Everything But The Girl",1984-06-04,171000,17,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.501,0.311,0,-19.575,1,0.034,0.569,0,0.164,0.769,100.034,4
6e9MXU0k7uB1nDSriYgLfC,"13ccXrK7AmXb4TddMkE7jy","Tender Blue","Eden","Everything But The Girl",1984-06-04,185440,16,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.571,0.113,2,-20.635,0,0.0297,0.792,0.0000077,0.101,0.314,93.313,3
4RwCUXgoEyPl6CbB0uqSS0,"13ccXrK7AmXb4TddMkE7jy","Another Bridge","Eden","Everything But The Girl",1984-06-04,133066,15,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.483,0.479,0,-17.39,1,0.0504,0.0709,0.00000191,0.0939,0.745,84.972,4
7mcFskISWIvUAdEFLPkVQT,"13ccXrK7AmXb4TddMkE7jy","The Spice of Life","Eden","Everything But The Girl",1984-06-04,210760,15,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.424,0.122,0,-20.49,1,0.0371,0.886,0,0.125,0.418,203.554,4
6Jn0bikItH12Tm6715tN5V,"13ccXrK7AmXb4TddMkE7jy","The Dustbowl","Eden","Everything But The Girl",1984-06-04,99906,14,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.431,0.0829,4,-22.332,0,0.0405,0.923,0,0.111,0.389,131.705,5
5AZZGmFt6cUyZA7XM1wWVh,"13ccXrK7AmXb4TddMkE7jy","Crabwalk","Eden","Everything But The Girl",1984-06-04,203160,13,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.404,0.341,2,-17.575,0,0.0364,0.422,0.000541,0.28,0.489,144.066,4
3Crd4H8tKPAjXOJifX0yFH,"13ccXrK7AmXb4TddMkE7jy","Even So","Eden","Everything But The Girl",1984-06-04,151426,13,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.73,0.122,0,-21.595,1,0.038,0.86,0,0.163,0.707,128.148,4
46FAy9YdQfr0LkcknmGKBT,"13ccXrK7AmXb4TddMkE7jy","Frost and Fire","Eden","Everything But The Girl",1984-06-04,189240,13,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.586,0.219,11,-20.255,0,0.0367,0.904,0.000116,0.0869,0.592,124.776,4
6YvQTaYZuQgrGVj4igflaN,"13ccXrK7AmXb4TddMkE7jy","Fascination","Eden","Everything But The Girl",1984-06-04,200133,14,spotify:user:seankmchenry,2022-08-26T05:03:22Z,"electronica,new wave pop,pop rock,sophisti-pop,trip hop",0.399,0.0655,0,-19.112,1,0.0308,0.896,0,0.104,0.302,144.373,5
