Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6tXJPkl1066PFuBQlJbQy4,"Blues","With Gary Peacock","Paul Bley,Gary Peacock,Paul Motian",1970-12-01,261693,4,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass,jazz,jazz drums","ECM Records",0.611,0.362,10,-16.089,0,0.102,0.375,0.0162,0.128,0.507,111.243,4
4NLKXWPEB6cREwLI4vXMaW,"Getting Started","With Gary Peacock","Paul Bley,Gary Peacock,Paul Motian",1970-12-01,262466,3,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass,jazz,jazz drums","ECM Records",0.414,0.188,0,-19.978,1,0.034,0.749,0.0182,0.211,0.186,113.087,4
2WdNIsRO7zHs9lxe94ZviE,"When Will The Blues Leave","With Gary Peacock","Paul Bley,Gary Peacock,Paul Motian",1970-12-01,230600,3,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass,jazz,jazz drums","ECM Records",0.484,0.43,0,-15.473,1,0.0564,0.179,0.014,0.0962,0.452,118.545,3
6f4FQOR7xJt2bZxYlNdcV4,"Long Ago And Far Away","With Gary Peacock","Paul Bley,Gary Peacock,Paul Motian",1970-12-01,254133,3,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass,jazz,jazz drums","ECM Records",0.549,0.263,0,-19.045,1,0.0845,0.411,0.00468,0.188,0.471,110.747,4
5byFKzqN0HeXB3YfWyGx0y,"Moor","With Gary Peacock","Paul Bley,Gary Peacock,Paul Motian",1970-12-01,205106,3,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass,jazz,jazz drums","ECM Records",0.556,0.372,0,-15.36,1,0.0833,0.302,0.143,0.358,0.513,103.628,4
6xyWiJ9iIUCPql91PX2Yow,"Gary","With Gary Peacock","Paul Bley,Gary Peacock,Bill Elgart",1970-12-01,278200,2,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass","ECM Records",0.369,0.0229,8,-25.727,0,0.0404,0.98,0.914,0.0919,0.0703,53.578,4
5lTaTbhneVfhhvl3mAF8UZ,"Big Foot","With Gary Peacock","Paul Bley,Gary Peacock,Bill Elgart",1970-12-01,203800,2,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass","ECM Records",0.423,0.481,5,-17.978,0,0.037,0.91,0.172,0.155,0.621,123.159,3
08GP6SoMnOEVCKUJRiyKkq,"Albert's Love Theme","With Gary Peacock","Paul Bley,Gary Peacock,Bill Elgart",1970-12-01,293733,2,seankmchenry,2022-07-26T01:52:40Z,"contemporary post-bop,ecm-style jazz,jazz piano,contemporary jazz,jazz double bass","ECM Records",0.466,0.0962,11,-19.048,0,0.0542,0.971,0.909,0.0897,0.0998,78.472,3
1RaQG7aC2BxG4SP1UiX2Kt,"Maimoun","Illusion Suite","Stanley Cowell Trio",1973-11-28,465080,6,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.401,0.194,2,-21,1,0.0311,0.896,0.915,0.0776,0.318,144.102,4
5rj3I37krx1S4boZgM8WA3,"Ibn Mukhtarr Mustapha","Illusion Suite","Stanley Cowell Trio",1973-11-28,286346,4,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.505,0.416,6,-16.138,1,0.0418,0.922,0.685,0.119,0.9,130.178,4
5uQ9Ptxgp65urjQXMN8Diz,"Cal Massey","Illusion Suite","Stanley Cowell Trio",1973-11-28,360973,3,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.436,0.486,7,-16.512,1,0.0362,0.688,0.587,0.124,0.59,112.304,4
0e133pg4C4btj50mLlkHHf,"Miss Viki","Illusion Suite","Stanley Cowell Trio",1973-11-28,319586,8,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.653,0.364,7,-15.896,1,0.0824,0.453,0.57,0.1,0.686,75.234,4
6FBgUwYCaM3cJYl0QjjuBC,"Emil Danenberg","Illusion Suite","Stanley Cowell Trio",1973-11-28,505146,1,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.382,0.13,9,-21.093,0,0.0313,0.931,0.628,0.0937,0.0676,72.589,4
0iTjVu5X6yUhJKlaHUDDgP,"Astral Spiritual","Illusion Suite","Stanley Cowell Trio",1973-11-28,458426,1,seankmchenry,2022-07-26T01:57:48Z,"jazz trio","ECM Records",0.307,0.333,11,-19.812,0,0.043,0.86,0.896,0.174,0.318,73.13,4
6OFvrxUnXyMe5KcOpuGfr1,"Return To Forever","Return To Forever","Chick Corea",1972-07-01,724666,31,seankmchenry,2022-07-26T01:56:29Z,"bebop,contemporary post-bop,ecm-style jazz,electric bass,jazz,jazz funk,jazz fusion,jazz piano","ECM Records",0.338,0.444,9,-17.216,0,0.0463,0.827,0.415,0.106,0.174,116.218,4
5F8rPLt2c52p0SK7kiH26b,"Crystal Silence","Return To Forever","Chick Corea",1972-07-01,415000,46,seankmchenry,2022-07-26T01:56:29Z,"bebop,contemporary post-bop,ecm-style jazz,electric bass,jazz,jazz funk,jazz fusion,jazz piano","ECM Records",0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,4
0mC8MfVqQ1pHGKCdfhiHye,"What Game Shall We Play Today","Return To Forever","Chick Corea",1972-07-01,266000,32,seankmchenry,2022-07-26T01:56:29Z,"bebop,contemporary post-bop,ecm-style jazz,electric bass,jazz,jazz funk,jazz fusion,jazz piano","ECM Records",0.446,0.265,0,-18.803,1,0.0355,0.907,0.00785,0.205,0.545,155.474,4
5usfjkANiQkilbhmelXPh2,"Sometime Ago / La Fiesta","Return To Forever","Chick Corea",1972-07-01,1394000,26,seankmchenry,2022-07-26T01:56:29Z,"bebop,contemporary post-bop,ecm-style jazz,electric bass,jazz,jazz funk,jazz fusion,jazz piano","ECM Records",0.331,0.424,9,-16.5,0,0.04,0.873,0.0199,0.11,0.255,102.894,4
0jjTwQhvKmctMBTtUJ4KWo,"Closer","Open, To Love","Paul Bley",1973-02-01,351360,8,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.449,0.0063,0,-19.35,0,0.0836,0.955,0.377,0.0753,0.0897,67.832,4
4Z4UjKmEEFznujjm6xjLb5,"Ida Lupino","Open, To Love","Paul Bley",1973-02-01,451520,11,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.48,0.156,0,-14.472,1,0.0528,0.975,0.884,0.223,0.086,93.99,4
3B0O950nMKmnLORRvDyQLR,"Started","Open, To Love","Paul Bley",1973-02-01,313840,6,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.462,0.086,0,-15.588,1,0.085,0.98,0.885,0.145,0.217,77.008,4
4weP8IIQSIEqzNjHi1tQN5,"Open, To Love","Open, To Love","Paul Bley",1973-02-01,430026,6,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.622,0.0319,3,-15.669,0,0.0833,0.974,0.903,0.0813,0.181,101.436,3
7HVG9iAZz3HI285q1zHyDj,"Harlem","Open, To Love","Paul Bley",1973-02-01,202093,17,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.599,0.092,7,-15.444,0,0.071,0.988,0.878,0.0741,0.0886,134.209,3
3IYzKOhbKDosKthOKVKqRQ,"Seven","Open, To Love","Paul Bley",1973-02-01,441293,5,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.486,0.038,5,-16.418,1,0.0741,0.962,0.746,0.0864,0.238,80.578,3
4j8fi4c8qjpyb9hUJC3zLW,"Nothing Ever Was, Anyway","Open, To Love","Paul Bley",1973-02-01,362666,4,seankmchenry,2022-07-26T01:58:50Z,"contemporary post-bop,ecm-style jazz,jazz piano","ECM Records",0.586,0.0637,5,-14.306,0,0.116,0.962,0.911,0.0634,0.159,103.417,4
7EJ4U80bPU5Cq3HKTycyE5,"Dark Spirit","Diary","Ralph Towner",1973,436800,6,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.342,0.172,11,-18.285,0,0.0528,0.966,0.904,0.103,0.222,77.688,4
0UQVYECXrgRi0l9YvWN4bH,"Entry In A Diary","Diary","Ralph Towner",1973,230866,5,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.429,0.062,7,-19.96,1,0.0735,0.782,0.757,0.0932,0.0881,84.849,3
1beDgvzGhXiG4zx6Ak2Ng1,"Images Unseen","Diary","Ralph Towner",1973,250106,4,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.342,0.196,2,-14.784,1,0.0341,0.605,0.843,0.0864,0.0382,86.382,4
1fn8cJBIXD3X0l6OeYL01o,"Icarus","Diary","Ralph Towner",1973,373000,9,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.271,0.425,2,-12.212,0,0.0346,0.827,0.793,0.0769,0.239,165.098,4
4TLOzcSyFqW645byNwgOrz,"Mon Enfant","Diary","Ralph Towner",1973,337333,5,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.455,0.0753,5,-17.729,1,0.0497,0.979,0.853,0.0941,0.17,129.847,4
6arxdSLGNQUHeyQDxrJj4G,"Ogden Road","Diary","Ralph Towner",1973,478093,4,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.336,0.351,9,-15.757,0,0.0456,0.894,0.817,0.0585,0.149,89.241,4
1JhE1X19wYMadJ3Y9pO4pU,"Erg","Diary","Ralph Towner",1973,197440,3,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.422,0.389,9,-17.421,1,0.0461,0.849,0.878,0.0778,0.576,148.259,4
2rwKJauOYeoR076tfpPD1C,"The Silence Of A Candle","Diary","Ralph Towner",1973,233533,8,seankmchenry,2022-07-26T02:01:23Z,"ecm-style jazz,jazz guitar","ECM Records",0.255,0.161,0,-17.38,1,0.0526,0.957,0.87,0.0645,0.18,84.618,4
