Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
55HuOQGM3rd7xJYEV4QEov,"5THdJGUVSrpyW9sDW49Q92","Make It Right","Space Cries","Ed Mount",2018-03-09,260957,4,spotify:user:seankmchenry,2023-01-20T14:54:30Z,"nantes indie",0.886,0.438,10,-6.957,0,0.154,0.358,0.113,0.128,0.223,120.033,4
1W7iMoaSe31Os638bbPL5g,"5THdJGUVSrpyW9sDW49Q92","Space Cries","Space Cries","Ed Mount",2018-03-09,218730,4,spotify:user:seankmchenry,2023-01-20T14:54:30Z,"nantes indie",0.793,0.527,0,-7.539,1,0.0653,0.593,0.0246,0.176,0.227,109.928,4
66ZmUnqZ8y1VBMsY8xXKkH,"5THdJGUVSrpyW9sDW49Q92","Don't You Remember","Space Cries","Ed Mount",2018-03-09,221867,27,spotify:user:seankmchenry,2023-01-20T14:54:30Z,"nantes indie",0.843,0.542,11,-7.372,0,0.0392,0.0928,0.2,0.102,0.457,99.994,4
1lOcJidiGY1ATHAJjjzBtl,"5THdJGUVSrpyW9sDW49Q92","The Future Can't Be Wrong","Space Cries","Ed Mount",2018-03-09,217777,2,spotify:user:seankmchenry,2023-01-20T14:54:30Z,"nantes indie",0.824,0.545,7,-8.554,1,0.0589,0.422,0.734,0.103,0.154,118.006,4
2O02fbkVwNgxAkak0vEu6H,"5THdJGUVSrpyW9sDW49Q92","This Song Will Be the Same","Space Cries","Ed Mount",2018-03-09,112467,2,spotify:user:seankmchenry,2023-01-20T14:54:30Z,"nantes indie",0.725,0.0804,10,-10.658,1,0.0477,0.894,0.00398,0.111,0.357,123.963,4
1sQLCrFpEyStjHMVtEEA1n,"5THdJGUVSrpyW9sDW49Q92","No One Else","Left My Heart","Ed Mount",2019-04-19,239059,11,spotify:user:seankmchenry,2023-01-20T14:54:31Z,"nantes indie",0.899,0.31,0,-12.182,0,0.0595,0.391,0.572,0.109,0.518,130.025,4
3aYRfE2D1mpJhq5Novlvi6,"5THdJGUVSrpyW9sDW49Q92","Left My Heart","Left My Heart","Ed Mount",2019-04-19,240408,5,spotify:user:seankmchenry,2023-01-20T14:54:31Z,"nantes indie",0.812,0.297,0,-13.552,1,0.0561,0.8,0.0833,0.0893,0.649,95.291,3
5e1UbxJxGtsrgLWVtLhRw1,"5THdJGUVSrpyW9sDW49Q92","No Time - To Waste","Left My Heart","Ed Mount",2019-04-19,185589,1,spotify:user:seankmchenry,2023-01-20T14:54:31Z,"nantes indie",0.886,0.299,5,-12.159,1,0.038,0.154,0.31,0.0956,0.369,108.967,4
2n9bcp1zkkhU87PXmg1NSH,"5THdJGUVSrpyW9sDW49Q92","Undone","Left My Heart","Ed Mount",2019-04-19,292501,1,spotify:user:seankmchenry,2023-01-20T14:54:31Z,"nantes indie",0.775,0.383,10,-11.547,1,0.0479,0.23,0.0592,0.105,0.0952,95.006,4
5sIGGdJIh3EmkhfPO4IPH3,"5THdJGUVSrpyW9sDW49Q92","100 000°C","Left My Heart","Ed Mount",2019-04-19,143730,1,spotify:user:seankmchenry,2023-01-20T14:54:31Z,"nantes indie",0.644,0.164,6,-15.57,0,0.0377,0.717,0.0881,0.0912,0.193,81.509,3
