Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ckgxxj6hVsQmQ4M1BUelO,"We Need We","Parts Unknown","Eddie C",2011-05-23,318253,5,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.633,0.852,4,-7.048,0,0.159,0.1,0.000404,0.405,0.645,166.52,4
4KAA3lTOKTHJmaWTPJwUD9,"Love Journey","Parts Unknown","Eddie C",2011-05-23,369120,7,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.721,0.745,1,-8.107,1,0.133,0.0571,0.00347,0.343,0.694,90.041,4
7woXL70gFXNG9AdlA7pJ6a,"Pains Inside","Parts Unknown","Eddie C",2011-05-23,466640,1,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.74,0.799,0,-11.015,1,0.0376,0.0434,0.731,0.101,0.831,99.991,4
5vlaixsl9VveWLq6vvar8J,"Your Love","Parts Unknown","Eddie C",2011-05-23,311546,0,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.746,0.516,7,-9.285,1,0.0702,0.136,0.758,0.135,0.291,89.999,3
0z2t0LrlyVpQwXXRgofQN6,"Listenin'","Parts Unknown","Eddie C",2011-05-23,282280,0,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.681,0.985,6,-6.758,1,0.0676,0.0261,0.223,0.0646,0.717,181.513,4
2Dh8d2lDDeQSmHQZSOvNna,"Dub Me Gwen","Parts Unknown","Eddie C",2011-05-23,302573,1,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.772,0.79,2,-10.684,1,0.0507,0.231,0.857,0.0735,0.601,103.981,4
5CJYQYrcduB1hYrIKlkSv0,"Space Shuttle","Parts Unknown","Eddie C",2011-05-23,408480,0,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.806,0.777,0,-9.909,1,0.037,0.0219,0.843,0.0702,0.415,109.984,4
0R4RGMehWMF6QfSFUG1ehV,"Do It Yourself","Parts Unknown","Eddie C",2011-05-23,449413,8,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.902,0.788,9,-7.144,1,0.061,0.0295,0.798,0.0608,0.897,121.007,4
13dsWBIOBOnTxFz99Eo3PE,"Deepa","Parts Unknown","Eddie C",2011-05-23,445226,2,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.831,0.793,7,-8.016,1,0.0606,0.0175,0.928,0.0617,0.688,116.987,4
6wCz0S6lIBC4yoP6SGLk9T,"Starlight Remix feat. Noodlema","Parts Unknown","Eddie C,Noodlema",2011-05-23,451386,1,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.811,0.701,11,-8.708,0,0.075,0.0101,0.852,0.0711,0.615,119.965,4
2uVGdC9z5ZtrEni47qlQi5,"I'm Sorry","Parts Unknown","Eddie C",2011-05-23,445266,0,seankmchenry,2024-08-05T15:11:28Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.831,0.625,11,-9.341,0,0.0764,0.000071,0.916,0.0519,0.824,116.995,4
6e7dZNRVLim2FWRMM1RToW,"To Each Their Own","Country City Country","Eddie C",2013-03-18,80466,8,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.649,0.509,9,-12.27,1,0.402,0.74,0.415,0.231,0.893,147.769,4
6vIhGdNuk81jbpR8HshAGJ,"Stoney Pharmacy","Country City Country","Eddie C",2013-03-18,132146,8,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.689,0.535,11,-7.544,0,0.198,0.0643,0.813,0.0743,0.685,187.712,4
36Q4PGHBXtc7kLouOuuXK0,"Fool On The Hill","Country City Country","Eddie C",2013-03-18,209693,37,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.785,0.739,0,-6.792,1,0.123,0.0366,0.465,0.0917,0.841,76.971,4
5ubphE62364Suzirot8RCk,"Motsa","Country City Country","Eddie C",2013-03-18,234600,6,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.835,0.689,11,-8.666,1,0.114,0.0144,0.949,0.0561,0.833,91.167,4
55DlWaB6p80Ipg2FIIFMHO,"Drinkin And Thinkin","Country City Country","Eddie C",2013-03-18,177386,4,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.714,0.81,0,-8.584,1,0.0969,0.000227,0.861,0.0305,0.59,94.995,4
0ldR2jGvLPFEbxzEOEzxE3,"Jam On Dallas Road (feat. Dr. Mike Roma)","Country City Country","Eddie C,Dr. Mike Roma",2013-03-18,340453,18,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.848,0.663,11,-6.977,0,0.0753,0.514,0.863,0.167,0.864,97.994,4
7xCCLDYFfvGPie4Qhd3xlE,"Erase","Country City Country","Eddie C",2013-03-18,361399,4,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.774,0.778,4,-7.685,0,0.0592,0.000027,0.903,0.0685,0.746,101.051,4
3JAYPZUOsTeWd3HDTiD0Ts,"Every Life Under The Invisible Hands (feat. Dr. Mike Roma)","Country City Country","Eddie C,Dr. Mike Roma",2013-03-18,301800,31,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.814,0.856,11,-5.484,0,0.0359,0.375,0.923,0.238,0.909,104.996,4
3pemqIC8b1f1n8zS2GPy27,"Black Meat Dance","Country City Country","Eddie C",2013-03-18,223346,4,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.667,0.77,11,-9.067,1,0.0672,0.0385,0.713,0.0324,0.782,96.973,4
3zY00iZmaEUs3CX9hSuGex,"Always","Country City Country","Eddie C",2013-03-18,239000,5,seankmchenry,2024-08-05T15:11:29Z,"balearic,canadian electronic,canadian house,deep soul house,nu disco","Endless Flight",0.833,0.508,5,-6.84,1,0.358,0.0185,0.749,0.0865,0.923,201.112,4
