Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
50YXZWwXyYNPdKFat5ZADO,"47G42tN4Rvm0g2RdBzmCSx","Colours In My Head","Straight Ahead","Zenit",1986,251253,10,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.522,0.656,3,-9.833,1,0.0351,0.21,0.0109,0.277,0.853,103.553,1
1wPPvp3tyYYnKkWxzQTqat,"47G42tN4Rvm0g2RdBzmCSx","Different World","Straight Ahead","Zenit",1986,247800,3,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.749,0.837,1,-8.368,1,0.0698,0.0044,0.0000613,0.37,0.776,128.463,4
392lSVPTYi3dQFwZxPPLtl,"47G42tN4Rvm0g2RdBzmCSx","A Little Bit Funk","Straight Ahead","Zenit",1986,283986,2,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.572,0.815,4,-8.157,0,0.0655,0.0654,0.731,0.103,0.591,134.068,4
0llmtIYuN75Mmxa06PRGkY,"47G42tN4Rvm0g2RdBzmCSx","Play The Game Of Life","Straight Ahead","Zenit",1986,263426,3,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.723,0.299,8,-12.981,0,0.0496,0.064,0.000569,0.101,0.0547,123.567,4
0G33ec23xtPW8bfKMDKXf6,"47G42tN4Rvm0g2RdBzmCSx","Magic Words","Straight Ahead","Zenit",1986,235520,3,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.569,0.781,9,-11.6,0,0.0351,0.13,0.0446,0.0732,0.603,127.578,4
4IVCUUAKs3bYpzZMBBRRUK,"47G42tN4Rvm0g2RdBzmCSx","Come On And Try","Straight Ahead","Zenit",1986,315253,5,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.617,0.756,0,-10.251,1,0.0571,0.0239,0.536,0.0949,0.884,126.508,4
0jMiRR9VQlz0t0VoqvxE5A,"47G42tN4Rvm0g2RdBzmCSx","Departure 03","Straight Ahead","Zenit",1986,387026,1,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.65,0.745,0,-9.22,1,0.0363,0.0427,0.799,0.97,0.6,115.778,4
3PUVdNiZXwIAhLoa39hTNr,"47G42tN4Rvm0g2RdBzmCSx","Waitin'","Straight Ahead","Zenit",1986,351320,22,spotify:user:seankmchenry,2022-08-25T17:38:34Z,"",0.608,0.171,3,-13.077,0,0.046,0.0399,0.085,0.0865,0.122,177.02,4
4y75DwDgt1yRJO99KBO960,"5hDeFZ3vY539JPeNzfwXrN","Lobster - 12 Version","Collected Works","The Word",1984,417760,13,spotify:user:seankmchenry,2022-08-25T17:38:41Z,"",0.737,0.561,1,-11.506,1,0.058,0.399,0.313,0.166,0.767,96.386,4
1bD1cvkLRRYcJ9V6sei75C,"5hDeFZ3vY539JPeNzfwXrN","Easy","Collected Works","The Word",1984,247276,4,spotify:user:seankmchenry,2022-08-25T17:38:41Z,"",0.724,0.649,11,-8.914,0,0.0771,0.363,0.000328,0.106,0.79,106.952,4
1NH15TTouc3tBSfOeSKmS7,"5hDeFZ3vY539JPeNzfwXrN","All My Life","Collected Works","The Word",1984,240117,2,spotify:user:seankmchenry,2022-08-25T17:38:41Z,"",0.748,0.675,0,-8.112,0,0.0393,0.336,0.0123,0.0886,0.933,118.194,4
5g6QnN6obRh6XjSniwqXED,"5hDeFZ3vY539JPeNzfwXrN","The Word","Collected Works","The Word",1984,381522,2,spotify:user:seankmchenry,2022-08-25T17:38:41Z,"",0.806,0.637,9,-11.206,0,0.0488,0.489,0.486,0.0953,0.969,116.269,4
0JbfPGzCGlAjrLKzwKFuu2,"5Qre0VlSEzLF91s8Z9zDzT","Rubberdub Dance","Rubberdub Dance","Cracy Coconuts",1987,260881,18,spotify:user:seankmchenry,2022-08-25T17:38:55Z,"",0.808,0.708,7,-8.636,1,0.0468,0.0908,0.000202,0.0397,0.95,142.269,4
3OODEvsXzVqGKrbkM4oeRp,"5Qre0VlSEzLF91s8Z9zDzT","Rubberdub Dance - Sing Along-Version","Rubberdub Dance","Cracy Coconuts",1987,263249,6,spotify:user:seankmchenry,2022-08-25T17:38:55Z,"",0.804,0.707,9,-9.029,0,0.0508,0.0502,0.0165,0.0408,0.952,142.246,4
