Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1c7KKOVKQc9RGaC915oyua,"0eNih2gs7m8EnfnyixH9ZA","Morning - Du Heaume Mix","On the Moon","Braden Schlager",1990,304856,4,spotify:user:seankmchenry,2022-09-01T13:15:53Z,"",0.629,0.343,9,-11.035,0,0.0289,0.0908,0.667,0.0897,0.118,120.049,4
0swUHrHAbylZXCwW4r4MAT,"0eNih2gs7m8EnfnyixH9ZA","Morning - Rummage Mix","On the Moon","Braden Schlager",1990,288878,1,spotify:user:seankmchenry,2022-09-01T13:15:53Z,"",0.526,0.58,4,-10.065,0,0.0326,0.246,0.951,0.108,0.23,119.962,4
3c9dEvwOkqQO8U7oVtOjIX,"0eNih2gs7m8EnfnyixH9ZA","Rummage","On the Moon","Braden Schlager",1990,88251,0,spotify:user:seankmchenry,2022-09-01T13:15:53Z,"",0.664,0.99,8,-9.585,0,0.125,0.529,0.508,0.401,0.0909,110.907,4
7Dhn4jp33qpqxu3yng6wrR,"0eNih2gs7m8EnfnyixH9ZA","King of Comedy","On the Moon","Braden Schlager",1990,289541,4,spotify:user:seankmchenry,2022-09-01T13:15:53Z,"",0.531,0.689,10,-9.413,1,0.0287,0.0542,0.187,0.409,0.767,100.978,4
1NPf5FCRtTxNlm5XGhkKhw,"5mqGcHH4QdeX9PRzzslrXM","Are These My Memories?","Girls In The Grass","Steve Hiett",2019-09-20,175626,30,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.741,0.751,11,-6.959,0,0.0406,0.146,0.789,0.122,0.687,102.664,4
2Jfa5NYvmO1LunCASzyxxt,"5mqGcHH4QdeX9PRzzslrXM","Walking Across the Field","Girls In The Grass","Steve Hiett",2019-09-20,125040,48,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.54,0.498,9,-12.447,1,0.0326,0.0564,0.844,0.126,0.283,116.848,4
7Mh9JcFN5d56KFGWPGORYf,"5mqGcHH4QdeX9PRzzslrXM","Summer Stroll","Girls In The Grass","Steve Hiett",2019-09-20,232080,20,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.842,0.388,7,-11.63,1,0.0756,0.0929,0.875,0.114,0.589,101.119,4
1xcY8SoBIAh6wb2EtRedH1,"5mqGcHH4QdeX9PRzzslrXM","It's Raining Tomorrow","Girls In The Grass","Steve Hiett",2019-09-20,230266,24,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.638,0.478,2,-11.862,1,0.103,0.395,0.831,0.103,0.282,200.941,4
3sYWd16ZtaSq1GuRHdVcob,"5mqGcHH4QdeX9PRzzslrXM","Dancing In July","Girls In The Grass","Steve Hiett",2019-09-20,163586,34,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.887,0.61,2,-9.706,1,0.0455,0.428,0.889,0.107,0.877,120.528,4
2yEoVAKrmzyjirqSEaby3a,"5mqGcHH4QdeX9PRzzslrXM","Shadows Across The Path","Girls In The Grass","Steve Hiett",2019-09-20,349786,18,spotify:user:seankmchenry,2022-09-01T13:29:38Z,"fourth world",0.648,0.507,7,-9.424,1,0.0368,0.176,0.769,0.128,0.531,79.882,4
