Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6yOcaiqZraTNJNtkiuM76i,"3JulrApLVT81sb2HkfwMks","Lonely Love","Piece By Piece","John Martyn",1986-01-01,199053,3,spotify:user:seankmchenry,2023-02-05T14:43:24Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.812,0.489,9,-12.304,0,0.0343,0.465,0.00295,0.0945,0.665,108.935,4
4b3rEBPsk3d74ry2B7sBb9,"39T6qqI0jDtSWWioX8eGJz","You Never Change","Minute by Minute","The Doobie Brothers",1978,208600,25,spotify:user:seankmchenry,2023-02-05T14:43:38Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.764,0.442,7,-17.311,1,0.0565,0.652,0.00286,0.0692,0.884,140.669,4
5Ssvaw4bktEXGxkjlN35x8,"3vNHR4OsgOsktxndG612B7","Whachersign","Pratt & McClain featuring Happy Days","Pratt & McClain",1976,257693,11,spotify:user:seankmchenry,2023-02-05T14:43:48Z,"",0.576,0.916,5,-10.248,0,0.0528,0.0021,0.0272,0.058,0.913,91.754,4
4cQFiwCGaKX3tKXgLC0wL3,"0AVE7rDx4X9w0pW1XlN1om","Now I Know Why - They Call It Falling","Skin Dive","Michael Franks",1985,295133,12,spotify:user:seankmchenry,2023-02-05T14:43:51Z,"smooth jazz,yacht rock",0.86,0.447,7,-14.343,1,0.0513,0.432,0.201,0.046,0.964,98.928,4
1t1PCraowOf7NKoGWBDyoJ,"1VDurPMbOKrNU8mcMP4X1P","You Like Me Don't You","Greatest Hits And Rare Classics","Jermaine Jackson",1991-01-01,300440,38,spotify:user:seankmchenry,2023-02-05T14:44:06Z,"disco,funk,post-disco,quiet storm,urban contemporary",0.742,0.593,1,-12.737,1,0.0704,0.149,0.00000301,0.0249,0.86,89.826,4
7tBlvnHLTox3S0yB6nIV2Q,"6WOxIudswU8kNC2LrpeiWu","Lazy Nina","Pulse (Expanded Edition)","Greg Phillinganes",1984,326613,45,spotify:user:seankmchenry,2023-02-05T14:44:13Z,"yacht rock",0.625,0.5,7,-9.104,1,0.0873,0.183,0.00000337,0.0378,0.777,202.318,4
1DGahcrGJKxUNDqMu4ldDh,"3JulrApLVT81sb2HkfwMks","Piece By Piece","Piece By Piece","John Martyn",1986-01-01,231346,3,spotify:user:seankmchenry,2023-02-05T14:47:00Z,"british folk,folk,folk rock,psychedelic folk,roots rock,singer-songwriter",0.704,0.446,7,-17.081,1,0.0752,0.8,0.0425,0.0806,0.835,89.381,4
4gkzNrFIea1F34OGhKUloJ,"08GQAI4eElDnROBrJRGE0X","You and I, Pt. II - Full Version; 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,387813,29,spotify:user:seankmchenry,2023-02-05T15:16:54Z,"album rock,classic rock,rock,soft rock,yacht rock",0.441,0.541,9,-11.971,1,0.047,0.162,0.0147,0.241,0.589,125.602,4
3sqP75PDhbIta3VxaZa7Gw,"4xoTZnaFX7xWz76sVSgg7u","Let It Go","Pages","Pages",1978-11-26,256279,29,spotify:user:seankmchenry,2023-02-05T15:39:27Z,"deep soft rock,yacht rock",0.779,0.444,10,-14.615,1,0.0362,0.384,0.00517,0.0571,0.894,95.577,4
4vwLjB2NRtl9b34jRe6cWd,"6imyM8T1Xbe8v2iZe41dR7","Love Plus One","Pelican West Plus","Haircut 100",1982,212573,48,spotify:user:seankmchenry,2023-02-05T15:47:14Z,"brit funk,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.786,0.517,0,-14.507,1,0.0445,0.034,0.546,0.0998,0.958,136.923,4
25ULv167uEe78vlVdFIA3m,"0WUphJOGHE5i95IeR87hsO","You Did Cut Me","Flaunt The Imperfection","China Crisis",1985-01-01,257706,32,spotify:user:seankmchenry,2023-02-06T01:41:21Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.784,0.469,11,-15.849,0,0.0355,0.586,0.128,0.0897,0.845,119.847,4
5fad1bCvy2IdwhoFtY0RiD,"0WUphJOGHE5i95IeR87hsO","Bigger The Punch I'm Feeling","Flaunt The Imperfection","China Crisis",1985-01-01,261626,34,spotify:user:seankmchenry,2023-02-06T01:42:00Z,"art rock,classic uk pop,new romantic,new wave,new wave pop,sophisti-pop,synthpop",0.784,0.444,2,-13.675,1,0.0431,0.598,0.0427,0.0706,0.663,124.078,4
6pFyrGwIVwrolaeYeOu7pg,"0S1SjYebdSaiMpI8xSW2Wb","Tomorrow's Girls","Kamakiriad","Donald Fagen",1993-05-25,377600,32,spotify:user:seankmchenry,2023-02-06T01:42:51Z,"folk rock,jazz fusion,mellow gold,soft rock,sophisti-pop,yacht rock",0.903,0.421,5,-13.89,0,0.0399,0.0279,0.00187,0.0713,0.909,117.917,4
6gIX8nlmGBSJWkFvVDvfd1,"614GyAJSc7xbA6oYTvTLsB","Who'll Be the Fool Tonight","Larsen/Feiten Band","Larsen/Feiten Band",1980,252666,28,spotify:user:seankmchenry,2023-02-06T01:43:06Z,"deep soft rock,yacht rock",0.684,0.555,0,-13.502,1,0.0413,0.0629,0.00182,0.565,0.816,83.172,4
2sU3JOEN7alL7ri5TEFcK9,"4xoTZnaFX7xWz76sVSgg7u","Clearly Kim","Pages","Pages",1978-11-26,205613,27,spotify:user:seankmchenry,2023-02-06T01:43:39Z,"deep soft rock,yacht rock",0.634,0.563,5,-14.243,0,0.0427,0.0304,0.0323,0.106,0.855,94.545,4
5eWTNSMTX5BxuYYuOU4vYq,"1nDqTUspmq8IXhcEZT93iq","Is It You","Rit, Vol. 1","Lee Ritenour",1981-01-01,269653,50,spotify:user:seankmchenry,2023-02-06T01:43:52Z,"jazz funk,jazz fusion,jazz guitar,smooth jazz,yacht rock",0.715,0.384,10,-16.362,1,0.0458,0.588,0.00753,0.285,0.818,82.367,4
2tw1ZDp8vbVbJjHchv6XZQ,"7F81AqbZ2eUSjf9FpVptwO","Look Who's Lonely Now","Bill LaBounty","Bill LaBounty",1982-01-01,236600,37,spotify:user:seankmchenry,2023-02-06T01:44:55Z,"deep soft rock,yacht rock",0.632,0.42,11,-12.349,0,0.0316,0.103,0.00000172,0.0392,0.748,88.87,4
0zFGDBpAKBHsxRxhq6N9DV,"4GY15o5wifKk78FOxgyAJt","House On The Rock","Back To The Rock","Rob Mehl",1981-01-01,205960,31,spotify:user:seankmchenry,2023-02-06T01:45:56Z,"beach music",0.946,0.618,6,-10.43,1,0.045,0.577,0.000938,0.1,0.962,114.061,4
1s16yZ0cyNAJJT1iUVMwam,"4E6R7RltBr4S0RwCulB0T5","If You Want It","Niteflyte","Niteflyte",1995-07-02,270933,33,spotify:user:seankmchenry,2023-02-06T01:47:04Z,"deep soft rock",0.458,0.861,11,-6.011,0,0.086,0.477,0,0.0649,0.731,86.774,4
3Q2Xxc7y6g4OrYmO53J7Yf,"6P7H3ai06vU1sGvdpBwDmE","Glamour Profession","Gaucho","Steely Dan",1980,448240,43,spotify:user:seankmchenry,2023-02-06T01:47:20Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,soft rock,yacht rock",0.765,0.455,7,-10.147,0,0.0305,0.312,0.000377,0.127,0.672,117.525,4
68s7gX8cTvGXSvyNBolyhD,"4VfgAFdixNjjdiMDZHzC7N","Blame It On The Night","Finis","Finis Henderson",1983-09-09,221706,27,spotify:user:seankmchenry,2023-02-06T01:47:28Z,"deep soft rock",0.648,0.827,1,-4.586,1,0.0499,0.319,0,0.104,0.829,95.464,4
6SoY3GYxJDyFbYJQ1Wmt7b,"5I3emD1qJIxLZibMu39PXv","Love You out of Your Mind","An Eye for an Eye","Byrne & Barnes",1981,195789,31,spotify:user:seankmchenry,2023-02-06T01:48:00Z,"deep soft rock,yacht rock",0.691,0.439,10,-11.379,0,0.0786,0.826,0.0039,0.174,0.835,83.007,4
5QwxrHnpZGLfs0Maeoz8BN,"47zz7sob9NUcODy0BTDvKx","Maureen","Promise","Sade",1985-11-04,260066,45,spotify:user:seankmchenry,2023-02-06T01:48:08Z,"british soul,sophisti-pop",0.666,0.685,1,-9.234,1,0.0318,0.376,0.0532,0.0707,0.933,96.487,4
2BTXvkkF8accRwNkPyLZvy,"3EB0uKE2lGw6BB1UFJrONl","You","Dream On (Bonus Track Version)","George Duke",1982,278013,27,spotify:user:seankmchenry,2023-02-06T01:48:37Z,"funk,jazz funk,jazz fusion,jazz piano,smooth jazz",0.609,0.459,7,-12.828,1,0.0907,0.102,0.000118,0.0989,0.674,84.42,4
3tAawZ4CeNujAAP5t0kijg,"3EB0uKE2lGw6BB1UFJrONl","I Want You for Myself","Master of the Game (Expanded Edition)","George Duke",1979-03-01,396960,19,spotify:user:seankmchenry,2023-02-06T01:52:31Z,"funk,jazz funk,jazz fusion,jazz piano,smooth jazz",0.787,0.587,0,-9.902,1,0.0324,0.0358,0.0275,0.0445,0.958,120.351,4
