Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6BLLrHJ0Omr8Nu1Z9GPyAj,"6AUMk9WLY52cBTArQhLTKu","Closer To Forever","Colors Of The Sun","Hatchback",2008-09-08,291720,6,spotify:user:seankmchenry,2022-06-03T13:48:23Z,"balearic",0.823,0.223,1,-12.186,1,0.052,0.111,0.881,0.15,0.697,104.991,4
0Hc3Z2jpj1AxEs9X8Np7Mv,"6AUMk9WLY52cBTArQhLTKu","Sunrise Prototypes","Zeus & Apollo","Hatchback",2011-03-28,736146,6,spotify:user:seankmchenry,2022-06-03T13:48:39Z,"balearic",0.453,0.148,8,-25.854,1,0.0357,0.926,0.913,0.122,0.0304,191.9,4
2Wu0k9sazKppf4ihMI1Vfh,"0q2WkTHTEczNf8wNq6MBRk","Water Soaked In Forever","Beautiful You","Khotin",2019-04-05,370476,29,spotify:user:seankmchenry,2022-06-03T13:52:14Z,"ambient house,canadian house,experimental ambient,float house,fluxwork,fourth world,lo-fi house,outsider house",0.398,0.422,8,-16.885,1,0.272,0.695,0.652,0.357,0.16,149.868,3
5IXr38JjmHcFxNtqHprLy0,"0q2WkTHTEczNf8wNq6MBRk","Alla's Scans","Beautiful You","Khotin",2019-04-05,227096,19,spotify:user:seankmchenry,2022-06-03T13:52:14Z,"ambient house,canadian house,experimental ambient,float house,fluxwork,fourth world,lo-fi house,outsider house",0.633,0.803,7,-8.748,1,0.0349,0.507,0.839,0.0827,0.942,93.012,4
66RPEhrXg9d2MGsnWuZwsD,"2OHzpRiwkpxGE7IA0hnSko,0dns940bo2pILe1Flk0WH3","Follow It Up","I Want To Believe","Project Pablo,Patrick Holland",2015-02-24,220529,30,spotify:user:seankmchenry,2022-06-03T13:52:34Z,"canadian electronic,canadian house,deep house,electronica,float house,lo-fi house",0.894,0.629,11,-9.761,1,0.0796,0.106,0.898,0.0896,0.951,120.799,4
6n44rF2nl6rF0q5DYgezS1,"2OHzpRiwkpxGE7IA0hnSko,0dns940bo2pILe1Flk0WH3","Closer","Beaubien Dream","Project Pablo,Patrick Holland",2016-06-03,417738,47,spotify:user:seankmchenry,2022-06-03T13:52:48Z,"canadian electronic,canadian house,deep house,electronica,float house,lo-fi house",0.731,0.945,5,-7.84,0,0.0566,0.171,0.916,0.135,0.223,122.02,4
7BKiJ7xesRpNzMceQtYUtb,"2OHzpRiwkpxGE7IA0hnSko","Warm Priority","Priorities","Project Pablo",2016-04-08,348158,42,spotify:user:seankmchenry,2022-06-03T13:52:48Z,"canadian electronic,canadian house,deep house,electronica,float house,lo-fi house",0.782,0.821,0,-8.805,0,0.0657,0.00185,0.869,0.0724,0.902,118.022,4
7qEhp2hg4Jm2nXoCeIjXIh,"0dns940bo2pILe1Flk0WH3","Reality Picture","Reality Picture","Patrick Holland",2020-03-20,221550,11,spotify:user:seankmchenry,2022-06-03T13:53:36Z,"canadian house",0.673,0.456,9,-13.716,0,0.0407,0.12,0.89,0.11,0.169,129.992,4
0bBqWLDRrDxmHqtYCdWYE2,"0dns940bo2pILe1Flk0WH3","Please, Let Me Sleep","Reality Picture","Patrick Holland",2020-03-20,360000,7,spotify:user:seankmchenry,2022-06-03T13:53:36Z,"canadian house",0.802,0.561,6,-16.575,0,0.0565,0.328,0.879,0.0938,0.315,119.99,4
7KtbZxJU9ZdIyJJ4QMzx66,"2n1YSv6tFmLxYalICWxOGv","Heat 1","Heat","Shinichi Atobe",2018-09-14,598070,34,spotify:user:seankmchenry,2022-06-03T13:54:34Z,"art pop,dub techno,float house,fourth world,japanese electronic,japanese house,japanese techno,microhouse,minimal techno,outsider house",0.805,0.764,4,-10.983,0,0.0796,0.459,0.937,0.102,0.707,122.008,4
2yNmtP6AH5ovZkPsQ4v4JB,"2n1YSv6tFmLxYalICWxOGv","Yes","Yes","Shinichi Atobe",2020-07-17,475895,18,spotify:user:seankmchenry,2022-06-03T13:54:38Z,"art pop,dub techno,float house,fourth world,japanese electronic,japanese house,japanese techno,microhouse,minimal techno,outsider house",0.808,0.752,7,-13.157,0,0.0566,0.311,0.869,0.0804,0.819,119.986,4
4NsZK6lamqBsOH9VDYeT08,"4eAUhDLhyLx5HGMKyRsNBU","One Million Brazilian Dollars","Shining The Money Ball","Body-San",2016-03-25,379636,7,spotify:user:seankmchenry,2022-06-03T13:56:00Z,"lo-fi house",0.802,0.691,9,-7.118,0,0.065,0.00163,0.867,0.0561,0.869,109.994,4
1ctalhCKa70PAHR8jiW2i7,"4eAUhDLhyLx5HGMKyRsNBU","Mama Celeste Side Up","Shining The Money Ball","Body-San",2016-03-25,250374,7,spotify:user:seankmchenry,2022-06-03T13:56:00Z,"lo-fi house",0.729,0.772,0,-6.581,1,0.0654,0.345,0.887,0.123,0.614,117.034,4
2L6JqZZHMRXRXHl4dM6aXM,"4eAUhDLhyLx5HGMKyRsNBU","Wet Bar","Shining The Money Ball","Body-San",2016-03-25,337000,21,spotify:user:seankmchenry,2022-06-03T13:56:00Z,"lo-fi house",0.802,0.721,7,-8.314,0,0.0789,0.142,0.483,0.0999,0.548,107.004,4
32JpQhOHwAiY0Qn8tNQ3b1,"2JA4BF3ki1wW8bcYUG5Iq3","Land, Repair, Refuel","Much Less Normal","LNRDCROY",2014-05-20,210808,27,spotify:user:seankmchenry,2022-06-03T13:56:13Z,"canadian house,vancouver indie",0.79,0.559,0,-11.277,1,0.0426,0.0572,0.839,0.141,0.101,132.106,4
2rCCeyLjDIlJ11FVLrWXTJ,"2JA4BF3ki1wW8bcYUG5Iq3","I Met You On BC Ferries","Much Less Normal","LNRDCROY",2014-05-20,483484,16,spotify:user:seankmchenry,2022-06-03T13:56:13Z,"canadian house,vancouver indie",0.61,0.474,11,-14.183,1,0.046,0.545,0.896,0.0793,0.301,117.26,4
1CwtnxjcVJ9WMSQKafmtJD,"3j7teie3p6UnbA8nW51Trz","Faint Object Detection","Alien","Larry Heard",1996-03-01,275066,9,spotify:user:seankmchenry,2022-06-03T13:59:34Z,"acid house,chicago house,classic house,deep house,float house,techno",0.605,0.421,0,-12.216,0,0.0339,0.746,0.958,0.0955,0.639,143.98,1
1s6H9hlEp3wU2fJUgtZutU,"3j7teie3p6UnbA8nW51Trz","The Dance of Planet X","Alien","Larry Heard",1996-03-01,489000,12,spotify:user:seankmchenry,2022-06-03T13:59:34Z,"acid house,chicago house,classic house,deep house,float house,techno",0.381,0.624,6,-10.08,1,0.031,0.000322,0.881,0.108,0.357,116.989,4
34z21qTIqDM2aNKU4SCOu9,"3j7teie3p6UnbA8nW51Trz","Flight of the Comet","Alien","Larry Heard",1996-03-01,347106,14,spotify:user:seankmchenry,2022-06-03T13:59:34Z,"acid house,chicago house,classic house,deep house,float house,techno",0.764,0.553,11,-11.597,0,0.0444,0.0205,0.901,0.0809,0.264,104.292,4
7LO0hMa3gh6bFFYDxEBvNc,"5RvXfMKxNyFZ0gcJVh490j","The Light Machine","ESP / The Light Machine","Apiento & Co",2015-05-24,296756,3,spotify:user:seankmchenry,2022-06-03T14:45:39Z,"",0.748,0.82,6,-7.967,0,0.0516,0.012,0.92,0.128,0.774,94.11,4
6PeeyXLUwBQSGZxTF9CZvq,"5RvXfMKxNyFZ0gcJVh490j","ESP","ESP / The Light Machine","Apiento & Co",2015-05-24,299118,2,spotify:user:seankmchenry,2022-06-03T14:45:39Z,"",0.793,0.725,11,-8.095,0,0.0598,0.00877,0.593,0.0639,0.799,110.013,4
2eqKwhxCfBLpM7wSJ583Nr,"7wjpjmiKYiPyM4ScRnAYeP","Super Koto - Original Mix","Ponzu Beach","Ponzu Island",2016-03-21,284990,40,spotify:user:seankmchenry,2022-06-03T14:46:03Z,"nu disco",0.799,0.768,4,-7.903,0,0.05,0.263,0.867,0.0968,0.879,119.985,4
7mQCLn69wge8gXc6chdR0I,"7wjpjmiKYiPyM4ScRnAYeP","Ponzu Logic - Original Mix","Ponzu Beach","Ponzu Island",2016-03-21,235677,10,spotify:user:seankmchenry,2022-06-03T14:46:03Z,"nu disco",0.895,0.783,2,-9.416,1,0.0964,0.597,0.803,0.1,0.267,114.992,4
2J1JszaRH44p56MW14dG6c,"7wjpjmiKYiPyM4ScRnAYeP","Castle of Ponzuvania","Life in High-Pants","Ponzu Island",2021-12-17,223447,25,spotify:user:seankmchenry,2022-06-03T14:46:30Z,"nu disco",0.74,0.675,4,-6.091,0,0.0452,0.00606,0.904,0.0439,0.545,130.027,4
3QgaKq9Xl4jhFIM3wmxhqS,"7wjpjmiKYiPyM4ScRnAYeP","Life in High-Pants","Life in High-Pants","Ponzu Island",2021-12-17,193898,13,spotify:user:seankmchenry,2022-06-03T14:46:30Z,"nu disco",0.81,0.577,2,-8.212,1,0.0539,0.0391,0.663,0.0554,0.987,119.001,4
4r0YHR3zvwXER5yrZuKDfP,"3KcV1kKG7Y0Gq7xPAGVjkZ","Andreaen Sand Dunes","Neptunes Lair","Drexciya",1999,376680,28,spotify:user:seankmchenry,2022-06-03T14:49:59Z,"afrofuturism,detroit techno,drill and bass,electro,float house,intelligent dance music,microhouse,minimal techno,outsider house,techno",0.649,0.617,6,-8.965,0,0.0628,0.00218,0.754,0.116,0.496,132.831,4
6WrqPo5pnVkeL8BE3OnOyT,"3KcV1kKG7Y0Gq7xPAGVjkZ","Habitat of Negative","Neptunes Lair","Drexciya",1999,319320,9,spotify:user:seankmchenry,2022-06-03T14:49:59Z,"afrofuturism,detroit techno,drill and bass,electro,float house,intelligent dance music,microhouse,minimal techno,outsider house,techno",0.871,0.362,9,-11.995,1,0.287,0.0000215,0.000295,0.0288,0.212,106.395,4
51uvjrXiwILWg0GgoS43yI,"405bltx0jrFHfKWtT4MDLs","Silicon Valley","Elektroworld","Elecktroids",2018-12-10,249447,13,spotify:user:seankmchenry,2022-06-03T14:59:55Z,"electro",0.775,0.689,2,-10.282,1,0.0556,0.0803,0.921,0.132,0.621,124.52,4
3QkAjxj60ETob3NxKIcs30,"405bltx0jrFHfKWtT4MDLs","Midnight Drive","Elektroworld","Elecktroids",2018-12-10,352960,10,spotify:user:seankmchenry,2022-06-03T14:59:55Z,"electro",0.709,0.613,0,-8.686,0,0.0854,0.00308,0.214,0.095,0.555,130.99,4
7jvXfMFEIY2VcycosxooPP,"0cG9dZ6X8YfLeGe24QWMwM","Elements of Houz Music","The Paranormal Soul","Legowelt",2012-11-19,339779,27,spotify:user:seankmchenry,2022-06-03T15:01:26Z,"electro,electroclash,float house,minimal techno,outsider house,techno",0.702,0.614,11,-9.245,0,0.188,0.00477,0.868,0.356,0.171,122.008,4
0B89DCPbdzW16sHKrPP5x5,"0cG9dZ6X8YfLeGe24QWMwM","Experiential Awakening","Crystal Cult 2080","Legowelt",2014-04-14,488301,26,spotify:user:seankmchenry,2022-06-03T15:01:29Z,"electro,electroclash,float house,minimal techno,outsider house,techno",0.545,0.84,6,-13.871,1,0.0406,0.0498,0.79,0.351,0.691,127.001,4
105lK11KgmTZ8VpK4h1b7O,"0cG9dZ6X8YfLeGe24QWMwM","Its Midnite & You Are Lost","Legendary Freaks in the Trash of Time","Legowelt",2017-12-01,329954,20,spotify:user:seankmchenry,2022-06-03T15:01:38Z,"electro,electroclash,float house,minimal techno,outsider house,techno",0.618,0.853,6,-7.868,0,0.0455,0.000944,0.873,0.0854,0.0662,126.99,4
2FjFUmhvYMP0wXE631bEyx,"4W1v5X4x0ObMOJVJreZX3k","Come to Me","Nu Romantix","DMX Krew",1998-06-08,335875,37,spotify:user:seankmchenry,2022-06-03T15:02:41Z,"braindance,drill and bass,electro,float house,intelligent dance music",0.678,0.698,11,-7.237,1,0.0407,0.0000871,0.454,0.119,0.491,125.304,4
0CzSOqaXlRtvqRHtOCJBAb,"4W1v5X4x0ObMOJVJreZX3k","Place Called Love","Nu Romantix","DMX Krew",1998-06-08,235990,17,spotify:user:seankmchenry,2022-06-03T15:02:41Z,"braindance,drill and bass,electro,float house,intelligent dance music",0.616,0.681,7,-8.471,1,0.0401,0.0305,0.507,0.0779,0.965,131.609,4
66PCrDlu6eD8isiBgD7Z1Z,"2GvwZbDjH1DbQpodGKENDw","Parade D'Amour","Garden Party","Roman Flügel",2020-02-28,211875,36,spotify:user:seankmchenry,2022-06-03T15:04:15Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.744,0.833,7,-8.193,0,0.0549,0.000376,0.895,0.0874,0.617,123.007,4
02lWvvpZeShhBCwP3ScOlu,"2GvwZbDjH1DbQpodGKENDw","Garden Party","Garden Party","Roman Flügel",2020-02-28,232000,30,spotify:user:seankmchenry,2022-06-03T15:04:15Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.718,0.812,10,-7.876,1,0.0336,0.0123,0.907,0.107,0.888,120.008,4
5KfORTCsUKxu5A8wUHw1ZP,"2GvwZbDjH1DbQpodGKENDw","How To Spread Lies - Original Mix","Fatty Folders","Roman Flügel",2011-09-19,392000,13,spotify:user:seankmchenry,2022-06-03T15:05:21Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.801,0.709,6,-9.833,1,0.0384,0.0000531,0.879,0.103,0.832,123.013,4
5LaFLRPrb7yhc3x46Ktn6B,"2GvwZbDjH1DbQpodGKENDw","Wilkie","Happiness Is Happening","Roman Flügel",2014-09-01,323026,39,spotify:user:seankmchenry,2022-06-03T15:05:26Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.71,0.619,10,-8.559,1,0.0371,0.0213,0.873,0.484,0.618,120.012,4
0Yxvhep05R6vGjRRXxDgYK,"3GLOOlJDdTCd4NRrNb5Kg3","It's Your Love","Lifestyles Of The Laptop Café","The Other People Place",2001-09-03,451133,29,spotify:user:seankmchenry,2022-06-03T15:05:53Z,"detroit techno,dub techno,electro,float house,intelligent dance music,microhouse,minimal techno,outsider house,techno",0.805,0.259,6,-14.105,0,0.13,0.0081,0.884,0.0937,0.853,126.378,4
46NmN9EgRufJgORAihnwWG,"3GLOOlJDdTCd4NRrNb5Kg3","Sunrays","Lifestyles Of The Laptop Café","The Other People Place",2001-09-03,495813,29,spotify:user:seankmchenry,2022-06-03T15:05:53Z,"detroit techno,dub techno,electro,float house,intelligent dance music,microhouse,minimal techno,outsider house,techno",0.92,0.472,11,-11.698,1,0.224,0.166,0.83,0.0657,0.941,126.033,4
