Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1zp12OSzM3as8BOoQXJtq5,"Babylon Sisters","The Definitive Collection","Steely Dan",2006-01-01,351973,0,aquariumdrunkard,2018-07-09T02:11:43Z,"album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","Geffen",0.665,0.422,10,-9.764,1,0.0506,0.486,0.0281,0.0744,0.46,60.55,4
04ijIUVdT4Qy1SBWFUPROY,"Trouble","Law and Order","Lindsey Buckingham",1981,236533,55,aquariumdrunkard,2018-07-09T02:00:33Z,"classic rock","Reprise",0.695,0.503,1,-12.91,1,0.0361,0.111,0.0134,0.0996,0.969,124.113,4
4YlCzEjcILLOklUszIZZte,"I've Got Your Number - Demo","Separate Oceans","Ned Doheny",2014-05-13,150373,0,aquariumdrunkard,2018-07-09T01:10:40Z,"deep soft rock,yacht rock","Numero Group",0.665,0.477,4,-10.874,0,0.0349,0.464,0.0166,0.0922,0.845,138.486,4
2OrD4y5OzhQXF3bK3VAkMs,"Lenny","AM Waves","Young Gun Silver Fox",2018-05-25,242866,0,aquariumdrunkard,2018-07-30T21:15:00Z,"yacht rock","Fat Beats Records",0.519,0.676,5,-7.216,1,0.0467,0.572,0,0.313,0.467,155.91,4
3NiYvMjp5A3FZmP3dojS8k,"Arrow Through Me - Remastered 1993","Back To The Egg","Wings",1979-06-06,216693,51,aquariumdrunkard,2018-07-09T02:10:41Z,"album rock,art rock,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock","Paul McCartney Catalog",0.874,0.364,2,-12.326,1,0.0983,0.218,0.0263,0.101,0.675,86.004,4
0axv38zMKj2pUm0GDbpPBi,"Diamond Girl","Love Rocks - Love Time, Vol. 3","Seals and Crofts",1998-02-18,251866,0,aquariumdrunkard,2018-07-09T02:12:39Z,"classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock","Simitar",0.557,0.431,4,-11.307,0,0.0302,0.369,0.00125,0.0661,0.392,138.008,4
5TceQ9p45y407K6lxJgvAy,"Dance with Me","Let There Be Music","Orleans",1975,200533,35,aquariumdrunkard,2018-07-29T19:46:26Z,"soft rock,yacht rock","Rhino/Elektra",0.565,0.384,2,-11.263,1,0.027,0.503,0.0000629,0.293,0.508,98.377,4
7D7eMbbTAvR58NoZm0OsKh,"Leader of the Band","The Very Best Of Dan Fogelberg","Dan Fogelberg",2001,258626,0,aquariumdrunkard,2018-07-09T02:13:05Z,"classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock","Epic/Legacy",0.63,0.208,8,-11.36,1,0.0328,0.87,0,0.115,0.495,133.965,4
7gUMShP1l20tC0xf17Zplk,"Ride Like the Wind","Christopher Cross","Christopher Cross",1979,275506,60,aquariumdrunkard,2018-07-09T01:09:30Z,"mellow gold,soft rock,yacht rock","Rhino/Warner Records",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
4OV0sRTFrZLXaZZ1sS9hLn,"Sirius","Eye In The Sky (Expanded Edition)","The Alan Parsons Project",1982,115280,62,aquariumdrunkard,2018-07-30T21:23:34Z,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock","Arista/Legacy",0.624,0.396,4,-15.411,1,0.034,0.0647,0.909,0.113,0.0388,111.401,4
