Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00iNHXBbOWHeusindCRjZU,"12AnGvqOxseM5VJLyO5yBs","Ghost Trains","Unrest","Erlend Øye",2003-01-01,259813,29,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.81,0.676,10,-8.153,0,0.0514,0.00631,0.7,0.073,0.568,122.993,4
1wqhPjAzLIN8VkzRjVxzXZ,"12AnGvqOxseM5VJLyO5yBs","Sheltered Life","Unrest","Erlend Øye",2003-01-01,260527,20,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.727,0.607,8,-7.951,1,0.0467,0.0197,0.757,0.0545,0.79,119.991,4
5WvEMNZt3yP5LzTlzkCZec,"12AnGvqOxseM5VJLyO5yBs","Sudden Rush","Unrest","Erlend Øye",2003-01-01,205746,36,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.754,0.598,5,-7.957,1,0.0486,0.158,0.356,0.139,0.895,118.971,4
7Dkf1e2boMGONuceqaDgww,"12AnGvqOxseM5VJLyO5yBs","Prego Amore","Unrest","Erlend Øye",2003-01-01,233680,23,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.827,0.665,7,-9.708,1,0.0648,0.0438,0.762,0.0823,0.6,111.017,4
1vvGAFnDPCIdDlt7uAEtkA,"12AnGvqOxseM5VJLyO5yBs","Every Party Has A Winner And A Loser","Unrest","Erlend Øye",2003-01-01,277080,38,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.824,0.789,6,-6.988,0,0.0722,0.316,0.781,0.249,0.86,92.018,4
0UjviOy5iTTYFUyALT3swj,"12AnGvqOxseM5VJLyO5yBs","The Athlete","Unrest","Erlend Øye",2003-01-01,221920,16,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.851,0.742,0,-6.009,1,0.0441,0.108,0.721,0.0826,0.964,119.991,4
3X8Em5CMmb4pEsMFIt4l1C,"12AnGvqOxseM5VJLyO5yBs","Symptom Of Disease","Unrest","Erlend Øye",2003-01-01,297560,16,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.785,0.593,0,-10.043,0,0.0477,0.0164,0.366,0.183,0.855,131.009,4
4zmojj1tH1UANd5qwOKe0B,"12AnGvqOxseM5VJLyO5yBs","The Talk","Unrest","Erlend Øye",2003-01-01,189653,20,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.831,0.615,1,-9.089,1,0.0708,0.000632,0.221,0.0726,0.841,119.95,4
3iHMz0m4dclRScfoUzqB6X,"12AnGvqOxseM5VJLyO5yBs","A While Ago & Recently","Unrest","Erlend Øye",2003-01-01,423173,15,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.693,0.5,4,-12.388,1,0.116,0.673,0.7,0.0895,0.698,195.944,4
3nE8bppJAvFxvkW7DSsOJo,"12AnGvqOxseM5VJLyO5yBs","Like Gold","Unrest","Erlend Øye",2003-01-01,263880,18,spotify:user:seankmchenry,2021-11-20T16:36:42Z,"alternative dance,bergen indie,electronica",0.764,0.462,6,-9.262,1,0.0686,0.0127,0.721,0.101,0.922,109.995,4
