Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
40q4j9MEU1UnVQeADk55fK,"4ACplpEqD6JIVgKrafauzs","Roving Gambler","Songs Our Daddy Taught Us","The Everly Brothers",1958,221493,19,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.428,0.254,10,-16.244,1,0.0335,0.881,0.0000985,0.0977,0.488,154.067,4
7F4z7VV5aVWX72YK4bM9HB,"4ACplpEqD6JIVgKrafauzs","Down In The Willow Garden","Songs Our Daddy Taught Us","The Everly Brothers",1958,184666,42,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.236,0.153,6,-13.279,1,0.0313,0.877,0,0.118,0.105,201.273,3
7EpzXMUqH6YwlCR2zZUqte,"4ACplpEqD6JIVgKrafauzs","Long Time Gone","Songs Our Daddy Taught Us","The Everly Brothers",1958,146533,21,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.436,0.267,4,-13.184,1,0.0297,0.793,0,0.235,0.496,131.181,4
3Pyyq0CuFMLeZY3KaVb1nS,"4ACplpEqD6JIVgKrafauzs","Lightning Express","Songs Our Daddy Taught Us","The Everly Brothers",1958,292600,17,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.566,0.189,5,-14.658,1,0.0257,0.831,0,0.272,0.417,102.249,3
0Ohmc278BhVDB2vE10jCnu,"4ACplpEqD6JIVgKrafauzs","That Silver Haired Daddy Of Mine","Songs Our Daddy Taught Us","The Everly Brothers",1958,190040,17,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.495,0.192,4,-14.302,1,0.0286,0.872,0,0.11,0.378,128.807,4
5Kd3a0r1atEBOFPHIb6pAb,"4ACplpEqD6JIVgKrafauzs","Who's Gonna Shoe Your Pretty Little Feet","Songs Our Daddy Taught Us","The Everly Brothers",1958,161426,14,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.475,0.112,2,-19.981,1,0.0281,0.909,0.00001,0.105,0.174,92.663,3
1gmhBl3drGFCPUXoaHGg4J,"4ACplpEqD6JIVgKrafauzs","Barbara Allen","Songs Our Daddy Taught Us","The Everly Brothers",1958,282173,14,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.501,0.135,4,-13.377,1,0.0258,0.893,0,0.12,0.313,94.14,3
4uAWL0ZGt0KVAuZWIZfz18,"4ACplpEqD6JIVgKrafauzs","Oh, So Many Years","Songs Our Daddy Taught Us","The Everly Brothers",1958,157400,15,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.432,0.148,5,-15.796,1,0.0301,0.84,0,0.111,0.452,108.439,4
1E5cZzKmVgLLJcLI6HPbn4,"4ACplpEqD6JIVgKrafauzs","I'm Here To Get My Baby Out Of Jail","Songs Our Daddy Taught Us","The Everly Brothers",1958,217906,15,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.508,0.225,3,-15.402,1,0.0285,0.78,0,0.0877,0.573,64.525,4
2pwFnNFcFx4N0INEkBgz8m,"4ACplpEqD6JIVgKrafauzs","Rocking Alone","Songs Our Daddy Taught Us","The Everly Brothers",1958,181200,13,spotify:user:seankmchenry,2023-01-01T18:02:00Z,"adult standards,bubblegum pop,folk rock,lounge,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.486,0.217,3,-18.025,1,0.0299,0.829,0.0000143,0.0839,0.409,107.079,3
