Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0bRXwKfigvpKZUurwqAlEh,"1ThoqLcyIYvZn7iWbj8fsj","Lovely Day","Menagerie","Bill Withers",1977-10-29,254560,75,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"funk,quiet storm,soul",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
6n81AD0SMtm4Pgkl1NGgKp,"5SICSnXfKW0SD9DqMWR8sU","Hot Butterfly","Hot Butterfly (Expanded Edition)","Bionic Boogie",2010-01-01,319800,17,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"deep disco",0.583,0.74,8,-10.54,1,0.0496,0.289,0.0384,0.126,0.563,91.094,4
6J15g1ZMjZBpLzYFyddEuy,"67PmHOmt1tveILUtasiYAf","Have Some Fun","1980","B.T. Express",1979-12-18,319800,25,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"classic soul,disco,funk,post-disco,quiet storm",0.799,0.8,9,-10.019,1,0.0596,0.247,0.00000977,0.368,0.922,109.679,4
47uSDINq6LvvNdMPvs82WV,"6bB0iS1H2zn09k8kExHknf","No Nos Pararan","No Nos Pararan","Charanga 76",1980-01-31,574505,28,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"charanga",0.753,0.891,7,-7.19,0,0.0782,0.00852,0.000293,0.0919,0.968,114.953,4
3SJkwOKNpMz1z9nEICH6xa,"1Y3CPuN46EPIT3wCTDzPZu","Bustin' Loose","Bustin' Loose","Chuck Brown and the Soul Searchers",1979-01-01,462466,43,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"go-go",0.865,0.896,3,-7.031,0,0.0623,0.27,0.0488,0.0676,0.944,111.457,4
2zQHhhk8MovP9H3LZMQvXa,"1HvcqyRLS9nF8hAbTWOqpr","Vertigo / Relight My Fire","Relight My Fire","Dan Hartman",1979-05-02,584373,29,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"disco,post-disco",0.732,0.828,0,-10.122,1,0.0301,0.155,0.000623,0.191,0.851,120.55,4
1c5KZhtOAOH7eFOlBekNhS,"6is2U7I1jlI8PjxNZOHIMV","I Like It","All This Love","DeBarge",1982-04-28,279400,61,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"contemporary r&b,disco,funk,post-disco,quiet storm,r&b,soul,urban contemporary",0.675,0.733,9,-4.5,1,0.0443,0.446,0.000018,0.201,0.83,175.011,4
2yBVeksU2EtrPJbTu4ZslK,"39T6qqI0jDtSWWioX8eGJz","What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,68,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
75OZLfMsrI9RQwDGaVEmMH,"4QQgXkCYTt3BlENzhyNETg","Runnin'","All 'N All","Earth, Wind & Fire",1977-11-21,350720,32,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"disco,funk,jazz funk,quiet storm,soul",0.502,0.917,4,-9.323,0,0.0858,0.335,0.849,0.101,0.607,122.46,4
7Cuk8jsPPoNYQWXK9XRFvG,"4QQgXkCYTt3BlENzhyNETg","September","September","Earth, Wind & Fire",2018-04-17,215080,66,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"disco,funk,jazz funk,quiet storm,soul",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
0jrhLbMQsRKtVoZ8Ocfq5D,"42001aQATrj20VbOXPTjUW","Get Up and Dance","Get Up and Dance - the Best of","Freedom",2007-11-06,216133,23,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"",0.755,0.824,2,-9.914,0,0.0743,0.157,0.0000201,0.323,0.671,106.539,4
5yJrl2r0vr6u9BXqQXZE3V,"2f9ZiYA2ic1r1voObUimdd","La vie en rose","Portfolio","Grace Jones",1977-01-01,448000,57,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"art rock,dance pop,disco,new romantic,new wave,new wave pop,synthpop",0.65,0.477,0,-16.007,1,0.0624,0.225,0.016,0.0642,0.798,176.708,4
4S5A1h5QD3Y6LpWu93hmbo,"2vxhgszTmEHgbNJM7Xd3aW","I Got My Mind Made Up","Larry Levan's Paradise Garage","Instant Funk",1978,479586,17,spotify:user:seankmchenry,2020-05-01T03:30:23Z,"deep disco,disco,funk,philly soul,post-disco,quiet storm",0.801,0.895,1,-9.355,1,0.0621,0.00432,0.0289,0.272,0.402,112.798,4
