Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3yEx5lRi9oiRGlbKRcJwvl,"7bqV6iQWSJDJBeZH5lhoeh","Tunnel Level","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,17917,0,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.475,0.915,10,-17.351,1,0.378,0.969,0.9,0.612,0.405,147.323,4
4fLGtiy7RQOUCjVdlvlUtP,"7bqV6iQWSJDJBeZH5lhoeh","Crystal Blue","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,147504,13,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.703,0.739,7,-7.038,1,0.0299,0.026,0.00393,0.114,0.615,118.013,4
4LI5IHxZPC0zD5CVqfip20,"7bqV6iQWSJDJBeZH5lhoeh","Coconut Dale","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,205876,5,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.604,0.82,4,-3.056,0,0.0339,0.172,0.619,0.105,0.543,93.91,4
7nTpz4XpZumZxXHczhvEfh,"7bqV6iQWSJDJBeZH5lhoeh","Garden of Veggies","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,207991,15,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.68,0.368,0,-10.333,0,0.0309,0.473,0.844,0.103,0.328,140.032,4
4DQi5RhC7Betl8uh0ZssJS,"7bqV6iQWSJDJBeZH5lhoeh","Another Moon","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,197308,21,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.609,0.557,1,-10.349,0,0.0328,0.613,0.91,0.442,0.964,165.247,4
2sAkyeJc7V3nHgZVY1AtY1,"7bqV6iQWSJDJBeZH5lhoeh","Poolside Babe","Surfin' on a Wave of Juice","Fantasy Guys",2015-05-28,177831,12,spotify:user:seankmchenry,2022-06-29T15:57:54Z,"indie surf",0.806,0.601,6,-8.799,0,0.0329,0.247,0.642,0.0769,0.636,108.996,4
0LNc3e0x0C61V6Ig8BqTL1,"7bqV6iQWSJDJBeZH5lhoeh","Bedroom Soireé","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,297424,15,spotify:user:seankmchenry,2022-06-29T15:57:58Z,"indie surf",0.708,0.684,6,-11.335,0,0.0306,0.0394,0.0452,0.175,0.801,119.985,4
6mTuTcbDsOr3TDKDp0T1lQ,"7bqV6iQWSJDJBeZH5lhoeh","Reveal Thy Deal","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,202154,9,spotify:user:seankmchenry,2022-06-29T15:57:58Z,"indie surf",0.664,0.543,10,-7.633,0,0.0271,0.498,0.0000101,0.101,0.516,141.936,4
4e9TWK4EpXMCSPkF0iZ9Gh,"7bqV6iQWSJDJBeZH5lhoeh","Enchanté Señorita","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,215552,8,spotify:user:seankmchenry,2022-06-29T15:57:58Z,"indie surf",0.728,0.314,1,-9.926,1,0.0553,0.286,0.00705,0.082,0.522,82.024,4
2b4EiPC1tBfPEJAq6BzHY1,"7bqV6iQWSJDJBeZH5lhoeh","That Way","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,188153,8,spotify:user:seankmchenry,2022-06-29T15:57:58Z,"indie surf",0.622,0.474,1,-10.38,0,0.0254,0.433,0,0.308,0.435,112.015,4
