Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0GN1ZfNNf9sSlIAF7n8hoK,"0vxQClb5BOpAPfYZl1l0fR","Gimme All What You Got","Hips Shaking","Mr President",2014-05-16,173336,5,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.77,0.766,1,-7.569,0,0.0479,0.436,0.589,0.17,0.894,90.009,4
5tnIAO2YgupgjiHREtj8zD,"0vxQClb5BOpAPfYZl1l0fR","Hips Shaking","Hips Shaking","Mr President",2014-05-16,365389,18,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.867,0.777,11,-8.909,1,0.0601,0.234,0.578,0.0876,0.877,118.304,4
4fGjCBYrj4B6sTpL4Pw7u7,"0vxQClb5BOpAPfYZl1l0fR","Candyman","Hips Shaking","Mr President",2014-05-16,302376,9,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.728,0.86,5,-7.019,0,0.0388,0.077,0.0925,0.0879,0.967,94.197,4
3wlOl4JxJYnOv9ZonNji3u,"0vxQClb5BOpAPfYZl1l0fR","City Rocking","Hips Shaking","Mr President",2014-05-16,315419,5,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.769,0.946,5,-5.427,1,0.0331,0.00689,0.0201,0.067,0.832,125,4
4u5VWhZmjah1nxGQU6czis,"0vxQClb5BOpAPfYZl1l0fR","I Can't Go for That (No Can Do)","Hips Shaking","Mr President",2014-05-16,245263,10,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.748,0.695,11,-7.096,1,0.0337,0.601,0.25,0.397,0.92,131.037,4
0T9xblg5iVg0NC6ZWrqGzv,"0vxQClb5BOpAPfYZl1l0fR","Shitty Lines","Hips Shaking","Mr President",2014-05-16,256184,4,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.921,0.761,4,-6.78,1,0.0289,0.138,0.0187,0.0675,0.961,105.004,4
7IEVMEQSAP2bds6ra9NB4E,"0vxQClb5BOpAPfYZl1l0fR","I Get so Crazy","Hips Shaking","Mr President",2014-05-16,443903,4,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.821,0.815,9,-7.826,0,0.0366,0.121,0.143,0.106,0.927,115.001,4
4sDy9Om9anjcZKYDmhz5DY,"0vxQClb5BOpAPfYZl1l0fR","Hips (Reprise)","Hips Shaking","Mr President",2014-05-16,251388,6,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.767,0.85,10,-8.104,0,0.0462,0.00134,0.868,0.0513,0.719,118.298,4
3Nd3zHn3K8he2zv8ebqtOI,"0vxQClb5BOpAPfYZl1l0fR","South Street Walk","Hips Shaking","Mr President",2014-05-16,138784,5,spotify:user:seankmchenry,2021-09-23T14:06:24Z,"",0.603,0.428,6,-11.477,0,0.0232,0.387,0.773,0.146,0.679,87.004,4
434ZWTgdp3ebuECoRA8IWD,"0ZezqbZXb5XW1xGGBGc2Xt","Food for Soul","Dry up in the Sun","Mr Day",2012-04-16,202026,9,spotify:user:seankmchenry,2021-09-23T14:07:09Z,"retro soul",0.608,0.866,1,-3.682,1,0.0361,0.181,0,0.0644,0.732,120.151,4
