Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5PZkGpUZRe7aC2Q19woVG2,"67b7mHX8p4UTrJ7ZowJOKJ","Day","Tidal Motions","Fluorescent Heights",2013-01-28,301124,0,spotify:user:seankmchenry,2022-06-03T13:31:00Z,"swedish experimental",0.308,0.467,6,-11.797,1,0.0762,0.994,0.896,0.194,0.349,63.676,4
1Rc7KWrwZAyHKCesZuIfQz,"67b7mHX8p4UTrJ7ZowJOKJ","Blue Island","Tidal Motions","Fluorescent Heights",2013-01-28,329714,0,spotify:user:seankmchenry,2022-06-03T13:31:00Z,"swedish experimental",0.155,0.47,4,-9.016,0,0.0377,0.987,0.941,0.119,0.0966,140.278,3
0hhROZouykdfUqpD9ywOsh,"67b7mHX8p4UTrJ7ZowJOKJ","New Sun","Tidal Motions","Fluorescent Heights",2013-01-28,219980,0,spotify:user:seankmchenry,2022-06-03T13:31:00Z,"swedish experimental",0.168,0.224,8,-12.952,0,0.0367,0.996,0.775,0.109,0.0368,131.551,4
4e6fQpYc8BEsMJJl4c9y5h,"67b7mHX8p4UTrJ7ZowJOKJ","Holiday Mirage","Tidal Motions","Fluorescent Heights",2013-01-28,299968,0,spotify:user:seankmchenry,2022-06-03T13:31:00Z,"swedish experimental",0.288,0.47,4,-8.124,0,0.0337,0.994,0.939,0.106,0.0647,60.447,4
0Dm3C8DK1fQUV0TUdirwWc,"67b7mHX8p4UTrJ7ZowJOKJ","Reaching the Open Ocean","Tidal Motions","Fluorescent Heights",2013-01-28,458000,4,spotify:user:seankmchenry,2022-06-03T13:31:00Z,"swedish experimental",0.276,0.519,7,-7.616,1,0.0484,0.98,0.937,0.107,0.188,76.576,3
2oKKGWG06fsDSQWWVtVgLt,"67b7mHX8p4UTrJ7ZowJOKJ","Still on the Open Ocean","Left For Blue Island To Do Research","Fluorescent Heights",2016-03-01,314449,0,spotify:user:seankmchenry,2022-06-03T13:31:02Z,"swedish experimental",0.255,0.265,3,-17.997,0,0.0921,0.975,0.836,0.143,0.506,176.543,1
04tpkVgBuilkvLDWg9MaGR,"67b7mHX8p4UTrJ7ZowJOKJ","Mapping the Ocean Floors","Left For Blue Island To Do Research","Fluorescent Heights",2016-03-01,361465,0,spotify:user:seankmchenry,2022-06-03T13:31:02Z,"swedish experimental",0.157,0.363,1,-16.118,1,0.052,0.986,0.946,0.167,0.193,160.501,3
24osnpFqWFw4LQkw1rweQk,"67b7mHX8p4UTrJ7ZowJOKJ","Recently Found Fauna","Left For Blue Island To Do Research","Fluorescent Heights",2016-03-01,252627,0,spotify:user:seankmchenry,2022-06-03T13:31:02Z,"swedish experimental",0.139,0.393,1,-13.821,1,0.0483,0.986,0.947,0.14,0.255,69.073,3
0063CK5KbpFozYLNTpWVLU,"67b7mHX8p4UTrJ7ZowJOKJ","Left for Blue Island to Do Research","Left For Blue Island To Do Research","Fluorescent Heights",2016-03-01,355166,0,spotify:user:seankmchenry,2022-06-03T13:31:02Z,"swedish experimental",0.242,0.408,7,-15.373,1,0.0586,0.993,0.902,0.389,0.168,115.648,3
2FjODCquUi6nt9TekspLhC,"67b7mHX8p4UTrJ7ZowJOKJ","Strange Lagoon Found At Nightfall","Strange Lagoon Found At Nightfall (2016)","Fluorescent Heights",2016-06-01,872927,0,spotify:user:seankmchenry,2022-06-03T13:31:03Z,"swedish experimental",0.224,0.351,8,-17.303,1,0.0641,0.932,0.911,0.209,0.568,87.671,3
69Xn8NupezxqoApL3v9cgW,"67b7mHX8p4UTrJ7ZowJOKJ","Papaya 2","Strange Lagoon Found At Nightfall (2016)","Fluorescent Heights",2016-06-01,873801,0,spotify:user:seankmchenry,2022-06-03T13:31:03Z,"swedish experimental",0.303,0.259,11,-20.206,0,0.0718,0.881,0.857,0.111,0.511,69.41,4
3UsMboJSaBKlM0qwQT3B5v,"67b7mHX8p4UTrJ7ZowJOKJ","Tourism","Tourism","Fluorescent Heights",2018-07-24,283066,0,spotify:user:seankmchenry,2022-06-03T13:31:05Z,"swedish experimental",0.569,0.51,9,-9.167,0,0.0364,0.993,0.914,0.152,0.368,156.147,4
2YkoveXu9FDd4AVVBx5J7m,"67b7mHX8p4UTrJ7ZowJOKJ","Heat","Tourism","Fluorescent Heights",2018-07-24,272186,0,spotify:user:seankmchenry,2022-06-03T13:31:05Z,"swedish experimental",0.0954,0.301,2,-10.867,0,0.0446,0.995,0.93,0.129,0.0367,83.445,4
