Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0teWfbvQtUY4dnnZu1yT4E,"Christine’s Tune","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,182733,35,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.46,0.596,3,-13.037,1,0.042,0.000576,0.39,0.295,0.833,98.426,4
5bfvQG4NGiTFfUxPdMKrUd,"Sin City","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,249333,34,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.342,0.346,3,-15.094,1,0.0363,0.00761,0.000773,0.077,0.539,129.416,4
1daFdPmSkEUNOX3uATK2fc,"Do Right Woman","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,237400,27,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.428,0.291,2,-13.547,1,0.0263,0.375,0.00187,0.26,0.466,94.502,4
1cmSVr6fl5Hvb2worddWrH,"Dark End Of The Street","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,230266,34,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.421,0.497,7,-11.542,1,0.0272,0.243,0.0175,0.153,0.59,79.008,4
6XdX1Y3Vs7c2mRkHDZyBwH,"My Uncle","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,157200,27,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.54,0.634,2,-11.723,1,0.0293,0.249,0.00736,0.025,0.939,96.043,4
0yAqtkTUGrkzHHTmoe5N6s,"Wheels","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,182800,28,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.569,0.391,7,-12.247,1,0.0323,0.123,0.0249,0.337,0.678,120.334,4
71d9N0jFna02VXUERcR0jp,"Juanita","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,150160,27,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.559,0.368,9,-11.978,1,0.0263,0.343,0.9,0.0667,0.665,95.821,3
0fRAGPWGKsntkIB2uZ9zkd,"Hot Burrito #1","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,217333,36,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.395,0.428,5,-12.818,1,0.0305,0.00515,0.0262,0.165,0.352,156.979,4
5mWMeUjGQHrVAqwsBlKQIH,"Hot Burrito #2","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,197200,26,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.331,0.683,0,-11.261,1,0.036,0.00605,0.0216,0.128,0.56,95.714,4
7olD0K7CDQkbxH3G57k52l,"Do You Know How It Feels","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,128173,23,seankmchenry,2024-10-21T14:31:04Z,"cosmic american,country rock,folk,folk rock,roots rock,southern rock","A&M",0.411,0.364,2,-13.49,1,0.0319,0.348,0.00316,0.132,0.715,109.857,4
