Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0CeLnhOBOu2d9FNFSFMAhH,"0jDd0XW6WCERDtwSwMMZ0P","Until Dusk","When You're There","Frank LoCrasto",2006,547213,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.584,0.419,5,-13.449,0,0.0277,0.905,0.845,0.112,0.42,137.988,4
423Sk2RFe621MoVnTqV9dY,"0jDd0XW6WCERDtwSwMMZ0P","Jaded Brotherhood","When You're There","Frank LoCrasto",2006,468000,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.388,0.535,4,-9.555,1,0.0309,0.68,0.857,0.0922,0.292,127.078,4
2zUDeaEcWKYwfVUunvTUYt,"0jDd0XW6WCERDtwSwMMZ0P","Jordan","When You're There","Frank LoCrasto",2006,436946,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.554,0.515,10,-9.484,1,0.0303,0.609,0.884,0.0954,0.313,79.233,4
2am3OC0D28ENilxY8Zc3wJ,"0jDd0XW6WCERDtwSwMMZ0P","Overture / The Rathskeller / Interlude","When You're There","Frank LoCrasto",2006,671466,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.311,0.234,5,-13.597,1,0.0334,0.97,0.881,0.0945,0.0475,102.555,3
4MiTdH3fZJA7XIGCz9GshD,"0jDd0XW6WCERDtwSwMMZ0P","The Metaphysics of Self-Deception","When You're There","Frank LoCrasto",2006,656346,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.48,0.322,8,-13.169,1,0.0316,0.878,0.888,0.0934,0.191,87.035,4
2aSb7mhIqX6migkckpx6CC,"0jDd0XW6WCERDtwSwMMZ0P","New Beginnings","When You're There","Frank LoCrasto",2006,618840,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.406,0.484,10,-11.557,0,0.0313,0.867,0.876,0.109,0.259,123.712,4
4WLrigJ3nFRFP9q36FEs4l,"0jDd0XW6WCERDtwSwMMZ0P","Troubling Differences","When You're There","Frank LoCrasto",2006,438666,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.338,0.169,7,-16.442,0,0.0346,0.957,0.709,0.107,0.0495,125.146,4
3xyJya4TIuueo5exwlPH99,"0jDd0XW6WCERDtwSwMMZ0P","Gathered Impression","When You're There","Frank LoCrasto",2006,302946,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.645,0.493,0,-8.93,0,0.0253,0.693,0.00134,0.279,0.323,128.549,4
1buUKEOB7Eh55UXbXMA4xR,"0jDd0XW6WCERDtwSwMMZ0P","Going Home","When You're There","Frank LoCrasto",2006,479573,0,spotify:user:seankmchenry,2023-01-31T20:04:57Z,"pastoral",0.44,0.414,6,-10.899,1,0.0304,0.872,0.834,0.0751,0.249,124.037,4
0tZ5MEq68mIRxo7oeaeyFG,"0jDd0XW6WCERDtwSwMMZ0P","Simple Times","El Dorado","Frank LoCrasto",2011-03-01,310693,35,spotify:user:seankmchenry,2023-01-31T20:04:59Z,"pastoral",0.64,0.515,0,-10.934,1,0.0247,0.928,0.894,0.0948,0.579,95.783,4
