Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3soHzrdnHP7N3aVpxP2Z9B,"0fTHKjepK5HWOrb2rkS5Em","Bundle Of Joy","Bundle Of Joy","Freddie Hubbard",1977-07-13,336333,5,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.452,0.69,7,-7.296,0,0.0509,0.214,0.939,0.105,0.713,167.606,4
5r7WJ6kqPBcYWl9nNxdfBY,"0fTHKjepK5HWOrb2rkS5Em","Rainy Day Song","Bundle Of Joy","Freddie Hubbard",1977-07-13,238760,4,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.641,0.667,9,-8.155,1,0.038,0.744,0.946,0.263,0.643,109.337,4
564LTSwZonKbEeMYWxjqBZ,"0fTHKjepK5HWOrb2rkS5Em","Portrait Of Jenny","Bundle Of Joy","Freddie Hubbard",1977-07-13,379933,4,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.47,0.0611,3,-16.221,1,0.0434,0.995,0.919,0.0975,0.185,133.506,5
3pBQVlpj8DX5GB6PoWozre,"0fTHKjepK5HWOrb2rkS5Em","From Now On","Bundle Of Joy","Freddie Hubbard",1977-07-13,279306,4,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.623,0.778,10,-6.029,1,0.0755,0.287,0.953,0.0669,0.827,104.176,4
6sgHtCrhzMkTf2anIsDcY8,"0fTHKjepK5HWOrb2rkS5Em","Tucson Stomp","Bundle Of Joy","Freddie Hubbard",1977-07-13,283560,5,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.525,0.774,10,-6.799,1,0.0811,0.643,0.908,0.599,0.829,94.347,4
7ItsepTzizKIEYO1GfWzXn,"0fTHKjepK5HWOrb2rkS5Em","Rahsann","Bundle Of Joy","Freddie Hubbard",1977-07-13,397840,2,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.448,0.673,9,-6.553,0,0.0535,0.627,0.423,0.463,0.648,156.043,4
6Ggx4C44r3Z7VMHQiqBjF3,"0fTHKjepK5HWOrb2rkS5Em","I Don't Wanna Lose You","Bundle Of Joy","Freddie Hubbard",1977-07-13,242560,3,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.422,0.424,0,-7.219,1,0.0318,0.929,0.974,0.202,0.526,134.656,4
5kgiHSm7o9NNGhZoQEZAnP,"0fTHKjepK5HWOrb2rkS5Em","From Behind","Bundle Of Joy","Freddie Hubbard",1977-07-13,296800,2,spotify:user:seankmchenry,2022-12-20T14:34:02Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.564,0.742,6,-8.184,1,0.0439,0.635,0.764,0.048,0.776,158.067,4
2ywYVxzhkSMlMwcN5TGmYz,"0fTHKjepK5HWOrb2rkS5Em","The Love Connection","The Love Connection","Freddie Hubbard",1979-07-28,498093,9,spotify:user:seankmchenry,2022-12-20T14:36:37Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.548,0.802,10,-7.028,0,0.0522,0.431,0.9,0.0838,0.74,176.8,4
3dwU8GzoC5ZIrgV8THjIOM,"0fTHKjepK5HWOrb2rkS5Em","Brigitte","The Love Connection","Freddie Hubbard",1979-07-28,417666,8,spotify:user:seankmchenry,2022-12-20T14:36:37Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.388,0.375,8,-10.656,1,0.0343,0.865,0.659,0.0949,0.19,63.074,4
5Rhnel5dSw2vw1NylOtjKX,"0fTHKjepK5HWOrb2rkS5Em","This Dream","The Love Connection","Freddie Hubbard",1979-07-28,542066,5,spotify:user:seankmchenry,2022-12-20T14:36:37Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.319,0.0961,5,-17.745,1,0.0389,0.987,0.921,0.101,0.0876,134.776,4
7aRHFNmc5zkCHJHb512CLy,"0fTHKjepK5HWOrb2rkS5Em","Little Sunflower","The Love Connection","Freddie Hubbard",1979-07-28,560666,16,spotify:user:seankmchenry,2022-12-20T14:36:37Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.477,0.607,9,-10.787,0,0.0399,0.551,0.592,0.155,0.643,126.812,4
0wzEJs7lyylyDk97xqrGP0,"0fTHKjepK5HWOrb2rkS5Em","Lazy Afternoon","The Love Connection","Freddie Hubbard",1979-07-28,603560,4,spotify:user:seankmchenry,2022-12-20T14:36:37Z,"bebop,big band,contemporary jazz,contemporary post-bop,free jazz,hard bop,japanese jazz,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz",0.433,0.261,7,-11.031,1,0.0502,0.962,0.947,0.106,0.181,131.024,4
