Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0wOWQjMGq6hYWqTbn8P2mi,"6SnbxMuFL4DufaekMElUES","Nuits brésiliennes","Vidal Benjamin présente Disco Sympathie","Christophe Laurent",2014-11-10,353994,31,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:41:31Z,"classic french pop",0.651,0.825,0,-7.505,1,0.0398,0.12,0.115,0.078,0.743,98.472,4
23ijfnLIuJnBT6AmrbF9KT,"5y65nQvIt9ABZ2Dkv5191h","Tes yeux","Chimères","Diane Tell",1982-09-01,215413,18,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T19:13:38Z,"auteur-compositeur-interprete quebecois,chanson",0.715,0.687,1,-10.045,0,0.051,0.184,0.000117,0.139,0.583,88.702,4
0LMP8tNAYcFfV2uZgGmWHo,"5xbMJDVjKr949s4UOH4RqF,5uMGUHtct31OqLKl3s6B7z","Le troublant témoignage de Paul Martin","Pour te dire je t'aime (25 déclarations d'amour)","Paul Martin,Jean-Pierre Castaldi",2011-01-27,271232,24,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-05T06:34:21Z,"",0.493,0.622,8,-7.21,1,0.038,0.472,0.00149,0.356,0.38,82.137,4
5Q2yV1wgKENv1XsCTB7nma,"5w8zUn6bCJGjtxuMJyOdxR","Frivole de nuit","Vidal Benjamin présente Disco Sympathie","Laurie Destal",2014-11-10,488377,32,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:43:53Z,"",0.725,0.86,10,-5.964,0,0.143,0.266,0.00000519,0.0418,0.879,108.18,4
5A73Nnju5DCi8EV6wPvI5H,"0sMy71g5dm5Vxn1TWd8xPj","Lait de coco - Dub","French Disco Boogie Sounds, Vol. 3","Maya",2018-02-09,235647,45,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:43:56Z,"",0.788,0.508,7,-10.847,0,0.0448,0.536,0.171,0.195,0.575,109.484,4
2DTHWr5NK1igQZxctpYTA9,"7EhUXju6pssa8o3CvFJTew","Troupeau bleu","Troupeau bleu","Cortex",1975-07-15,303773,49,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-05T06:31:40Z,"alternative hip hop,jazz funk",0.353,0.779,3,-9.48,1,0.0439,0.291,0.718,0.0888,0.643,172.299,4
5Lpr9cq1biLCsF4uzIbUrf,"4Vy0AbsAmU5l3ZWOxhilzr","C'est toujours comme ça l'amour","French Disco Boogie Sounds","Toulouse",2015-05-08,252231,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:44:00Z,"",0.946,0.538,9,-9.246,0,0.0398,0.394,0.00113,0.0302,0.862,118.137,4
0WvDGubPCVTn1JnTwJDTbs,"16XHvtzF0KN8PSvjkkCpTk","Digital Delay","Souviens-Toi De M'Oublier","Catherine Deneuve",1998-01-01,180733,8,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T19:13:21Z,"",0.639,0.403,5,-14.835,1,0.0791,0.0123,0.00188,0.0433,0.53,111.233,4
6u3JoMQWFIybF90UJHGQdy,"2PTFLoNMTUq28DR9qYqzUe,6utbhphqqvFDEDsH5NYE9C","Pour moi ça va - Charles Maurice Version","French Disco Boogie Sounds","France Lise,Charles Maurice",2015-05-08,248000,0,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:44:04Z,"",0.756,0.792,7,-9.083,1,0.0504,0.247,0.0181,0.167,0.921,109.714,4
1JWZzKAfrlL2raM32ysJ4C,"55NNJsXqkH5fpsJ0fas27F","Germaine - Remix","French Disco Boogie Sounds Vol.4","Serge Delisle",2019-11-29,389723,24,spotify:user:k77ptj7zxgbrlc3hyve52bh9t,2020-11-04T15:44:11Z,"",0.77,0.742,7,-7.768,1,0.0858,0.173,0.00000895,0.0379,0.813,114.11,4
