Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ouF73ytuOOxHQTOC4LZHT,"0fK9no1vsG3Yw7Rpy3hO2O","Papi Dinga","African Rhythms","The African Band",2003-01-01,192400,0,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"",0.726,0.454,11,-14.121,0,0.0468,0.00061,0.881,0.0384,0.585,116.719,4
7b7iBcaJMn0k6IKrLakduR,"2WEEw0QrAOyeMHpeXnDqQT,0To9zwZ50qjiPoWKnESnKt","Kudaushe - Anchorsong Remix","Kudaushe (Remixes)","Afriquoi,Kudaushe Matimba",2016-02-05,219043,5,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"african electronic",0.79,0.909,5,-7.159,1,0.0417,0.077,0.212,0.0978,0.842,126.95,4
56K7H3Ipsce0Csn2v4u8kZ,"3mNygoyrEKLgo6sx0MzwOL,2nCACYdIndYchzX4bxLcTW","Ruby","Ali & Toumani","Ali Farka Touré,Toumani Diabaté",2010-02-22,355840,50,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"afropop,desert blues,malian blues,mande pop,world,griot,kora",0.361,0.31,9,-12.102,1,0.0398,0.802,0.687,0.128,0.408,177.659,4
4pVbjAkGYy1PwMCYr0jJBg,"3KH7WsR2JZQ94Ik8SyabU6","Se Te Djon Ye","1990-1995 : Le Meilleur Des Années Maliennes","Amadou & Mariam",2005-09-12,252906,0,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"afropop,malian blues,mande pop,world",0.658,0.445,5,-6.732,1,0.0307,0.835,0.0121,0.103,0.577,108.929,4
4GMq5zJGByEsNdWpe9O6Dl,"7BHduJisoqKjaU9P5uN0d6","Giya Kasiamore","Raw and Undiluted","Amampondo",2005-01-01,471386,0,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"afropop,world,xhosa",0.401,0.706,6,-12.309,0,0.111,0.0537,0.0101,0.411,0.611,182.785,3
5h1uwtQrJkjetSgD3D7bpg,"3yBg6nkyMdkou5Uiv61jeG","Coule'Ba - Version","CKY to JFK","Analog Players Society",2013-04-15,258003,11,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"",0.752,0.815,5,-9.152,0,0.103,0.206,0.839,0.0496,0.932,90.03,4
4mE5PiEkFkqkG2haNY35rP,"49h2ZvYkhZts64fbW9xhw7","Accadde a Bali","Accadde a…","Arawak",1970-01-01,146734,36,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"italian library music,library music",0.744,0.126,0,-19.053,0,0.0465,0.589,0.88,0.123,0.451,81.765,4
567JRYU3Gxdvh9810wNc4s,"172WdsNGJYNNXVNQ1tXfrB","Daa Nyinaa","Obaa Sima","Ata Kak",2015-03-03,367599,0,spotify:user:seankmchenry,2021-09-23T13:13:09Z,"afro psych",0.862,0.691,8,-9.751,1,0.119,0.0272,0,0.042,0.761,124.868,4
6FqUs8fXkuAy5FO0o6IjUb,"3KIiecqeFZHnbLK2MeagZd,3QAWvRmq1TMLuNtDKVyRaW","Pray","Insert Project Name","AYLØ,Odunsi (The Engine)",2017-09-22,191821,16,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"alte,nigerian pop,afropop",0.768,0.525,2,-8.131,1,0.133,0.51,0.00274,0.101,0.394,134.012,4
4fuuxx0VszL1hH4cgj66jp,"25jjhUqOXa1uSlQOqfgsHW,49gaZqfow2v8EEQmjGyEIw","I Travel To You - Todd Terje Remix","I Travel To You","Bepu N'Gali,Todd Terje",2012-07-02,577462,3,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"alternative dance,balearic,electronica,new rave,norwegian space disco,nu disco",0.498,0.865,10,-9.898,0,0.0639,0.0143,0.801,0.321,0.871,120.013,4
6zWn8wLNdQnn80WJWV6TaO,"0r6b4CqtfIXtTkKR9aqQQA","Nen Lambo","Pop Makossa (Analog Africa No. 23)","Bill Loko",2017-06-16,383765,36,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"afro-funk",0.595,0.609,1,-12.888,0,0.0451,0.00612,0.0027,0.074,0.725,121.675,4
0FLNKkwmlA8IN2RN1KNIHt,"4mD9kXHOs76Ld1m2Vfyi68,4rsEVNO1tGTY0beCnsnHi6","Arthur","Square One","Bjørn Torske,Prins Thomas",2017-07-07,425417,0,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"balearic,norwegian space disco,float house,microhouse,nu disco",0.635,0.45,10,-18.153,0,0.0374,0.163,0.83,0.331,0.313,107.988,4
6wCILAKvPgu47u6rXJuwoy,"4x6n41nYGT6O61pSfgW4z7,6iEl7OZs3rpnbCNaPf00DK","Banane Mavoko featuring Jah Rich - Justin Imperiale Remix","Banane Mavoko (Josh Milan, Jose Marquez & Justin Imperiale Remixes)","Black Motion,Jah Rich",2011-07-04,385393,0,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"afro house,afro soul,deep house,south african alternative,south african house,south african pop",0.846,0.822,11,-8.241,0,0.062,0.392,0.682,0.124,0.674,123.983,4
6yM82PxMywRHehdoQgQT8p,"7CfyXrIeIEd05s0nEPvjW1","Lagos Sisi","Man No Die","Bola Johnson",2010-10-04,203040,37,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"afrobeat,afropop,classic afrobeat,highlife",0.718,0.626,10,-9.049,0,0.0604,0.147,0.00207,0.0994,0.662,107.288,4
0FRLyEkqXyOjXj3lygm0ig,"2K8pBKXINnDxqS3ajPPP8Z","Koyma Hondo","Koyma Hondo","Boncana Maïga",2018-01-05,240399,36,spotify:user:seankmchenry,2021-09-23T13:14:10Z,"afro-funk",0.692,0.737,0,-7.883,0,0.0479,0.2,0.217,0.312,0.962,105.66,4
