Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7gl9lElvyusLrMhasjR6pf,"5GKnUWZLOg93scPTUsXtkj","Cocoon Village","Slow Vein","Hegira Moya",2018-04-27,241600,12,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.538,0.396,2,-15.756,0,0.0276,0.964,0.87,0.116,0.293,82.427,4
0y7loi7lFtfNPF5pxJamiw,"6JGGS3JOcMIxa0QF6pFnzN","Journey to the Sun","Island of Dreams","D.K.",2015,235171,33,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"float house",0.623,0.581,8,-8.919,0,0.0284,0.736,0.932,0.091,0.774,102.007,4
4mjAebnj2qqLGwZdr7vz97,"4Wyn0ejiSIAgFhCL6zbTRm,6V7UiIPscKqmcOd3MSIRhQ","Time Actor","Time Actor","Arthur Brown,Richard Wahnfried",2011-08-22,538866,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"psychedelic rock,ambient house",0.77,0.476,7,-12.241,0,0.0561,0.0163,0.234,0.0585,0.665,103.354,4
3VacPQVR4zoZAsK1WKo68d,"6kNluNBHa4sh5BKIvyiDgf","La bataille de neige","Comme ça","Domenique Dumont",2015-06-22,234558,39,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"fluxwork,fourth world",0.9,0.513,9,-14.449,0,0.0484,0.984,0.95,0.281,0.968,132.927,4
4Nx1i8uLbd9A4soJN1ogRB,"4gL09KXlpi9W3wcoyAM15P","Mokushō","Music For Presence","Mark Barrott",2017-03-03,319268,6,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"balearic",0.237,0.316,5,-14.04,0,0.0305,0.426,0.958,0.0663,0.116,69.981,3
3Dt1DMZBkZNx1EcnuAnOvf,"5c3BWT5X6KEzQafxDEmeXg","Rebecca’s Theme (Water)","Balearic","Art Wilson",2015-06-22,276133,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.634,0.384,5,-13.091,1,0.0553,0.931,0.852,0.823,0.592,89.958,4
5DKEV5y6rFxNeAJitR0i9q,"77zrvBORXcnTyysjjKRfBU","Moments in Love","(Who's Afraid Of) The Art Of Noise?","The Art Of Noise",1984-10-22,615693,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"new romantic,new wave,new wave pop,synthpop",0.696,0.236,9,-14.99,1,0.0981,0.277,0.0549,0.311,0.492,138.124,4
52I300qSgm45uS8qAywPa0,"5oYNZrW8JmJHPj5kubDSGL","Dandelions","Spring Fantasy","Clifford White",2015-03-18,304640,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.705,0.321,5,-16.197,1,0.0338,0.0346,0.00000396,0.0376,0.674,135.787,4
1fHXhmyXmJnm9IHb4ovRqF,"4qzIpmopZ2KVodpmw7uJKe","Shuttle Cock","Blackouts","Ashra",1978-01-01,511800,27,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"ambient,art rock,berlin school,experimental,fourth world,krautrock,moog,space rock",0.609,0.638,9,-11.705,0,0.0299,0.747,0.874,0.0917,0.945,109.061,4
6IjnROLW3KlSMqJHMTIg2c,"4idG41ELGGRKuiHLc3VLc5","The Conservation of Energy","The Conservation of Energy","Vanishing Twin",2016-04-26,253466,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"chamber psych,experimental pop,neo-psychedelic",0.468,0.636,7,-6.423,1,0.026,0.0478,0.623,0.134,0.263,92.053,4
5DGPRjSABxx03jQawCiFIw,"6rFigrNqYr09w8qMoub2Q3","On Retinae - East Version","On Retinae","dip in the pool",2016-07-21,318256,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"art pop",0.662,0.63,9,-5.551,0,0.0293,0.0091,0.0177,0.111,0.645,97.96,4
4KqrdRoaSw9SVMvtf0Tavr,"7tv5SIn5FrW8P0ziMb6B4V","Caravan","Workdub","Workdub",2016-07-14,258930,9,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.871,0.818,1,-6.656,0,0.0323,0.198,0.839,0.0644,0.964,116.65,4
0bRPJWFaZpkW67kwbhEcKZ,"0uFWLqczDA1oqV5WtjB8PU","Pastel","In Time","Kit Watkins",2016-01-08,99733,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.484,0.181,7,-18.602,0,0.0339,0.962,0.907,0.128,0.0692,103.246,3
2yqhykk0V8ClLvcaRQdcd1,"3VMuEdAr2K5O45tO55VSQE","Ljusår","Farbror Resande Mac","Farbror Resande Mac",2017-03-24,318061,4,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.736,0.251,9,-17.571,0,0.0839,0.369,0.912,0.107,0.589,144.995,4
4UaN4zPHFNWgrgsb5FX41W,"4VnaEWTHIwbqbDCwNPpfde,1FTn5osUbCr8n7WgYmbK5m","Refractory Cafe","Passive Aggressive","Jonny Nash,Suzanne Kraft",2017-06-12,282597,20,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"experimental ambient,fourth world",0.293,0.0154,4,-24.778,0,0.0498,0.975,0.935,0.102,0.0796,53.162,5
2GvS6SG9VHxRgMbLLPFEVI,"2GE6MAdyGzeXpY9TwIYd3l","Kilika","Kilika","Teen Daze",2017-10-13,284705,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"chillwave,indie dream pop,vancouver indie",0.564,0.283,1,-14.31,1,0.0253,0.765,0.92,0.0999,0.2,101.972,4
6fRe1HqOz7l8UmpJOBFW4K,"4VnaEWTHIwbqbDCwNPpfde","Lime","Eden","Jonny Nash",2017-03-08,439475,13,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"experimental ambient,fourth world",0.284,0.00454,9,-27.563,0,0.0403,0.99,0.789,0.0767,0.0861,86.935,4
6pb0Qn4rloM2rK1DYG8FMo,"6xDbE6ouu5n5tnDCUnjHRy","Sanfra","Long Distance, Vol. 2","Merge",1994,299030,0,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"",0.507,0.647,2,-11.578,0,0.0347,0.635,0.651,0.216,0.646,92.149,4
1re8SpWcLGKcEfq3cNj6Zm,"1xpjdGNm3ipMNPZ9eRwH14","Blue Tomorrow","The Calm","Greeen Linez",2015-07-24,332708,1,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"vaporwave",0.521,0.685,11,-7.496,0,0.0307,0.258,0.872,0.144,0.324,149.982,4
0S9lwd7JF9878QQ6tuuIQg,"1DGpHnPOpMYY780hcQHmPB","Clouds","Music for Nine Post Cards","Hiroshi Yoshimura",2017-11-03,354693,44,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"ambient,fourth world,j-ambient",0.339,0.00188,11,-26.29,0,0.0604,0.988,0.947,0.104,0.117,141.734,4
2onjvNGfKSTzj41eO0iB5P,"5iGKOVIxwrxmHPJAlLaePX","Gravity Core","Legacy","Between Interval",2017-04-07,345853,33,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"ambient,drift,dronescape,psychill,space ambient",0.452,0.024,9,-27.321,0,0.0264,0.761,0.932,0.0652,0.0996,137.517,5
4r7C9TmDbNdexVP1nxdZLJ,"4VnaEWTHIwbqbDCwNPpfde","Vision Partially Obscured","Phantom Actors","Jonny Nash",2014-09-01,242953,5,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"experimental ambient,fourth world",0.256,0.0134,5,-30.488,1,0.0382,0.892,0.212,0.0982,0.0396,144.883,4
35Q1IsHlI5FTSHCSzdzPgg,"55Y7NJGTHhz09JvukpIqch","Aurai","In Eco","Soda Lite",2017-02-13,298000,2,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"australian ambient",0.25,0.062,11,-27.88,1,0.0418,0.717,0.897,0.0653,0.0389,90.855,3
7pFIFrZEhlVONoGfbvz78y,"55Y7NJGTHhz09JvukpIqch","Galatea Point","In Eco","Soda Lite",2017-02-13,252000,1,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"australian ambient",0.266,0.125,1,-21.317,1,0.05,0.699,0.884,0.0536,0.0781,114.07,4
331tP1ALdrmjioH4RznvwC,"73IRHBhotETMmgvRCEyTCS","Pleasure Centre","On Vacation","CFCF",2016-02-19,347069,19,spotify:user:seankmchenry,2020-04-07T22:13:12Z,"balearic,chillwave",0.612,0.87,2,-10.143,0,0.0408,0.000978,0.895,0.118,0.76,94.016,4
