Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
53LEKlcQjUiAZXY9YFfNLg,"1VKSw4zNYbYK2BXbOOXkcd","Untouchable and Free","Sweet Vendetta","Adrian Gurvitz",1979,301040,7,spotify:user:seankmchenry,2020-05-01T16:47:44Z,"yacht rock",0.656,0.612,4,-8.197,0,0.0307,0.107,0.00509,0.123,0.647,121.833,4
6qZ8EGXvJTQkSquItjpYkA,"1VKSw4zNYbYK2BXbOOXkcd","The Wonder of It All","Sweet Vendetta","Adrian Gurvitz",1979,254426,14,spotify:user:seankmchenry,2020-05-01T16:47:44Z,"yacht rock",0.706,0.651,4,-8.757,1,0.0287,0.0849,0.0125,0.118,0.765,112.702,4
09d5r9fuTXykduWVxg4grp,"2Dex4M7LVFtXTpKSFbcglF","Take Me to the Top","RFG 16 (80's Funk Music Rare Tracks)","Advance",2012-08-13,376946,0,spotify:user:seankmchenry,2020-05-01T16:47:44Z,"",0.868,0.64,0,-6.513,0,0.0731,0.317,0.0583,0.0641,0.894,112.265,4
2K3B0a8S7638Pj8TIVdTZj,"5hABGCgIH57T4NTNpp0gCL","You're a Melody - Extended Disco Version","You're a Melody","Aged In Harmony",2016-08-19,259415,32,spotify:user:seankmchenry,2020-05-01T16:47:44Z,"",0.794,0.503,9,-8.619,1,0.0332,0.299,0.363,0.0544,0.922,110.025,4
0C9rBeWAsPhmBeaYKZLN5m,"7sCYC6bDTexE400qiLy4oq","Figli Delle Stelle","Figli Delle Stelle (2005 - Remaster)","Alan Sorrenti",1977,275480,53,spotify:user:seankmchenry,2020-05-01T16:47:57Z,"classic italian pop,italian adult pop,italian lounge",0.677,0.778,0,-10.157,1,0.0668,0.526,0.0000154,0.206,0.73,108.471,4
6iJYdmQUoldxB9HXgIjVrg,"7v4FV3DzSUOvaZyMwTxKIG","I Want To Thank You","The Best Of One Way","Alicia Myers",1996-01-01,229000,0,spotify:user:seankmchenry,2020-05-01T16:48:03Z,"funk,post-disco,quiet storm,urban contemporary",0.764,0.58,11,-7.566,0,0.0576,0.00623,0.00643,0.0979,0.739,111.719,4
43mcLyWJTM3P9iqN3mNHFy,"0UXy6wqMmVQ7PIWFNSXqdk,4jBk0QL5AbWkuIjIJCRsF0","Everybody Get Down","Baby Come Back","Alphonse Mouzon,Mouzon's Electric Band",1979,274032,31,spotify:user:seankmchenry,2020-05-01T16:48:09Z,"jazz funk,jazz fusion",0.868,0.531,1,-13.336,1,0.0571,0.00189,0.553,0.107,0.966,130.707,4
48Se4rIT9kJgtWFXSbxlqJ,"7lygNeMvF5ESbzayoLyTSy","Hazy Shades Of Love (12 Version)","Twelve Inch Disco Classics from the '70s Volume 3","Amant",2011-05-30,528000,0,spotify:user:seankmchenry,2020-05-01T16:48:09Z,"deep disco",0.728,0.453,7,-16.446,1,0.0367,0.0228,0.0893,0.0772,0.872,131.894,4
6lme8sDIstoPWtYDrpeWHv,"2LjM8tOgZX4kxUyYhpPUll","Sound On Sound","Future Disco: The Best of Elite Records","Antoniou",2000-01-01,699333,1,spotify:user:seankmchenry,2020-05-01T17:08:41Z,"",0.858,0.643,10,-12.103,0,0.0798,0.0551,0.359,0.0572,0.881,121.22,4
26pba2NNnK4yuFGjV1QFrK,"3isYg6esLI9mPQ5IzXp5lD","You're a Star","Fantasy","Aquarian Dream",1978,331173,33,spotify:user:seankmchenry,2020-05-01T17:09:03Z,"jazz funk,rare groove",0.553,0.803,7,-14.47,0,0.0456,0.0841,0.673,0.217,0.626,126.394,4
1zaigPe4NB94tc4CRshK46,"7nwUJBm0HE4ZxD3f5cy5ok","Get It Right","Get It Right","Aretha Franklin",1983,377093,43,spotify:user:seankmchenry,2020-05-01T17:09:07Z,"adult standards,classic soul,jazz blues,memphis soul,soul,southern soul",0.758,0.829,1,-6.622,1,0.174,0.0486,0.0000016,0.0317,0.824,122.298,4
1wGqSAH3JAMNoxL72pOWO3,"7nwUJBm0HE4ZxD3f5cy5ok","Jump To It - Original Extended Version","Jump To It","Aretha Franklin",1982,401266,30,spotify:user:seankmchenry,2020-05-01T17:09:07Z,"adult standards,classic soul,jazz blues,memphis soul,soul,southern soul",0.823,0.611,8,-8.899,0,0.136,0.127,0.00000408,0.206,0.872,119.569,4
